TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Egyéb	Audio	Szín
Dell Inspiron 3737 (INSP3737-1) Notebook	118900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	INTEL GMA HD Graphics 4400	2,6 kg, 412 mm x 270 mm x elöl 28,34 mm / hátul 29,6 mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad B590GB (59-352457) Notebook	120900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,2 kg	2 év garancia	6 cella, 2200 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 2521 (V2521-8) Notebook	122900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 5600mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 2521 (DV2521A-3227-4GH50D6BK-11) Notebook	122900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3537 (DI3537A-4200-4GH50D6BK-11) Notebook	123900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 1GB	2,4 kg, 259 mm x 259 mm x 24,9 mm / 31,3mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 2521 (V2521_157863) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo IdeaPad Z510(59-403839) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 3550M 2.3GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA GeForce GT 740M / 2GB	2,2 kg, 375*263*25 mm	2 év garancia	4 cella, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, Intel Dual Brand Wireless-N 7260 2x2 bgn	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G500 (59-390064) Notebook	125900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo ThinkPad EDGE E535(NZRELHV) Notebook	126900 Ft	15,6", 1366x768, 16:9	AMD , A8-4500M / 1.9 GHz / 4MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 6 óra átlagos üzemidő, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11 b/g WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)				
Samsung NP535U3C-K01HU Notebook	126900 Ft	13,3", 1366x768, 16:9	AMD , A4-4355M 1.9GHz , 1MB Cache , Dual-Core	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7400G	1,5 kg, 315.1 x 218.9 x 14.9 ~ 17.6mm	2 év garancia	4 cella, 45Wh		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
