TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Egyéb	Audio	Szín
Samsung ATIV Book 9 Lite NP905S3G-K01HU Notebook	153900 Ft	13,3", 1366x768, 16:9	Quad-Core 1.4GHz	4 GB, DDR3 1066MHz		128GB SSD, SSD	AMD/ATI Radeon HD 8250	1,4 kg, 324 x 224 x 16.9mm	2 év garancia	2 cella, 6 óra átlagos üzemidő, 3000 mAh		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	1 x USB 3.0 + 1 x USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, micro HDMI	720p HD webkamera	Érintőképernyő			
Dell Vostro 3360 (DV3360I-3227-4GH32D4SI-11) Notebook	154900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		320 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera				
Dell Vostro 3360 (DV3360I-3227-4GH32D4BR-11) Notebook	154900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1333MHz		320 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Toshiba Satellite C55-A-10Q Notebook	155900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia Geforce 710M 1GB DDR3	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G710 (59-390399) Notebook	155900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -4200M / 2,50GHz max. 3,10GHz / 3MB cache	4 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	Nvidia GeForce GT 720M 2GB DDR3	2,9 kg, 418 mm x 278 mm x 36,8 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	1 x USB 3.0 + 1 x USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Samsung NP530U3C-K01HU Notebook	156900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,5 kg, 315,1x17,6x218,9mm	2 év garancia	4 cella, 7 óra átlagos üzemidő, 4500Whr		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite C55-A-135 Notebook	156900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia GeForce 710M 2GB gDDR3	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5537 (DI5537A2-4200-8GH1TD6MS-11) Notebook	156900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Samsung NP400B2B-A01HU Notebook	157900 Ft	12,5", 1366x768, 16:9	Intel Core i5, -2450M (2.5GHz / 3.1 Turbo GHz / DMI 5GT/s / 3MB L2 Cache)	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	1,7 kg, 302.1 x 223.7 x 28.3 ~ 32.2mm	2 év garancia	6 cella, 48Wh		Windows 7 Professional 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	Camera 1.3MPix	eSATA			
Dell Latitude E5530 (L095530101E-11) Notebook	158900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,4 kg, 388 mm x 251 mm x 30,2 mm elöl / 33,2 mm hátul	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DVI, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Dell Inspiron 5537 (DI5537A2-4200-8GH1TD6PK-11) Notebook	158900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (DI5537A2-4200-8GH1TD6PR-11) Notebook	158900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (DI5537A2-4200-8GH1TD6RD-11) Notebook	158900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (DI5537A2-4200-8GH1TD6BL-11) Notebook	158900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5737 (5737_157758) Notebook	159900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8870M 2GB GDDR5	2,6 kg, 412 x 270 x 28,34 x 35,6 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5737 (5737_157759) Notebook	159900 Ft	17,3", 1600*900, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8870M 2GB GDDR5	2,4 kg, 412 x 270 x 28,34 x 35,6 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad U430p (59-390461) Notebook	159900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 730M 2GB	1,7 kg, 33.6*23.3*0.48-1.9cm	2 év garancia	4 cella, 10 óra átlagos üzemidő, 5200mAh		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Fujitsu LIFEBOOK E733 (VFY:E7330M63A5HU) Notebook	160900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1333MHz		500GB HDD + 8GB SSD, SATA-2	Intel GMA HD Graphics 4000	1,6 kg, 321 x 228 x 20 (f) - 27 (r) mm	3 év garancia	6 cella, 13 óra átlagos üzemidő, 5800mAh			10/100/1000, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB + Display port, Dokkolócsatlakozó	HD-minőségű webkamera (1280x800)				
Lenovo ThinkPad EDGE E431 (N4G9WHV) Notebook	161900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,1 kg, 344mm x 239mm x 25mm	2 év garancia	6 cella, 6 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	Win 7 Pro64 preload+Win 8 Prof64 RDVD/licence	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, OneLink Docking port, HDMI out	720p HD webkamera				
Dell Vostro 5470 (V5470-3) Notebook	162900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 740M / 2GB	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100, 802.11 n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Dell Inspiron 5537 (5537_157791) Notebook	163900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (5537_157814) Notebook	163900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (5537_157845) Notebook	163900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (5537_157827) Notebook	163900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Vostro 3460 (V3460-30) Notebook	163900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Lenovo ThinkPad EDGE E531 (N4I6WHV) Notebook	164900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	NVIDIA GeForce GT 730M 2GB	2,5 kg, 377 x 250mm x 26.6-29.6mm	2 év garancia	6 cella, 6 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, OneLink Docking port, HDMI out	720p HD webkamera				
Dell Vostro 5470 (DV5470N2-4200-4GH50D3GS-11) Notebook	164900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	NVIDIA GeForce GT 740M / 2GB	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100, Intel Dual Brand Wireless-N 7260 2x2 bgn	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Toshiba Satellite U940-100 Notebook	165900 Ft	14.0", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		32GB SSD + 500GB HDD, SATA-2	Intel Graphics 3000 HD	1,7 kg, 339,6 x 238,3 x 20,7 mm	2 év garancia	4 cella, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5537 (5537_157844) Notebook	165900 Ft	15,6", 1366x768, 16:9	Intel Core i7, -4500U - 1,80GHz / max. 3,00GHz / 4MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8850M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Fujitsu Lifebook Slimbook UH552 (VFY:UH552M53A2HU) Notebook	166900 Ft	13,3", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1333MHz		128GB SSD, SSD	Intel GMA HD Graphics 4000	1,6 kg, 323 x 234 x 18,0 mm	2 év garancia	4 cella, 7,5 óra átlagos üzemidő, 42 Wh		Windows 8 Standard	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, HDMI out	HD Webkamera				
Samsung ATIV Smart XE500T1C-G01HU Tablet	166900 Ft	11,6" képátló, 1366x768, 16:9	Intel Atom Z2760 1.80GHz / 1MB Cache / DualCore	2GB RAM	64GB		Intel SGX545 Graphics Media Accelerator	744g	2 év (1 év az akkura és töltőre)	4 cella, 3100mAh		Windows 8 32bit Magyar, Angol	802.11a/b/g/n, Bluetooth 4.0, 3G	mini HDMI 1.3, 3.5-mm minijack, Micro SD, USB 2.0	elöl 2MP , hátul 8MP	sPen	sztereó hangszóró, mikrofon	Fehér	
Dell Vostro 3560 (V3560_157918) Notebook	166900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 28,8(elöl)/32,5(hátul) x 375 x 259 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	Camera 1.0 MPix HD	Háttérvilágításos billentyűzet			
Dell Vostro 3360 (V3360-20) Notebook	167900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360-21) Notebook	167900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360-24) Notebook	167900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360_154857) Notebook	167900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360_154859) Notebook	167900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (V3360_155492) Notebook	167900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Latitude E5430 (E5430_155923) Notebook	168900 Ft	14,1'', 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2 kg, 350 mm x 240mm x 29,90–32,5 mm	3 év garancia	6 cella, 6000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, Intel Centrino Advanced-N 6205	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, Dokkolható, ExpressCard, HDMI out	HD Webkamera	eSATA			
Dell Vostro 3460 (V3460_157901) Notebook	168900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,2 kg, 28(elöl)/30,1(hátul) x 345,5 x 244 mm	3 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 8 64 bit	10/100/1000, lntel WiFi 2230 802.11a/g/n	4 db USB3.0 port, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	720p HD webkamera	Háttérvilágításos billentyűzet			
Lenovo IdeaPad Z510(59-403846) Notebook	169900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200M / 2,50GHz max. 3,10GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA GeForce GT 740M / 2GB	2,2 kg, 375*263*25 mm	2 év garancia	4 cella, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	Intel Dual Brand Wireless-N 7260 2x2 bgn	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 3360 (DV3360I-3337-4GH50D4BR-11) Notebook	170900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 3360 (DV3360I-3337-4GH50D4RD-11) Notebook	170900 Ft	13,3", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	1,7 kg, 18,6(elöl)/19,2(hátul) x 332 x 232,5 mm	3 év garancia	4 cella, 49Wh		Linux	10/100/1000, lntel WiFi 2230 802.11a/g/n	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo IdeaPad Z510(59-390313) Notebook	171900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200M / 2,50GHz max. 3,10GHz / 3MB cache	8 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	NVIDIA GeForce GT 740M / 2GB	2,2 kg, 375*263*25 mm	2 év garancia	4 cella, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	Intel Dual Brand Wireless-N 7260 2x2 bgn	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Lenovo ThinkPad L430(N2L5AHV) Notebook	172900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -3120M 2,5 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB/7200rpm, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 354mm x 243mm x 29.6–31.4mm	1 év garancia	6 cella, 7,5 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	Win 7 Pro64 preload+Win 8 Prof64 RDVD/licence	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 2.0, 1 USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB + Display port, Ujjlenyomat olvasó, Dokkolócsatlakozó	720p HD webkamera				
