TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Acer Aspire E1-570G-53336G75MNKK 15,6" Fekete W8	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3337U (1,8 GHz, 3 MB cache)	6 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	NVIDIA GeForce GT 740M	2,35 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Windows 8	Acer	Általános	Acer Aspire E	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SD	10/100/1000 Mb/s	2 db	381 x 253 x 33,2 mm	Fekete	Intel HM77 Express	1 db																																																																																																																																																																														
Asus X550CC-XX568D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X551CA-SX030D 15,6" Fekete	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,15 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380 x 251 x 30.9 ~36.59 mm	Fekete	Intel HM70 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X551CA-SX016D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	2,15 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380 x 251 x 30.9 ~36.59 mm	Fehér	Intel HM70 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX498D kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub			1 db	380 x 251 x 24,8 ~ 31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX497D piros	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub			1 db	380 x 251 x 24,8 ~ 31,7 mm	Piros	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX299D 15,6" Kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX285D 15,6" Piros	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Piros	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX284D 15,6" Piros	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Piros	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX283D Kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub			1 db	380 x 251 x 24,8 ~ 31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CA-XX579D 15,6" Kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 4000	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CA-XX207D 15,6" Kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 4000	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CA-XX190D piros	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	Intel HD Graphics 4000	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Általános	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380 x 251 x 24,8 ~31,7 mm	Piros	Intel HM76 Express	1 db								ASUS Sonicmaster - 2.0																																																																																																																																																																						
Asus X550CA-XX182D 15,6" Kék	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Kék	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Lenovo ThinkPad T430 14" N1XPXHV	0 Ft	14 " (1600x900 pixel)	Nem	i5-3230M	4 GB DDR III 1600 MHz	Nem		Intel HD Graphics	2166 g	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	N	Dolby® Advanced Audio 2.0	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Y	Nem	USB 3.0, USB, ExpressCard 34mm, Mini Display Port, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	350.5x232x29.9 mm	Sötétszürke	Intel QM77 Express	2 db	180 GB					Y		Dolby Advanced Audio 2.0	2.6 GHz	Intel Core i5	3.2 GHz	2	4		3 Mb		4 GB	DDR3-SDRAM	180 GB	SSD	Y	MMC, RS-MMC, SD, SDIO	14 "	1600 x 900 pixelek			Intel HD Graphics 4000	N	DVD±RW	N	Y		Y	802.11a, 802.11b, 802.11g, 802.11n	Y	4.0		2	N	N	N	Y	Y	N			N	Windows 7 Professional	Notebook	Fekete	Clamshell		Lithium-Ion (Li-Ion)	6	Y	Y	N	Intel Clear Video HD, Intel Insider, Intel InTru 3D, Intel Quick Sync Video	Y	2.0	2x SO-DIMM	16 GB	180 GB			16:9	10, 100, 1000 Mbit/s		2	1		1		340.5 mm	232 mm	64-bit	1							Y		Y		29.9 mm															Y										Y	Y												N																	Y	1																														
Dell Inspiron 7537 FHD i7-4500U 8GB 1TB W8	0 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i7 4500U (1,8 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Nem	1000 GB 5400 rpm	NVIDIA GeForce GT 750M	2,6 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 8	Dell	Multimédia	Dell Inspiron	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100/1000 Mb/s		379,4x254,8x20,5 mm	Ezüst	Intel HM76 Express	4 db								Waves MaxxAudio® Pro																																																																																																																																																																						
NBK Asus UX302LG-C4007H ZENBOOK 13.3" FHD	0 Ft									Garancialeveles 2 év				Asus																																																																																																																																																																																															
Asus X550CC-XO081D 15,6" Ezüst	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	4 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Ezüst	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XO720D fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub			1 db	380 x 251 x 24,8 ~ 31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XO726D 15,6" Ezüst	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	4 GB DDR III 1600 MHz	Igen	1000 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Ezüst	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XO731D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	24 hónap saját	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX156D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core 2117U (1,8 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Igen	500 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Asus X550CC-XX204D 15,6" Fehér	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		750 GB 5400 rpm	NVIDIA GeForce GT 720M	2,3 kg	Garancialeveles 2 év	4 cellás	DVD+-RW DL	Free DOS	Asus	Multimédia	Asus X	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	380x251x24,8 ~31,7 mm	Fehér	Intel HM76 Express	1 db								SonicMaster																																																																																																																																																																						
Dell Inspiron 7737 HD+ Touch i5-4200U 6GB 1TB W8	0 Ft	17,3 " (1600 × 900 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	6 GB DDR III 1600 MHz		1000 GB 5400 rpm	NVIDIA GeForce GT 750M	3,29 kg	Garancialeveles 3 év		DVD+-RW DL	Windows 8	Dell	Multimédia	Dell Inspiron	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack	MMC, MS, MS Pro, SDHC, SDXC, SD	10/100/1000 Mb/s		412,4x25,4x269,4 mm	Ezüst	Intel HM76 Express	4 db								Waves MaxxAudio® Pro																																																																																																																																																																						
Dell Vostro 3360 Ci7-3537U 8GB 500GB +32GB Bronz	0 Ft	13,3 " (1366 x 768 pixel)	Nem	Intel Core i7 3537U (2 GHz, 4 MB cache)	8 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 4000	1,67 kg	Garancialeveles 3 év	4 cellás	Nincs	Windows 8 Pro	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub		10/100/1000 Mb/s		332x232,5x18,6-19,2 mm	Barna	Intel HM77 Express	3 db	32 GB	+ 32 GB SSD																																																																																																																																																																												
Dell Vostro 3460 Ci3-3120M 4GB 500GB W8 Ezüst	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 3120M (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Ezüst	Intel HM77 Express	4 db																																																																																																																																																																														
Acer Aspire V5-131-10074G50NKK 11,6" Fekete	0 Ft	11,6 " (1366 x 768 pixel)	Nem	Intel Celeron Dual-Core 1007U (1,5 GHz, 2 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	1,38 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Netbook	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	3 db	285x27,3x202 mm	Fekete	Intel NM70 Express																																																																																																																																																																															
Dell Vostro 3460 Ci5-3230M 6GB 500GB GT630M Bronz	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	6 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 630M	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Bronz	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Vostro 3460 i7-3632QM 8GB 500GB 32GB W8 Bronz	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	8 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 630M	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Bronz	Intel HM77 Express	4 db	32 GB																																																																																																																																																																													
Dell Vostro 3460 Ci5-3230M 4GB 500GB W8 Ezüst	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Ezüst	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Vostro 3460 Ci5-3230M 4GB 500GB W8 Bronz	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	Intel HD Graphics	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Bronz	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Vostro 3460 i5-3230M 6GB 500GB GT630 W8 Ezüst	0 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3230M (2,6 GHz, 3 MB cache)	6 GB DDR III 1600 MHz		500 GB 5400 rpm	NVIDIA GeForce GT 630M	2,23 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Windows 8	Dell	Üzleti	Dell Vostro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, 3,5 Jack, D-Sub	MMC, MS, MS Pro, XD, SD	10/100/1000 Mb/s		345,5x244x28-30,1 mm	Ezüst	Intel HM77 Express	4 db																																																																																																																																																																														
Dell Inspiron 5737 HD+ Ci5-4200U 4GB 500GB Ezüst	0 Ft	17,3 " (1600 x 900 pixel)	Nem	Intel Core i5 4200U (1,6 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		500 GB 5400 rpm	AMD Radeon HD 8870M	2,7 kg	Garancialeveles 3 év	6 cellás	DVD+-RW DL	Linux	Dell	Általános	Dell Inspiron	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, MS, MS Pro, SDHC, XD, SDXC, SD	10/100 Mb/s	2 db	412 x 270 x 28.34 - 35.6 mm	Ezüst	Intel HM76 Express	2 db								Waves MaxxAudio® 4																																																																																																																																																																						
Lenovo IdeaPad B590 15,6" 59-389658	0 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4 GB DDR III 1600 MHz		320 GB 5400 rpm	NVIDIA GeForce GT 720M	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Free DOS	Lenovo	Üzleti	Lenovo Essential	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	378x252x33,4 mm	Fekete	Intel HM77 Express	2 db																																																																																																																																																																														
NBK Fujitsu Lifebook Slimbook UH552 13,3" VFY:UH55	0 Ft									Garancialeveles 2 év				FUJITSU																																																																																																																																																																																															
