TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Acer AS E1-530G-21174G50Mnkk Black LX 2Y	84173 Ft	15.6ʺ HD LED fényes	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 720M	DVDRW SM	2 év	4 cellás	nincs (L)		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus A54H-SO203D	84900 Ft	15.6ʺ HD LED (1366x768)	Pentium B940 (2000)	2048 MB	320 GB	Intel HD 2000	DVDRW +/- DL/Ram	3 nap		nincs op. rsz.		Használt	fekete	van	1x3.0.1x2.0	van	magyar		Touch pad	van		van			VGA	Value	ASUS A		van		van	van						
Fujitsu LifeBook A512 DUK Black NoOs 2Y LH5	86535 Ft	15.6ʺ HD LED matt	Pentium B960 (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	3.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Acer V5-431-987B4G50Mau Purple LX 2Y 8GB	86535 Ft	14ʺ HD LED (1366x768)	Pentium 987 (1500)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (L)		Új	lila	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire			van	Első noteszgépem		van						
Acer AS E1-570-33214G50Dnkk Blk LX 2Y NVB	86535 Ft	15.6ʺ HD LED (1366x768)	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	nincs (L)		Új	fekete	van	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire			van	Első noteszgépem	van	van						
Lenovo M490s Silver 59-363637 FD	86535 Ft	14ʺ HD LED AntiGlare	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 710M	nincs optikai meghajtó	2 év	4 cellás	nincs (F)		Új	ezüstszürke	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Első noteszgépem		van			van			
Fujitsu LifeBook A531 CL NoOs 6GB	86535 Ft	15.6ʺ HD (1366x768)	Celeron B815 (1600)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3 db	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook A		van	Első noteszgépem	van	van	van					
Acer Aspire 5742Z-P622G32Mnkk Black LX	86535 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	nincs (L)		Új	fekete		3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire	Aspire 5xxx		van	Első noteszgépem	van	van						
Lenovo ThinkPad Edge E335 13" Blue NZT36HV	86535 Ft	13.3ʺ HD (1366x768)	AMD E2-1800 (1700)	2048 (DDR3) MB	500 GB	AMD Radeon HD 7340	nincs optikai meghajtó	2 év	6 cellás	nincs op. rsz.		Új	kék	4.0	2x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100			VGA	ThinkPad	ThinkPad Edge		van			van						
Asus X550CC-XX282D Blue FD	88898 Ft	15.6ʺ HD LED (1366x768)	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	kék	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Asus X550CC-XX284D Red FD	88898 Ft	15.6ʺ HD LED (1366x768)	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	piros	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Multimédia	van	van						
Acer E1-530-21172G50Mnkk Black Win8.1 2Y	90472 Ft	15.6ʺ HD LED (1366x768)	Pentium 2117U (1800)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	Windows 8.1 32Bit		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Lenovo ThinkPad Edge E335 13" Blue NZT36HV 4GB	90472 Ft	13.3ʺ HD (1366x768)	AMD E2-1800 (1700)	4096 (DDR3) MB	500 GB	AMD Radeon HD 7340	nincs optikai meghajtó	2 év	6 cellás	nincs op. rsz.		Új	kék	4.0	2x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100			VGA	ThinkPad	ThinkPad Edge		van			van						
Acer E1-530-21172G50Mnrr Red Win7 2Y	90472 Ft	15.6ʺ HD fényes	Pentium 2117U (1800)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	Windows7 HomePrem 64 HUN		Új	piros	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
