TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
Toshiba Satellite C55-A-1F5 White W8.1	129843 Ft	15.6ʺ HD LED fényes	Core i3 3110M (2400)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4200 mAh (Li-ion)			Új	fehér	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA				van	Multimédia	van	van						
Acer AS E1-570G-53334G1TMnkk Blk LX 2Y	129843 Ft	15.6ʺ HD LED fényes	Core i5 3337U (1800)	4096 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT740M	DVDRW SM	2 év	4 cellás	nincs (L)		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van						
Dell Inspiron 3521-AG3L Black i5 LX	129843 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3337U (1800)	6144 MB	1000 GB	2048 MB AMD Radeon HD 8730M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Szupergyors	van	van						
Toshiba Satellite C55-A-132 Black NoOs	129913 Ft	15.6ʺ HD LED (1366x768)	Core i5 3230M (2600)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Satellite			van	Szupergyors	van	van						
Lenovo ThinkPad Edge E531 Black N4I7THV FD	130630 Ft	15.6ʺ HD LED matt	Core i3 3120M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad Edge		van	Multimédia	van	van			van			
Dell Inspiron 3521 i5 M LX	132205 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3317U (1700)	6144 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Inspiron			van	Multimédia	van	van						
Lenovo ThinkPad Edge E535 Black NZRELHV FD	132205 Ft	15.6ʺ HD LED anti-glare	AMD A8-4500M (1900)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 7670M	DVDRW	2 év	6 cellás	nincs (F)		Új	fekete	4.0	3x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad Edge		van		van	van						
Toshiba Satellite C55-A-132 Black NoOs 6GB TNVB	133780 Ft	15.6ʺ HD LED (1366x768)	Core i5 3230M (2600)	6144 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Satellite			van	Szupergyors	van	van						
Dell Inspiron 3521-8 Black i5 LX 8GB	133780 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3337U (1800)	8192 (DDR3) MB	750 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	van	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Multimédia	van	van						
Fujitsu LifeBook LH532 i3 Red W8 3Y 8GB	133780 Ft	14ʺ HD LED AntiGlare	Core i3 2348M (2300)	8192 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	Windows 8 64Bit HUN		Új	piros	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Lenovo IdeaPad G510 i5 Black 59-402665 FD	133780 Ft	15.6ʺ HD LED (1366x768)	Core i5 4200M (2500)	4096 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 8750M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Szupergyors	van	van						
Lenovo IdeaPad Z585 Grey 59-367221 FD	133780 Ft	15.6ʺ HD LED (1366x768)	AMD A8-4500M (1900)	4096 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 7670M	DVDRW SM	3 év	6 cellás	nincs (F)		Új	szürke	4.0	2x3.0.2x2.0	5 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad			van		van	van						
Lenovo S510P Black 59-390195 FD	133780 Ft	15.6ʺ HD LED (1366x768)	Core i3 4010U (1700)	4096 (DDR3) MB	1000 + 8 SSD GB	2048 MB NVIDIA GF GT720M	DVDRW SM	1 év*	4 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100				IdeaPad	IdeaPad S		van	Multimédia	van	van						
Acer AS V5-132P-3322Y4G50nss Silver W8	133780 Ft	11.6ʺ HD LED Multi Touch	Core i3 3229Y (1400)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	3 cellás (extended)	Windows 8 64Bit HUN		Új	ezüst	van	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire			van	Első noteszgépem								
Dell Inspiron 3521-AA1 Black i5 LX 8GB DNVB2	133780 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3317U (1700)	8192 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 8730M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100							van	Szupergyors	van	van						
Asus X550CC-XO245D i5 White FD	133780 Ft	15.6ʺ HD LED matt	Core i5 3337U (1800)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	fehér	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van		Ajándék táska+egér				
HP ProBook 450 Grey E9Y33EA 3Y FD	133780 Ft	15.6ʺ HD LED matt	Core i3 4000M (2400)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 8750M	DVDRW SM	3 év	6 cellás	nincs (F)		Új	szürke	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	ProBook	ProBook		van	Multimédia	van	van						
Fujitsu Lifebook UH552 i5 Silver NoOs 2Y	133780 Ft	13.3ʺ HD LED AntiGlare	Intel Core i5-3317U upto 2600	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	nincs op. rsz.		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps						Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Fujitsu LifeBook A512 i3 3Y W8	133780 Ft	15.6ʺ HD LED matt	Core i3 2328M (2200)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	3 év	4400 mAh (Li-ion)	Windows 8 Pro 64Bit HUN		Új	fekete	4.0	3 db	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van	van					
Fujitsu LifeBook SW LH532 i3 Black NoOs 3Y Clip12/P 8GB	133780 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	8192 (DDR3) MB	320 GB	2048 MB NVIDIA GF GT620M	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.		Új	fekete	van	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Fujitsu Lifebook UH552 i3 Silver 2Y NoOs	133850 Ft	13.3ʺ HD LED AntiGlare	Core i3 3217U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4 cellás	nincs op. rsz.		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps						Lifebook			van	Első noteszgépem		van				Előkészítés modem nélkül		
HP ProBook 430 H6P49EA LX 3Y	137717 Ft	13.3ʺ HD LED AntiGlare	Core i5 4200U (1600)	4096 (DDR3) MB	500 GB	Intel HD 4400	No ODD	3 év	4 cellás	nincs (L)		Új	szürke	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	ProBook	ProBook		van	Multimédia		van						
Dell Vostro 5470-AA1L Silver i3 LX	137717 Ft	14ʺ HD LED (1366x768)	Core i3 4010U (1700)	4096 (DDR3) MB	500 GB	Intel HD 4400	nincs optikai meghajtó	3 év helyszíni	3 cellás	nincs (L)		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Vostro			van	Első noteszgépem		van			van			
HP ProBook 450 Grey E9Y54EA 3Y FD	137717 Ft	15.6ʺ HD LED matt	Core i5 4200M (2500)	4096 (DDR3) MB	500 GB	Intel HD 4400	DVDRW SM	3 év	6 cellás	nincs (F)		Új	szürke	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	ProBook	ProBook		van	Multimédia	van	van						
Dell Vostro 5470-AA7L Red i3 LX	137717 Ft	14ʺ HD LED Glossy	Core i3 4010U (1700)	4096 (DDR3) MB	500 GB	Intel HD 4400	No ODD	3 év	3 cellás	nincs (L)		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Első noteszgépem		van			van			
Lenovo IdeaPad Z585 Grey 59-367221 FD 6GB	137717 Ft	15.6ʺ HD LED (1366x768)	AMD A8-4500M (1900)	6144 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 7670M	DVDRW SM	3 év	6 cellás	nincs (F)		Új	szürke	4.0	2x3.0.2x2.0	5 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad			van		van	van						
Dell Inspiron 5520 Silver i5 M RD LX 3914423	137717 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Inspiron			van	Multimédia	nincs	van						
Sony Vaio VGN-FW31ZJ	139900 Ft	16.4ʺ Full HD XB (1920x1080)	Core2Duo T9550 (2660)	4096 MB	500 GB	512 MB ATI Mob.Radeon HD 3650	Blu-ray Disc (író/olvasó)	3 nap		Win Vista Home Prem 64bit HUN		Használt	ezüst	van	3 db	3 in 1	magyar		Touch pad	b/g/n 300mbps	van	10/100/1000	van		VGA	VAIO	VAIO F		van			van	van					
Lenovo ThinkPad Edge E531 Black N4I7VHV FD	140866 Ft	15.6ʺ HD LED matt	Core i3 3120M (2500)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT730M	DVDRW +/-	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad Edge		van	Multimédia	van	van			van			
Lenovo IdeaPad Z585 Grey 59-367221 FD 8GB	141654 Ft	15.6ʺ HD LED (1366x768)	AMD A8-4500M (1900)	8192 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 7670M	DVDRW SM	3 év	6 cellás	nincs (F)		Új	szürke	4.0	2x3.0.2x2.0	5 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad			van		van	van						
Fujitsu LifeBook AH552-B3HP i3 Black Win7 3Y	141654 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	3 év	8 cellás	Windows7 HomePrem 64 HUN		Új	fekete	van	3x2.0.1x3.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook AH		van	Első noteszgépem	van	van						
Fujitsu Lifebook UH552 i5 Silver NoOs 3Y Intel	141654 Ft	13.3ʺ HD LED AntiGlare	Intel® Core™ i5-3317U processor	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	nincs op. rsz.		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps						Lifebook			van	Multimédia		van				Előkészítés modem nélkül		
Lenovo IdeaPad G510 i5 Black 59-390412 FD	141654 Ft	15.6ʺ HD LED (1366x768)	Core i5 4200M (2500)	6144 (DDR3) MB	1000 + 8 SSHD GB	2048 MB AMD Radeon HD 8750M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Szupergyors	van	van						
Dell Vostro 5470-AG2L Silver i3 LX	145591 Ft	14ʺ HD LED (1366x768)	Core i3 4010U (1700)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT740M	nincs optikai meghajtó	3 év helyszíni	3 cellás	nincs (L)		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Vostro			van	Multimédia		van			van			
Dell Inspiron 5520 Silver i5 M RD LX 3914423 8GB	145591 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Inspiron			van	Multimédia	nincs	van						
Toshiba Satellite C55-A-1NK Black W8.1	145591 Ft	15.6ʺ HD LED fényes	Core i5 4200M (2500)	4096 (DDR3) MB	750 GB	1024 MB NVIDIA GF GT 710M	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows 8.1 64Bit		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA				van	Multimédia	van	van						
Asus X550CC-XO249D i7 Grey FD	145591 Ft	15.6ʺ HD LED matt	Core i7 3537U (2000)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van						
Dell Inspiron 3721-9 Black i5 LX	145591 Ft	17.3ʺ HD+ TL (1600x900)	Core i5 3337U (1800)	6144 (DDR3) MB	1000 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	van	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Multimédia	van	van						
Fujitsu LifeBook AH552 Black NoOs DBT 2Y	149528 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	nincs op. rsz.		Új	fekete	van	3x2.0.1x3.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook AH		van	Multimédia	van	van						
Dell Vostro 3360 Red i3 LX 3114198	149528 Ft	13.3ʺ HD LED AntiGlare	Core i3 2365M (1400)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)		Új	piros	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Első noteszgépem		van			van			
HP ProBook 450 Grey E9Y39EA 3Y FD	149528 Ft	15.6ʺ HD LED matt	Core i5 4200M (2500)	4096 (DDR3) MB	750 GB	2048 MB AMD Radeon HD 8750M	DVDRW SM	3 év	6 cellás	nincs (F)		Új	szürke	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	ProBook	ProBook		van	Szupergyors	van	van						
Dell Inspiron 3537-AG3L Black i7 LX EGT	149528 Ft	15.6ʺ HD LED TL (1366x768)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 8850M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Szupergyors	van	van						
Dell Vostro 3360 Silver i3 M LX	152677 Ft	13.3ʺ HD LED AntiGlare	Core i3 2375M (1500)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)		Új	ezüst	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Első noteszgépem		van			van			
Dell Vostro 5470-AA3L Silver i3 LX	153465 Ft	14ʺ HD Multi-Touch	Core i3 4010U (1700)	4096 (DDR3) MB	500 GB	Intel HD 4400	nincs optikai meghajtó	3 év helyszíni	3 cellás	nincs (L)		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Vostro			van	Első noteszgépem		van			van			
Samsung NP905S3G-K01HU White W8	153465 Ft	13.3ʺ HD LED AntiGlare	QuadCore 4x1000	4096 (DDR3) MB	128 GB SSD GB	AMD Radeon HD 8250	nincs optikai meghajtó	2 év	2 cellás	Windows 8 64Bit HUN		Új	fehér	4.0	1x3.0.1x2.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Samsung	Samsung N		van			van						
Acer AS V5-573G-54204G1Taii Silver LX 2Y	153465 Ft	15.6ʺ HD LED matt	Core i5 4200U (1600)	4096 (DDR3) MB	1000 GB		No ODD	2 év	4 cellás	nincs (L)		Új	ezüst	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van						
Fujitsu LifeBook AH552 i3 Red NoOs XT 2Y	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	8 cellás	nincs op. rsz.		Új	piros	van	3x2.0.1x3.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook AH		van	Első noteszgépem	van	van						
Dell Vostro 5470-AA8L Red i3 LX	153465 Ft	14ʺ HD Multi-Touch	Core i3 4010U (1700)	4096 (DDR3) MB	500 GB	Intel HD 4400	No ODD	3 év helyszíni	3 cellás	nincs (L)		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Első noteszgépem		van			van			
Dell Vostro 3360-HA1L Coffee i3 LX	153465 Ft	13.3ʺ HD LED AntiGlare	Core i3 3227U (1900)	4096 (DDR3) MB	320 GB	Intel HD Graphics 4000	No ODD	3 év helyszíni	4 cellás	nincs (L)		Új	barna	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van			van			
Asus X550CC-XO726D i7 Grey FD	153465 Ft	15.6ʺ HD LED matt	Core i7 3537U (2000)	4096 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT720M	DVDRW SM	2 év	4 cellás	nincs (F)		Új	szürke	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van		Ajándék táska+egér				
Fujitsu LifeBook AH552 i3 Black NoOs XT 2Y	153465 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	8 cellás	nincs op. rsz.		Új	ezüst	van	3x2.0.1x3.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook AH		van	Első noteszgépem	van	van						
Dell Vostro 3360-HA6L Silver i3 LX	153465 Ft	13.3ʺ HD LED AntiGlare	Core i3 3227U (1900)	4096 (DDR3) MB	320 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	nincs (L)		Új	ezüst	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Első noteszgépem		van			van			
Samsung NP530U3C-K01HU Black W8 ULB	157402 Ft	13.3ʺ HD LED AntiGlare	Core i3 3227U (1900)	4096 (DDR3) MB	500 + 24 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	Windows 8 64Bit HUN		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Samsung	Samsung N		van	Ultrabook		van						
Lenovo U330P Grey 59-390441 W8	157402 Ft	13.3ʺ HD LED AntiGlare	Core i3 4010U (1700)	4096 (DDR3) MB	500 + 8 SSHD GB	Intel HD 4400	No ODD	2 év	4 cellás	Windows 8 64Bit HUN		Új	szürke	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps									van	Első noteszgépem		van						
Dell Inspiron 3737-AG2L Black i7 LX	157402 Ft	17.3ʺ HD+ TL (1600x900)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	2048 MB AMD Radeon HD 8870M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100				Inspiron			van	Szupergyors	van	van						
Dell Vostro 3560-HA1L Silver i5 LX	157402 Ft	15.6ʺ HD LED anti-glare	Core i5 3230M (2600)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/- DL	3 év helyszíni	6 cellás	nincs (L)		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van			
Dell Vostro 3560-35 Red i5 LX	157402 Ft	15.6ʺ HD LED anti-glare	Core i5 3230M (2600)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/- DL	3 év helyszíni	6 cellás	nincs (L)		Új	piros	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van			
Dell Vostro 5470-AG12L Silver i5 LX	157402 Ft	14ʺ HD LED (1366x768)	Core i5 4200U (1600)	4096 (DDR3) MB	500 GB	2048 MB NVIDIA GF GT740M	No ODD	3 év	3 cellás	nincs (L)		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Szupergyors		van			van			
Fujitsu LifeBook E753 i3 Silver NoOs 3Y	157402 Ft	15.6ʺ HD LED anti-glare	Core i3 3120M (2500)	4096 (DDR3) MB	320 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	5400 mAh (Li-ion)	nincs op. rsz.		Új	ezüstszürke	4.0	3 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook E	van	van	Első noteszgépem	van				van			
Fujitsu LifeBook E733 Silver NoOs 3Y Intel	157402 Ft	13.3ʺ HD LED AntiGlare	Intel® Core™ i3-3110M Processor	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	5400 mAh (Li-ion)	nincs op. rsz.		Új	ezüstszürke	4.0	3 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Lifebook	Lifebook E	van	van	Első noteszgépem								
Dell Vostro 3560-33 Silver i5 LX	157402 Ft	15.6ʺ HD LED anti-glare	Core i5 3230M (2600)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/- DL	3 év helyszíni	6 cellás	nincs (L)		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van			
Lenovo U430P Red 59-390461 W8	157402 Ft	14ʺ HD LED AntiGlare	Core i3 4010U (1700)	4096 (DDR3) MB	500 + 8 SSHD GB	Intel HD 4400	No ODD	2 év	4 cellás	Windows 8 64Bit HUN		Új	piros	4.0	1x3.0.2x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000							van	Első noteszgépem		van						
Dell Vostro 3560-HA3L Red i5 LX	157402 Ft	15.6ʺ HD LED anti-glare	Core i5 3230M (2600)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/- DL	3 év helyszíni	6 cellás	nincs (L)		Új	piros	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van			
Dell Vostro 3460 Silver i3 LX 3314199	157402 Ft	14ʺ HD LED AntiGlare	Core i3 2370M (2400)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB NVIDIA GF GT630M	DVDRW +/-	3 év	6 cellás	nincs (L)		Új	ezüst	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro			van	Multimédia		van			van			
Lenovo IdeaPad G500 Black 59-390049 FD	157402 Ft	15.6ʺ HD LED (1366x768)	Core i7 3612QM (2100)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB AMD Radeon HD 8750M	DVDRW SM	2 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	IdeaPad	IdeaPad G		van	Szupergyors	van	van						
Dell Vostro 3360-31 Coffee i3 LX	161339 Ft	13.3ʺ HD LED AntiGlare	Core i3 3227U (1900)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)		Új	barna	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Első noteszgépem		van			van			
