TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Toshiba Satellite C50-A-14G Notebook	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Acer E1-530-21172G50Mnkk NX.MEQEU.012 Notebook	70787 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CA-XO113D Notebook	72362 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		2.3 kg						
Acer V5-431-10074G50Mauu NX.M18EU.003 Lila	73150 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	342 x 245 x 22.85 - 24.25 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	4 cellás (37WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
HP 250 G1 H0W78EA Notebook	73937 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 1000M (Dual-Core, 1.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
Lenovo IdeaPad B590 59-389566 Notebook	73937 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	378 x 252 x 33.4 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.5 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-530-21174G50MNKK NX.MEQEU.001 Notebook	73937 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Pentium® 2117U (Dual-Core, 1.8 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
HP 255 G1 H6Q17EA Notebook	73937 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® E1-1500 (Dual-Core, 1.48 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,58 cm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A68M Fusion™	AMD Radeon™ HD 7310	Beépített Altec Lansing® sztereó hangszórók	6cellás (47WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS		2,45 kg						
HP Compaq Presario CQ58-351SH D4Y04EA Notebook	74724 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® E1-1200 (Dual-Core, 1.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,6 x 24,7 x 3,13 cm	magyar		beépített HD webkamera, médiakártya-olvasó	AMD® A68M Fusion™	AMD Radeon™ HD 7310	Altec Lansing® hangszórók	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		2,45 kg						
Toshiba Satellite C50-A-14L Notebook	74724 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	Lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Lenovo IdeaPad G500 59-390483 Notebook	74724 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 1005M (Dual-Core, 1.9 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
