TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Samsung Ativ Book 4 NP450R5E-X03HU Piros Notebook	137787 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3120M (Dual-Core, 2.5 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	376 x 248 x 22,9 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	3 cellás (43 WHr) Lithium-Ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS, WiDi támogatás		1,99 kg	2 év					
ASUS X550CC-XO093D Notebook	0 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Toshiba Satellite C55-A-134 Notebook	138504 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
ASUS U40SD-WX113D Ezüst Notebook	139291 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (Dual-Core, 2.50 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)		Üzembehelyezés / installáció 6000Ft	32.8 x 23.8 x 2.00 ~ 2.99 cm	magyar		beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	Mobile Intel® HM65 Express Chipset	DVD író / olvasó (supermulti)	Altec Lansing® hangszórók	8 cellás lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)		1.98 kg						
Samsung Ativ Book 4 NP450R5E-X02HU Fehér	139291 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3120M (Dual-Core, 2.5 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	376 x 248 x 22,9 mm	magyar teljes méretű, numerikus billentyűkkel		3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	3 cellás (43 WHr) Lithium-Ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS, WiDi támogatás		1,99 kg	2 év					
Acer TMP633-M-33124G50tkk NX.V7MEU.018 Notebook	139291 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Intel® Core™ i3-3120M (Dual-Core, 2.5 GHz)		13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	325,0 x 235,0 x 24,8 mm	magyar		5 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	ujjlenyomat olvasó, TPM chip		1,90 kg	3 év nemzetközi, véletlen sérülésre is, belföldön el- és visszaszállítás		VGA monitor kimenet, Gigabit LAN (10/100/1000), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (3db), kombinált eSATA/USB 2.0, Bluetooth v4.0 + HS			
Acer TMP453-M-53234G50MTKK NX.V6ZEU.019 Notebook	140079 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381.6 x 253 x 25.74 - 33.8 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6 cellás lithium-ion	TPM chip		2,5 kg	3 év nemzetközi, véletlen sérülésre is, belföldön el- és visszaszállítás		USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS			
ASUS X550CC-XO245D Fehér Notebook	140866 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)	8GB DDR3 1600MHz	15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
ASUS X550CC-XO246D Fehér Notebook	140866 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)	8GB DDR3 1600MHz	15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)		2.3 kg						
Acer E1-771G-53234G1TMNII NX.MG6EU.003 Notebook	140866 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	414.8 x 275.0 x 34.65 - 31 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	6cellás (48WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		3.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-473G-54204G1Taii NX.MC8EU.005 Notebook	140866 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		14" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	342 x 245 x 14,4 - 25,3 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 740M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,1 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-570G-53338G1TMNKK NX.MESEU.005 Notebook	140866 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 740M 2GB DDR3	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-552G-10578G1Takk NX.MCUEU.006 Notebook	140866 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® A10-5757M (Quad-Core, 2.5 - 3.5 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381.6 x 255.95 x 20.75 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A76M Fusion™	AMD Radeon™ HD 8750M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lithium-polymer	USB 2.0 (2db), HDMI csatlakozó, USB 3.0 (1db), Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		2.00 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Samsung NP400B2B-A01HU Fekete Notebook	0 Ft	12,5" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (Dual-Core, 2.50 GHz)		12,5" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	302.1 x 223.7 x 28.3 ~ 32.2 mm	magyar		4 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	Mobile Intel® HM65 Express Chipset		Intel® HD Graphics 3000	6cellás 4400 mAh (Lithium-ion)	ujjlenyomat olvasó, TPM chip		1.74 kg	2 év		USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS			
Acer V5-132P-3322Y4G50nbb NX.MEHEU.001 Notebook	141654 Ft		Intel® Core™ i3-3229Y (Dual-Core, 1.4 GHz)		11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	289 x 206 x 21.2 mm	magyar		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	3-cellás Lithium-Ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás	11,6" (Multi-touch, 1366x768, 16:9, fényes, LED)				
Lenovo IdeaPad S510p 59-390208 Notebook	141654 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 259 x 24.9 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.4 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G510 59-390412 Notebook	141654 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200M (Dual-Core, 2.5 - 3.1 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8750M 2GB DDR3	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Dell Latitude E5430 153323 Notebook	141654 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-3120M (Dual-Core, 2.5 GHz)		14" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	350 x 240 x 29,90 – 32,5 mm	magyar, LED világítással		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	6cellás (60WHr) lithium-ion	VGA monitor kimenet, FireWire I-link IEEE1394, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, USB 3.0 (2db), kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v4.0 + HS		2,04 kg	3 év helyszíni garancia					
HP ProBook 4545s TC_14383754 Notebook	141724 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	AMD® A8-4500M (Quad-Core, 1.9 - 2.8 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	37,5 x 25,6 x 2,8 cm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, médiakártya-olvasó	AMD® A70M Fusion™	AMD Radeon™ HD 7650M 2GB DDR3	SRS Premium Surround Sound	6cellás (47WHr) lithium-ion	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.33 kg	3 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X550CC-XO729D Fehér Notebook	0 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i7-3537U (Dual-Core, 2.0 - 3.1 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	38.0 x 2.51 x 2.48 ~ 3.17 cm	magyar teljes méretű, numerikus billentyűkkel		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	SonicMaster beépített hangszóró és mikrofon	4 cellás (37WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.3 kg						
Acer V5-171-73538G50ASS NX.M3AEU.031 Notebook	144016 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Core™ i7-3537U (Dual-Core, 2.0 - 3.1 GHz)	8GB DDR3 1600MHz	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 27.4 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.38 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-570G-53334G1TMnkk NX.MESEU.013 Notebook	144016 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3337U (Dual-Core, 1.8 - 2.7 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 740M 2GB DDR3	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
HP ProBook 430 G1 H6P49EA Notebook	144803 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	32,6 x 23,35 x 2,1 cm	magyar, csepálló		SD/SDHC/SDXC kártyahely, beépített HD webkamera	Mobile Intel® HM87 Express Chipset	Intel® HD Graphics 4400	Beépített sztereó hangszórók	4 cellás (44WHr) lithium-ion	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		1,5 kg	3 év nemzetközi, belföldön el- és visszaszállítás					
Dell Inspiron 15 3537 157867 Notebook	145591 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-4200U (Dual-Core, 1.6 - 2.6 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8670M 2GB DDR3	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,35 kg	3 év					
Fujitsu Lifebook UH552 UH552M65A2HU Slimbook	0 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Intel® Core™ i5-3317U (Dual-Core, 1.7 - 2.6 GHz)		13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	323 x 234 x 18.0 mm	magyar	128GB SSD SATA	4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	Intel® HD Graphics 4000	Beépített sztereó hangszórók	4 cellás (42WHr) lithium-ion	USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		1.57 kg	2 év					
Acer TMP453-MG-53234G75Mtkk NX.V7UEU.013 Notebook	147165 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381.6 x 253 x 25.74 - 33.8 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	NVIDIA® GeForce® GT 630M 1GB DDR3	Beépített sztereó hangszórók	6 cellás lithium-ion	ujjlenyomat olvasó, TPM chip		2,5 kg	3 év nemzetközi, véletlen sérülésre is, belföldön el- és visszaszállítás		USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS			
Lenovo ThinkPad Edge Plus E531 N4I2HHV Notebook	147165 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 25 mm	magyar teljes méretű, numerikus billentyűkkel		4 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM77 Express Chipset	Intel® HD Graphics 4000	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	ujjlenyomat olvasó		2.44 kg			VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS			
Toshiba Satellite C55-A-10Q Fehér Notebook	147953 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® 710M 1GB DDR3	Beépített sztereó hangszórók	6 cellás lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
Acer E1-572G-74504G1TMnii NX.MJREU.006 Notebook	147953 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-4500U (Dual-Core, 1.8 - 3.0 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	381,6 x 256 x 12,07 - 25,3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ R7 M265 2GB GDDR5	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,35 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Dell Inspiron DI3537A2-4500-8GH1TD6BK-11 NotebookCikkszám: 157813	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i7-4500U (Dual-Core, 1.8 - 3.0 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	376 x 259 x 24,9 / 31,3 mm	magyar teljes méretű, numerikus billentyűkkel		8 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	AMD Radeon™ HD 8850M 2GB GDDR5	Beépített sztereó hangszórók	6cellás (65WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2,35 kg	3 év					
Lenovo IdeaPad G500s 59-390163 Piros Notebook	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 260 x 26.9 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® GT 720M 2GB DDR3	Dolby® Advanced Audio™ v2	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.7 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Samsung ATIV Book 9 Lite NP905S3G-K01HU Notebook	0 Ft	13,3" (HD 1366x768, 16:9, matt, LED)	Quad-Core Processor (up to 1.4GHz)	4GB DDR3 1066MHz	13,3" (HD 1366x768, 16:9, matt, LED)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	324.0 x 224.0 x 16.9 mm	magyar	128GB SSD SATA	SD/SDHC/SDXC kártyahely, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ Graphics	Beépített sztereó hangszórók	2 cellás (30 WHr) Lithium-Ion	Gigabit LAN (10/100/1000), USB 2.0 (1db), Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS, Micro HDMI		1.44 kg	2 év					
Toshiba Satellite C55-A-135 Notebook	149528 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3230M (Dual-Core, 2.6 - 3.2 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	380 x 242 x 30,8 / 33,35 mm	magyar teljes méretű, numerikus billentyűkkel		beépített HD webkamera, Univerzális kártyaolvasó	Mobile Intel® HM76 Express Chipset	NVIDIA® GeForce® 710M 2GB DDR3	Beépített sztereó hangszórók	Lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2,3 kg						
