TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Acer Aspire V5-573G-74504G1Takk	9.4413189304666E+50 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	Acer ComfyView™	Intel®	Core i7	4500U 1.8 GHz	4M Cache, max. 3.00 GHz	4 GB		alaplapon, 1 soDIMM hely, max. 12GB				nVidia	GeForce® GT 750M 4GB	Dedikált, saját memóriával		2.0 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	53 Wh 3560 mAh 15 V 4-cellás Li-polymer max. 7,5h	Nincs		Játék/3D grafika, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Igen	1000 GB	HDD	Serial ATA		Magyar, Numerikus billentyűzet, Háttérvilágításos	háttérvilágítással105-/106-/109-gombos FineTouch™	Acer ZoomPerfect touchpad	Dolby Digital Home Theater® v4 audio 4 hangszóró, digitális mikrofonCombo audio jack	Memóriakártya olvasó, USB 3.0, Webkamera, HDMI, VGA	HDMI®, Acer Converter port, 1* USB 3.0, 2* USB 2.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-Fi Gigabit Ethernet	Külön vásárolható	Boot-up Linux	381.6 (W) x 255.95 (D) x 18/20.75 (H) mm					4096 MB	Acer Converter kábel (VGA-out)			
Dell Inspiron 7537	9.4413189668558E+40 Ft	15,6 "	1920x1080 Full HD 1080	Fényes, Érintőképernyő, LED	Touch Display, Truelife	Intel®	Core i7	4500U 1.8 GHz - 3.0 GHz	4M Cache	8 GB	DDR3 1600 MHz	2 DIMM (2x4GB) DDR3L				nVidia	GeForce® GT750M 2GB GDDR5	Dedikált, saját memóriával		2.6 Kg	3 év (1 év az akkura és töltőre)	Világ, Szerviz	4-cellás Lithium Ion (58WHr) Prismatic	Nincs	Mobile Intel® HM76 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Igen	1000 GB	HDD	5400RPM SATA		Háttérvilágításos, Numerikus billentyűzet, Magyar	háttérvilágítással	Multi-touch Touchpad	Waves MaxxAudio® Pro sztereo hangszórók, digitális mikrofonheadphone/ microphone jack	Bluetooth, HDMI, USB 3.0, Webkamera, Memóriakártya olvasó	Bluetooth 4.0(4) USB 3.0 (1 PowerShare), HDMI™ v1.4a	Multi-media kártyaolvasó: (SD, SDHC, SDXC, MS, MS Pro, MSXC, MMC, MMC+)	1.0MP HD Webkamera digitális mikrofonnal	WLAN	Intel Dual Band Wireless-N 7260 2x2 AGNEthernet 10/100/1000	Windows 8	Linux	379.4mm*20.5mm(22.2mm)*254.8mm			64 bit	Angol, Választható, Magyar	2048 MB			Ubuntu Linux 12.04 SP1	
HP-Compaq ProBook 6475b	1.7715751895189E+26 Ft	14,1 "	1600x900 WXGA HD+	LED, Matt	Antiglare	AMD	A6-Series	A6-4400M 3.2/2.7 GHz	1 MB L2 cache, 2 mag	4 GB	DDR3 1600 MHz	Legfeljebb 16 GB				AMD/ATI	Radeon HD 7520G	Alaplapi integrált		Kezdő súly: 2,03 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás (55 Wh) lítiumion: akár 8 óra 30 perc	DVD író	AMD A70M FCH	Professzionális, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	7200 rpm SATA II merevlemez meghajtó, HP 3D DriveGuard		Magyar	Teljes méretű cseppálló billentyűzet vízelvezetőkkel	Érintőtábla be- és kikapcsoló gombbal, kétirányú görgetéssel, mozdulatokkal és két gombbal; Pöcökegér kéttovábbi pöcökegérgombbal (egyes típusokon);	SRS Premium Sound; Beépített sztereó hangszórók; Beépített mikrofon (opcionális webkamera alkalmazása esetén dupla tömbmikrofon); Sztereó fejhallgató-/vonalikimenet; Sztereó mikrofonbemenet	ExpressCard, Memóriakártya olvasó, eSATA, IEEE 1394 FireWire, Dokkolócsatlakozó, USB 3.0, Webkamera, VGA, DisplayPort, Bluetooth	Bluetooth 4.0+ EDR, 2 USB 3.0; 1 USB 2.0; 1 DisplayPort; 1 1394a; 1 kombinált eSATA/USB 2.0; 1 VGA	1 Express Card/54; 1 SD/MMCdokkolócsatlakozó; 1 másodlagos akkumulátorcsatlakozó	720p HD webkameraTPM 1.2 beágyazott biztonsági chip	WLAN	Broadcom 802.11a/b/g/nBeépített Realtek 10/100/1000 hálózati csatlakozó	Windows 7 / 8 Pro	Microsoft® Office Starter: csak a Word és az Excel® programot tartalmazza, csökkentett funkcionalitással és hirdetésekkel. A PowerPoint® és az Outlook® alkalmazást nem tartalmazza. A teljes szoftvercsomag használatához meg kell vásárolnia az Office 2010 szoftvert Microsoft Security Essentials HP Connection Manager HP gyorsbillentyű támogatása HP Power Assistant HP ProtectTools for Central Management HP ProtectTools Security Manager HP Recovery Manager HP Support Assistant HP webkameraszoftver (egyes típusok esetén) Adobe® Flash Player Corel WinDVD (egyes típusoknál) PDF Complete vállalati kiadás Roxio MyDVD Business 2010 (egyes típusoknál) Roxio Secure Burn (egyes típusoknál) A Skype használatára felkészítve (internet-hozzáférés szükséges) WinZip Basic HP SoftPaq Download Manager	33,8 x 23,1 x 3,4 cm		DVD+/-RW SuperMulti DL	64 bit	Angol, Magyar				Windows 7 Professional 32 (elérhető Windows 8 Pro 64 downgrade által	
Samsung Ativ Book 5	1.8503121647934E+36 Ft	14,1 "	1366x768 WXGA HD	LED, Matt	Anti-Reflective	Intel®	Core i5	3337U (1.80 GHz - 2.70GHz)	3 MB L3 Cache	4 GB	DDR3 1600 MHz	alaplapon, 1 SODIMM hely				AMD/ATI	Radeon™ HD 8750M 2GB gDDR3	Dedikált, saját memóriával		1.83 Kg	2 év (1 év az akkura és töltőre)	Szerviz	Li-ion 4Cellás (57Wh)	Nincs	Intel HM76	Játék/3D grafika, 2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	Hibrid (HDD + SSD)	S-ATA 5400RPM + ExpressCache	(PowerExpress)		"Island-type"	Clickpad	JBL Sztereo hangszórók ( 2 W x 2 ), digitális mikrofonSoundAlive™Headphone out/Mic-in Combo x 1	USB 3.0, HDMI, Bluetooth, VGA, Memóriakártya olvasó, Webkamera	Bluetooth 4.02xUSB 2.0 + 1xUSB 3.0 port(Sleep-and-Charge), HDMI, D-SUB adapterrel	3in1 kártyaolvasó (SD / SDHC / SDXC)	720p HD Webkamera	WLAN	Intel® Centrino® Advanced-N 6235, 2x2 802.11 abg/n, Widi támogatásGigabit Ethernet [10/100/1000]	Windows 8	S PlayerS GalleryS CameraEvernoteMicrosoft Office próbaverzióSettingsSupport CenterSW UpdateRecoveryNorton Internet Security (60 nap)Norton Online Backup (30 nap)PowerDVD	338 x 234 x 19.5mm	72 órás pixelhiba garancia		64 bit	Magyar, Angol, Választható	2048 MB		24 GB		
Asus U32VJ-RO015P	1.7802365892165E+18 Ft	13,3 "	1366x768 WXGA HD	Fényes, LED		Intel®	Core i5	3210M 2,5Ghz	max. 3,1GHz, 3MB cache	4 GB	DDR3 1600 MHz	max. 8 GB				nVidia	GeForce® GT 635M 1GB	Dedikált, saját memóriával		1.89 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	8 cellás 5600 mAh 83 Whr		Intel® HM76 Chipset	2 kg alatt, Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Nem	750 GB	HDD	5400rpm 2.5" SATA		Magyar			Bang & Olufsen ICEpower®beépített hangszórók és mikrofon1 x Microphone-in jack1 x Headphone-out jack	HDMI, Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth	Bluetooth 3.03 x USB 3.0 port1 x HDMI	3 -in-1 kártyaolvasó (SD/ MS/ MMC)	HD(720p) Webkamera	WLAN	802.11 b/g/n WLAN 10/100/1000 Base T LAN	Windows 7 / 8 Pro		328 x 238.5 x 9 ~26.1 mm				Magyar	1024 MB	Táska és egér			
HP-Compaq ProBook 470 G1	1.8794460041319E+32 Ft	17,3 "	1600x900 WXGA HD+	LED, Matt	csillogásmentes	Intel®	Core i5	4200M 2,5GHz	3 MB gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	(1 x 4 GB) DDR3L, 2 SODIMM hely, Legfeljebb 16 GB				AMD/ATI	Radeon HD 8750M 2GB DDR3	Dedikált, saját memóriával		2,87 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás (47 Wh) lítiumionAkár 8 óra 15 perc	DVD író	Mobil Intel® HM87	Üzleti, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	HDD	5400 f/p SATAHP 3D DriveGuard		Numerikus billentyűzet, Magyar	Teljes méretű cseppálló billentyűzet numerikus billentyűzettel	Kézmozdulatokat támogató érintőtábla LED-es be- és kikapcsoló gombbal, kétirányú görgetéssel és két gombbal	DTS Sound+ Beépített sztereó hangszórók Beépített digitális mikrofon Kettős mikrofonelrendezés1 sztereó mikrofonbemenet 1 fejhallgató/vonali kimenet 1 VGA	Bluetooth, HDMI, VGA, Memóriakártya olvasó, Webkamera, USB 3.0	Bluetooth 4.02 USB 3.0 2 USB 2.0 1 HDMI, 1 VGA	1 médiakártya-olvasó	720p HD webkamera	WLAN	Mediatek 802.11b/g/n (1x1) wifiRealtek Ethernet (10/100/1000)	Windows 8	HP vezeték nélküli hozzáférési pont HP ePrint, HP gyorsbillentyűk támogatása HP Recovery Manager	41,38 x 27,95 x 2,53 cm (elöl)		DVD+/-RW SuperMulti DL	64 bit	Angol, Magyar, Választható	2048 MB				
Fujitsu LIFEBOOK AH562 Touch - MW8	1.8101577896686E+26 Ft	15,6 "	1366x768 WXGA HD	Érintőképernyő, Fényes, LED	Muti-Touch, 400cd, 400:1, Crystal View	Intel®	Core i5	3230M 2.6 GHz/3.2GHz	3MB cache	4 GB		1x 4GB max. 16 GB (2 slot)				Intel	HD Graphics 4000	Alaplapi integrált		2.4Kg	2 év (1 év az akkura és töltőre)	Szerviz	6 cellás Lithium ion (48 Wh); max. 5 1/2 h	DVD író	Mobile Intel® HM76 Express Chipset	Üzleti, Általános otthoni/irodai	Notebook / Laptop	Új	Fehér hátlap	Nem	500 GB	HDD	5400rpm Serial ATA		Magyar, Numerikus billentyűzet	103-gombos, teljes méretű cseppálló billentyűzet	Clickpad	Realtek® codec ALC269-VC2 DTS Boost™ audio, stereo hangszórók, mikrofonheadphone/line-out jack, stereo microphone/line-in jack	VGA, Bluetooth, ExpressCard, Webkamera, USB 3.0, HDMI	Bluetooth V4.0, VGA, HDMI, 1x USB 2.0, 3x USB 3.0	4-in-1 kártyaolvasó: SD/MS/MSPro/MMCExpress card 34mm	HD kamera	WLAN	WLAN: b/g/nLAN: Gigabit (10/100/1000 Mbit)	Windows 8	Office 2013 próbaverzióAdobe Reader®, McAfee® Multi Access Security (60 nap)Microsoft Skype for Windows 8, Roxio Creator, CyberLink YouCam, CyberLink PowerDirector, CyberLink PowerDVD			Dual-Layer Multi-Format DVD író	64 bit	Magyar, Választható, Angol					
Sony VAIO SVF1521V1EB	3.9296685578934E+32 Ft	15,6 "	1366x768 WXGA HD	LED		Intel®	Core i5	3337U 1,8 GHz	3MB L3 cache Turbo Boost Boost technológiával, max. 2,7 GHz	6 GB	DDR3 1600 MHz	1 db 4 GB (SO-DIMM) + 1 db 2 GB (SO-DIMM)				nVidia	GeForce® GT 740M 1 GB	Dedikált, saját memóriával			2 év (1 év az akkura és töltőre)	Szerviz	Lítium-ion akkumulátorAkkumulátor élettartama (óra) 5Teszt: MobileMark 2007	DVD író	Intel® HM76 Express chipkészlet	Játék/3D grafika, Multimédiás	Notebook / Laptop	Új	Fekete hátlap	Igen	1000 GB	HDD	SATA 5400rpmMerevlemez rázkódásának védelme	NVIDIA® Optimus™ technológiával+Intel® HD Graphics 4000	Numerikus billentyűzet, Háttérvilágításos, Magyar	HáttérvilágításGombok távolsága (mm) 19Kitérés (mm) 1,5Számbillentyűzet	Érintőpanel (kézmozdulat felismerése támogatott)	S-Force Front Surround 3DBeépített hangsugárzókBeépített mikrofonMikrofon csatlakozóFejhallgató csatlakozó	USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth, HDMI	Bluetooth® normál ver. 4.0 + HSSuperSpeed USB (USB 3.0) port A típusú csatlakozó töltő funkcióval x 1, SuperSpeed USB (USB 3.0) port A típusú csatlakozó x 1, Hi-Speed USB (USB 2.0) port A típusú csatlakozó x 2HDMI® kimenet	1 db SD-memóriakártya, SDHC- és SDXC-kompatibilis, a másolásvédelmet nem támogatja	0,92MP Exmor RTM for PC HD webkamera 1280 x 720	WLAN	Vezetéknélküli LAN IEEE 802.11b/g/nEthernet (RJ-45 közvetlen port)	Windows 8	VAIO Message CenterPlayMemories Home, VAIO Movie CreatorVAIO CareVAIO Transfer Support, VAIO Update, VAIO Control CenterMcAfee Internet Security 30 napos előfizetés, McAfee Parental Controls	260*25,1*380mm		DVD SuperMulti meghajtó		Magyar, Választható, Angol	1024 MB				
Asus ASUSPRO ADVANCED B43V-CU070D	1.8282649647619E+36 Ft	14,1 "	1366x768 WXGA HD	Matt, LED	csillogásmentes	Intel®	Core i3	3120M 2.50 GHz	3M Cache	4 GB	DDR3 1600 MHz	2 db SO-DIMM hely, max. 8 GB				Intel	HD Graphics 4000	Alaplapi integrált		2.48 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6-cellás : 5200 mAh 47 wattórás	DVD író	Intel® Chief River HM77 lapkakészlet	Üzleti, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	2,5 hüvelykes, SATA		Magyar			Beépített hangszóró és mikrofonSonicMaster1 db Mikrofon-bemenet1 db fejhallgató ki jack	Memóriakártya olvasó, eSATA, VGA, DisplayPort, Bluetooth, HDMI, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth™ V4.01 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI 1 db (USB 2.0-val kombinált) E-SATA csatlakozó1 db DisplayPort	5 -in-1 kártyaolvasó ( SD/ MS/ MS Pro/ xD/ MMC)1 db dokkolócsatlakozó (üzem közben csatlakoztatható)	HD 1 megapixeles webkameraUjjlenyomat olvasó	WLAN, Modem	802.11 b/g/n wifi10/100/1000/GigabitBaseT LAN1 db RJ11 modemcsatlakozó a telefonvonalhoz	Külön vásárolható	DOS	350 x 245 x 33 ~35 mm (szélesség x mélység x magasság)	Video megtekintése ->	Super-Multi DVD							
Lenovo Flex 15	1.8314146041319E+35 Ft	15,6 "	1366x768 WXGA HD	Érintőképernyő	Slim 300 fokban kihajtható10 pontos multitouch	Intel®	Core i5	4200U 1.6/2,6 GHz	3M Cache	8 GB	DDR3 1600 MHz	1x8GB, max. 8GB PC3-12800 DDR3L				nVidia	720M 2GB	Dedikált, saját memóriával		2,2kg	1 év (1 év az akkura és töltőre)	El- és visszaszállításos	4 cellás (48 wh)max. 9 óra	Nincs		Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	Hibrid (HDD + SSD)	5400rpm HDD + SSHD		Magyar	AccuType	Multitouch Touchpad	Dolby® Advanced Audio™sztereo hangszórókCombo jack	Bluetooth, USB 3.0, Memóriakártya olvasó, VGA, HDMI, Webkamera	Bluetooth 4.02 x USB 2.0, 1 x USB 3.0, HDMI-out, VGA	2-in-1 kártyaolvasó (SD / MMC)	720p HD webkamera mikrofonnal	WLAN	Intel 7260 b/g/n Wireless (2x2 BGN)LAN port	Windows 8	Lenovo® CompanionLenovo SupportMcAfee® Internet Security TrialLenovo Cloud Storage by SugarSyncYouCamAmazon KindleMicrosoft Office 2013 próbaverzióEvernote		Video megtekintése ->			Magyar, Választható, Angol	2048 MB		8 GB		
Asus ASUSPRO ADVANCED B53A-SO196D	1.8833859896686E+31 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	csillogásmentes	Intel®	Core i5	3230M 2.6GHz	3M Cache, max. 3.20 GHz	4 GB	DDR3 1600 MHz	2 db SO-DIMM hely max. 8 GB				Intel	HD Graphics 4000	Alaplapi integrált		2.69 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6-cellás : 4400 mAh 47 wattórás	DVD író	Intel® Chief River HM77/QM77 lapkakészlet	Üzleti, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	750 GB	HDD	2,5 hüvelykes, SATA		Magyar			Beépített hangszóró és mikrofonSonicMaster1 db Mikrofon-bemenet1 db fejhallgató ki jack	Memóriakártya olvasó, eSATA, VGA, DisplayPort, Bluetooth, HDMI, Webkamera, Ujjlenyomat olvasó, Dokkolócsatlakozó, USB 3.0	Bluetooth™ V4.01 db VGA csatlakozó/Mini D-sub 15 érintkezőlábas csatlakozó külső monitorhoz1 db USB 3.0 csatlakozó 1 db USB 2.0 csatlakozó1 db HDMI 1 db (USB 2.0-val kombinált) E-SATA csatlakozó1 db DisplayPort	5 -in-1 kártyaolvasó ( SD/ MS/ MS Pro/ xD/ MMC)1 db dokkolócsatlakozó (üzem közben csatlakoztatható)	HD 1 megapixeles webkameraUjjlenyomat olvasó	WLAN, Modem	802.11 b/g/n WLAN 10/100/1000/GigabitBaseT LAN1 db RJ11 modemcsatlakozó a telefonvonalhoz	Külön vásárolható	DOS	384 x 263 x 32 ~35 mm (szélesség x mélység x magasság)	Video megtekintése ->	Super-Multi DVD							
Acer Aspire V3-772G-54208G1TMakk	9.4413189304662E+47 Ft	17,3 "	1920x1080 Full HD 1080	LED, Matt	Acer ComfyView™ (300-nit)	Intel®	Core i5	4200M 2,5GHz	3MB Cache, max. 3.10 GHz	8 GB	DDR3 1600 MHz	1*8GB, 2 slot / max. 16GB				nVidia	GeForce® GT 750M 4GB DDR3	Dedikált, saját memóriával		3,20 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 11.1 V 6-cellás Li-ionMaximális akkumulátor üzemidő 3 óra	DVD író	Mobile Intel® HM86 Express	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Igen	1000 GB	HDD	Serial ATA 5400rpm		Magyar, Numerikus billentyűzet	103-/104-/107-gombos FineTip	Acer ZoomPerfect touchpad, multi-gesture	Dolby® Home Theater® v4 audioSztereo hangszórók, mikrofonHeadphone/speaker és microphone-in jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA, Bluetooth	Bluetooth 4.0, HDMI, USB 2.0*2, USB 3.0*3, VGA	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11a/b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	414.8 (W) x 275 (D) x 31/34.65 (H) mm	Video megtekintése ->	8X DVD-Super Multi double-layer			4096 MB				
Lenovo ThinkPad Edge S531	1.9117323896686E+35 Ft	15,6 "	1920x1080 Full HD 1080	LED, Matt	anti-glare, 300 nit	Intel®	Core i5	3337U 1.80 GHz	3M Cache	6 GB		2GB alaplapi + 4 GB, max. 10GB				AMD/ATI	Radeon™ HD 8870 2GB	Dedikált, saját memóriával		2.29kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	Li-Polymer 4-cellás (62.8Whr)MobileMark 2007, Windows 7: max. 8.4 hrMobileMark 2012, Windows 8: max. 5.9 hr	Nincs	Mobile Intel HM76 Express Chipset	Játék/3D grafika, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	7200rpm		Háttérvilágításos, Numerikus billentyűzet	LED háttérvilágított billentyűzet6-soros, cseppálló, multimedia Fn gombok	TrackPoint és UltraNav™ multi-touch touchpad	Dolby® Home Theater® v4High Definition (HD) Audio, ALC3202 codec / JBL® sztereo hangszórók, 1.5 watt x 2 dual mikrofon, combo audio/mic jack	Webkamera, USB 3.0, Dokkolócsatlakozó, HDMI, Bluetooth, Memóriakártya olvasó	Bluetooth 4.02*USB 3.0, HDMI	4 in 1 kártyaolvasó (MMC, SD, SDHC, SDXC)OneLink Docking port	720p HD Webkamera	WLAN	WiFi: Intel bgn 2x2Gigabit ethernet	Külön vásárolható	DOS	379.0mm x 252.4mm x 20.7mm			64 bit	Magyar	2048 MB		128 GB	Windows 7 Professional előtelepítve +Win 8 Pro 64bit Recovery DVD/licensz	
HP-Compaq ProBook 6570b	3.9296685578965E+37 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	csillogásmentes	Intel®	Core i5	3230M 2,6 GHz	3 MB L3 gyorsítótár, 2 mag	4 GB	DDR3 1600 MHz	Legfeljebb 16 GB				Intel	HD Graphics 4000	Alaplapi integrált		2,51 kg kezdősúly	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	HP hosszú üzemidejű 6 cellás (55 Wh) lítiumion	DVD író	Mobil Intel® HM76 Express	Professzionális, Üzleti	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	SATA II, 7200 f/pHP 3D DriveGuard		Magyar	Teljes méretű cseppálló billentyűzet vízelvezetőkkel	Érintőtábla be- és kikapcsoló gombbal, kétirányú görgetéssel, mozdulatokkal és két gombbal; Pöcökegér két további pöcökegérgombbal	SRS Premium Sound; Beépített sztereó hangszórók; Beépített mikrofon Sztereó fejhallgató-/vonalikimenet; Sztereó mikrofonbemenet	USB 3.0, Webkamera, ExpressCard, Memóriakártya olvasó, eSATA, IEEE 1394 FireWire, Ujjlenyomat olvasó, Dokkolócsatlakozó, Soros, VGA, DisplayPort, Bluetooth	Bluetooth 4.0+ EDR 2 USB 3.02 USB 2.01 DisplayPort1 1394a1 kombinált eSATA/USB 2.01 VGA1 soros	1 dokkolócsatlakozó1 másodlagos akkumulátorcsatlakozó1 Express Card/54; 1 SD/MMC	720p HD webkameraTPM 1.2 beágyazott biztonsági chip, Ujjlenyomat olvasó	WLAN	Broadcom 802.11a/b/g/nBeépített Intel 82579V gigabites hálózati csatlakozó	Windows 7 / 8 Pro	Microsoft® Office Starter: csak a Word és az Excel® programot tartalmazza, csökkentett funkcionalitással és hirdetésekkel. A PowerPoint® és az Outlook® alkalmazást nem tartalmazza. A teljes szoftvercsomag használatához meg kell vásárolnia az Office 2010 szoftvert Microsoft Security Essentials HP Connection Manager HP gyorsbillentyű támogatása HP Power Assistant HP ProtectTools for Central Management HP ProtectTools Security Manager HP Recovery Manager HP Support Assistant HP webkameraszoftver (egyes típusok esetén) Adobe® Flash Player Corel WinDVD (egyes típusoknál) PDF Complete vállalati kiadás Roxio MyDVD Business 2010 (egyes típusoknál) Roxio Secure Burn (egyes típusoknál) A Skype használatára felkészítve (internet-hozzáférés szükséges) WinZip Basic HP SoftPaq Download Manager	37,4 x 25,1 x 3,4 cm		DVD+/-RW SuperMulti DL	64 bit	Magyar	1024 MB			Windows 7 Professional 64 elérhető Windows 8 Pro downgrade által	
Lenovo ThinkPad L530	1.9440127647619E+36 Ft	15,6 "	1600x900 WXGA HD+	Matt, LED	Antiglare 220 nit, 500:1	Intel®	Core i5	3230M 2,6 GHz	3 MB cache	4 GB		8GB max.				Intel	HD Graphics	Alaplapi integrált		2.58kg	1 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás Li-Ion (57Whr):max 7.5h	DVD író	Mobile Intel HM76 Express Chipset	Üzleti, Professzionális	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	7200rpm SATA 3.0Gb/s, 2.5"Active Protection System™		Magyar	6-soros, 84-gombos, ThinkVantage gomb, cseppálló, multimedia Fn gombok	TrackPoint® és UltraNav multi-touch touchpad	HD Audio, Realtek ALC3202 codec, Dolby® Advanced Audio™ v2 / sztereo hangszórók 1.5W x 2combo audio/mic jack	DisplayPort, VGA, Memóriakártya olvasó, ExpressCard, Dokkolócsatlakozó, USB 3.0, Bluetooth	Bluetooth 4.0, USB 3.0, 3*USB 2.0 (one powered), VGA DB-15, Mini DisplayPort	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)ExpressCard slot		WLAN	ThinkPad BGN 1x1 wirelessRealtek® RTL8111F Gigabit Ethernet	Windows 7 / 8 Pro	• Rescue and Recovery™• Password Manager• Lenovo Message Center Plus• ThinkVantage Product Recovery• Access Connections• ThinkVantage System Update• ThinkVantage Power Manager• Norton™ Internet Security 2012 (30 nap)• Corel® WinDVD® (DVD±RW)• Corel Burn.Now™ Lenovo Edition (DVD±RW)• Corel DVD MovieFactory® Lenovo Edition (DVD±RW)	380mm x 247mm x 31.7–33.4mm		DVD+-RW DL (fix)	64 bit	Magyar				Windows 7 Professional előtelepítve +Win 8 Pro 64bit Recovery DVD/licensz	
Acer Aspire V3-571G-736b8G1TMaii	1.9479527893047E+22 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i7	3630QM 2,4-3,4 GHz	6MB L3 cache	8 GB	DDR3 1333 MHz	2x4GB, max. 8 GB				nVidia	GeForce GT 640M 2GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 6-cellás Li-ionmax. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Játék/3D grafika, Multimédiás	Notebook / Laptop	Új	Szürke hátlap	Nem	1000 GB	HDD	5400 rpm	NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	VGA, Bluetooth, Memóriakártya olvasó, USB 3.0, Webkamera, HDMI	Bluetooth 4.0 + HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Windows 8	Office Starter 2010Acer Backup ManagerAcer ePower ManagementAcer eRecovery ManagementNorton™ Online BackupMcAfee® Internet Security SuiteMyWinLocker®Acer clear.fiNTI Media MakerAcer Crystal EyeAcer Identity Card, Acer Registration, Acer Updater	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm		8X DVD-Super Multi double-layer		Magyar	2048 MB				
