TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
Maxell MAXTab H-10 Notebook	43299 Ft	9.70 inch	Multi-Touch 1024x768 LED	ARM Cortex processzor A9 Dual Core	1500 MHz	1024 MB	DDR3 SDRAM			-	- MB	1.30 Kg	2 év	6200 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	HDMI, Mini USB, Micro USB	micro SD, Memóriakártya-olvasó	335 x 235 x 11 mm	egyéb	Érintőképernyő, Front Camera, Flash memória, 8GB	új				
Texet TM-7854 Notebook	44087 Ft	7.85 inch	Multi-Touch 1024x768 LED	Boxchip processzor Cortex A7	1024 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.37 Kg	2 év	3900 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	201 x 135 x 8,3 mm	egyéb	Flash memória, 16GB, Érintőképernyő, Front Camera, Back Camera	új				
Overmax OV-Exellen Notebook	46449 Ft	10.10 inch	WXGA (1280x800)	TCC processzor Quad Core	1024 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.67 Kg	1 év	6000 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	HDMI, Micro USB	micro SD, SDHC, Memóriakártya-olvasó	260 x 173 x 10 mm	egyéb	Érintőképernyő, Flash memória, 16GB, Front Camera, Back Camera	új				
Samsung Galaxy Tab 3 7.0 WiFi + 8GB Notebook	48811 Ft	8.00 inch	1024 x 600	ARM Cortex processzor Cortex A9 Dual Core	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.30 Kg	2 év	4000 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	111.1 x 188.0 x 9.9 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera, Back Camera, GPS	új				
Acer B1-711-83891G01nw Notebook	50386 Ft	7.00 inch	1024 x 600	MKT Quad Core processzor	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	2640 mAh	-	Android 4.0 ICS	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	197.4 x 128.5 x 12.4 mm	egyéb	Webcamera, Érintőképernyő, Flash memória, 16GB	új				
Acer A1-811-83891G01nw Notebook	62984 Ft	7.90 inch	Multi-Touch 1024x768 LED	MKT Quad Core processzor	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.48 Kg	1 év	4960 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	208.7 x 145.7 x 11.1 mm	egyéb	Front Camera, Érintőképernyő, Back Camera, Flash memória, 16GB	új				
Acer Mini V5-123-12104G50nss Notebook	67709 Ft	11.60 inch	Multi-Touch (1366x768) LED	AMD A series processzor A4-1250 Dual Core	1000 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD UMA	- MB	1.00 Kg	2 év	3 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Acer Mini V5-131-10074G50nkk Notebook	67709 Ft	11.60 inch	WXGA (1366x768) LED	Intel® Celeron™ processzor 1007U Dual Core	1500 MHz	4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® GMA HD	- MB	1.30 Kg	2 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C50D-A-11M Notebook	67709 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A1-1200		2048 MB	DDR3 SDRAM	500 GB	5400 rpm	AMD GMA HD	- MB	2.30 Kg	2 év	6 mAh	-	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba TAB Excite AT10-A-104 Notebook	70858 Ft	10.10 inch	WXGA (1280x800)	NVIDIA® Tegra™ processzor 3	1300 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.63 Kg	2 év	6600 mAh	-	Android Jelly Bean 4.2	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	261 x 179 x 10.5 mm	egyéb	Flash memória, 16GB, Érintőképernyő, Front Camera, Back Camera	új				
