TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
Toshiba Satellite C55-A-1NU Notebook	145661 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	opció	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP ProBook 4340s Notebook	155110 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7570M	1024 MB	2.04 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 3.0, VGA, Bluetooth, HDMI, USB 2.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP ProBook 4540s Notebook	193693 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3230M	2600 MHz	6144 MB	DDR3 SDRAM	750 GB	5400 rpm	AMD Radeon™ HD 7650M	2048 MB	2.47 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Latitude E5430 Notebook	150590 Ft	14.00 inch	WXGA (1366x768)	Intel® Core™ i3 processzor 3110M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	2.00 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, eSATA, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Dell Vostro 5470 Notebook	161409 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 4010U	1700 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 740M	2048 MB	1.54 Kg	3 év	3 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Sony XPERIA Z SGP321E2/S.E2 WiFi + 4G Notebook	149598 Ft	10.10 inch	WUXGA (1920x1200)	Qualcomm Snapdragon S4 Pro processzor APQ8064	1500 MHz	2048 MB	DDR3 SDRAM			-	- MB	0.49 Kg	2 év	6000 mAh	-	Android 4.1	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 1xUSB 3.0	micro SD, Memóriakártya-olvasó	172 x 7,2 x 266 mm	egyéb	Webcamera, Érintőképernyő, Flash memória, 16GB	új				
Toshiba Satellite C55-A-134 Notebook	151173 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	6144 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ XE300 Series 3 Notebook	154323 Ft	10.10 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760	1800 MHz	2048 MB	DDR2 800MHz			Intel® HD Graphics	- MB	0.58 Kg	2 év	6800 mAh	-	Windows 8 64bit HUN	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Micro HDMI	micro SD, Memóriakártya-olvasó	257.4 x 165.3 x 7.95 mm	egyéb	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB	új	sPen ceruza, free MS Office			
HP ProBook 4740s Notebook	164559 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7650M	1024 MB	3.05 Kg	3 év	8 mAh	DVD+-RW	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
HP ProBook 4545s Notebook	121252 Ft	15.60 inch	WXGA (1366x768) LED	AMD A series processzor A4-4300M Dual Core	2500 MHz	4096 MB	DDR3 1333MHz	750 GB	5400 rpm	AMD Radeon™ HD 7650M	2048 MB	2.47 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, HDMI, Bluetooth, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Toshiba Satellite C55-A-135 Notebook	155110 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C55-A-1NK Notebook	158260 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 4200M	2500 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ Book 9 Lite NP905S3G Notebook	159835 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™2 Quad processzor	1400 MHz	4096 MB	DDR3 1066MHz	128 GB		AMD Radeon™ integrated graphics	- MB	1.44 Kg	2 év	2 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, 1xUSB 3.0, Micro HDMI	SD, SDHC, SDXC, Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite C55-A-10Q Notebook	161409 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i5 processzor 3230M	2600 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	nVIDIA GeForce GT 710M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új	1éves McAfee Antivirus Plus 2013			
Lenovo IdeaPad Z500 Touch Notebook	162984 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	1000 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.60 Kg	2 év	4 mAh	DVD+-RW	Windows 8 Professional 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	1xUSB 3.0, Bluetooth, HDMI, 2xUSB 2.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ XE500 Series 5 BT + WiFi Notebook	163772 Ft	11.60 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760	1500 MHz	2048 MB	DDR2 800MHz			Intel® HD Graphics	- MB	0.75 Kg	2 év	7800 mAh	-	Windows 8 64bit HUN	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, HDMI, Bluetooth	micro SD, Memóriakártya-olvasó	296 x 184 x 9.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB	új				
Samsung NP400B2B Notebook	163772 Ft	12.50 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel HD Graphics 3000	- MB	1.74 Kg	2 év	6 mAh	opció	Windows 7 Professional		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung NP400B2B -A01HU Notebook	163772 Ft	12.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel® HD Graphics	- MB	1.74 Kg	2 év	6 mAh	-	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, eSATA, 1xUSB 3.0	SD, MS, MS Pro, SDHC	302.1 x 223.7 x 28.3 - 32.2 mm	magyar	Webcamera, Ujjlenyomat olvasó, Aktív merevlemezvédelem	új				
Dell Latitude E5530 Notebook	271646 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3540M	3000 MHz	8192 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	2.38 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, eSATA, 2xUSB 3.0, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Dell Inspiron 5737 Notebook	195268 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 4500U	1800 - 3000 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	AMD Radeon HD 8870M	2048 MB	2.32 Kg	3 év	6 mAh	DVD+-RW	Linux		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Vostro 3360 Notebook	211803 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3537U	2000 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.67 Kg	3 év	4 mAh	opció	Linux			10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Ujjlenyomat olvasó	új		32 GB		
Toshiba Satellite L50-A-10W Notebook	179520 Ft	15.60 inch	WXGA (1366x768)	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	NVIDIA® GeForce® GT 740M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	opció		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ XE500 Series 5 BT + WiFi + 3G Notebook	181094 Ft	11.60 inch	Multi-Touch (1366x768) LED	Intel® Atom processzor Z2760	1500 MHz	2048 MB	DDR2 800MHz			Intel® HD Graphics	- MB	0.75 Kg	2 év	7800 mAh	-	Windows 8 64bit HUN	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI	micro SD, Memóriakártya-olvasó	296 x 184 x 9.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB	új				
Acer V5-573G-54204G1Takk Notebook	182669 Ft	15.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i5 processzor 4200U	2600 MHz	4096 MB	DDR3 SDRAM	1000 GB	5400 rpm	NVIDIA® GeForce® GT 750M	- MB	2.00 Kg	2 év	4 mAh	opció	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0, VGA	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Vostro 3460 Notebook	220955 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3612Q	2100 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT630M	1024 MB	2.23 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, Express Card, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Toshiba Satellite M50-A-110 Notebook	184244 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 4200U	1600 - 2600 MHz	4096 MB	DDR3 1600MHz	750 GB	5400 rpm	NVIDIA® GeForce® GT 740M	- MB	2.30 Kg	2 év	3 mAh	opció	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új	1éves McAfee Antivirus Plus 2013			
HP ProBook 6475b Notebook	197010 Ft	14.00 inch	Multi-Touch (1366x768) LED	AMD A series processzor A6-4400M	2700 - 3200 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	NVIDIA® Tegra™ 2	- MB	2.03 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Dell Inspiron 3737 Notebook	191331 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 4500U	1800 - 3000 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	AMD Radeon HD 8870M	2048 MB	2.37 Kg	3 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 2xUSB 3.0, 2xUSB 2.0	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Inspiron 7537 Notebook	191331 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 4200U	1600 - 2600 MHz	6144 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 750M	2048 MB	2.29 Kg	3 év	4 mAh	-	Linux		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új				
Samsung Ativ Book 9 Lite NP915S3G Notebook	196055 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™2 Quad processzor	1400 MHz	4096 MB	DDR3 1066MHz	500 GB		AMD Radeon™ integrated graphics	- MB	1.58 Kg	2 év	2 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, Micro HDMI, 1xUSB 3.0, USB 2.0	SD, SDHC, SDXC, Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP ProBook 6570b Notebook	199992 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 SDRAM	320 GB	5400 rpm	Intel® UMA	- MB	2.60 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	ExpressCard(54mm), Memóriakártya-olvasó		magyar	Webcamera, Ujjlenyomat olvasó	új				
HP ElitePad 900 Notebook	229126 Ft	10.10 inch	WXGA (1280x800)	Intel® Atom processzor Z2760 Dual Core	1500 MHz	2048 MB	DDR2 800MHz			-	- MB	0.63 Kg	1 év	3880 mAh	-	Windows 8 32bit	64 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	178 x 261 x 9.2 mm	egyéb	Érintőképernyő, Front Camera, Back Camera, Flash memória, 64GB	új				
Acer Iconia W701-33224G06as 3G Notebook	211803 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i3 processzor 3227U	1800 MHz	4096 MB	DDR3 SDRAM			Intel HD Graphics 4000	- MB	1.26 Kg	1 év	4850 mAh	-	Windows 8 ML	60 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Mini HDMI, 2xUSB 3.0	micro SD, Memóriakártya-olvasó	295x191x11.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera, HD Webcamera	új	Bőrtok + BTH keyboard ENG			
Toshiba Satellite P845T-10C Notebook	211803 Ft	14.00 inch	Multi-Touch (1366x768) LED	Intel® Core™ i5 processzor 3337U	1800 MHz	8192 MB	DDR3 1600MHz	750 GB	5400 rpm	NVIDIA® GeForce® GT630M	- MB	2.05 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó		magyar	Érintőképernyő, HD Webcamera	új				
Lenovo ThinkPad T530 Notebook	349598 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	nVIDIA Quadro NVS 5400	1024 MB	2.77 Kg	3 év	9 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, Express Card, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Lenovo ThinkPad T530i Notebook	230701 Ft	15.60 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	2.45 Kg	3 év	6 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, Display Port, 2xUSB 3.0, Dock	Memóriakártya-olvasó		magyar	Webcamera	új				
Dell Inspiron 7520 Notebook	227551 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3632QM	2200 - 3200 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	AMD Radeon™ HD 7730M	2048 MB	2.76 Kg	3 év	6 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új				
HP ProBook 6470b Notebook	227551 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3230M		4096 MB	DDR3 SDRAM	500 GB	5400 rpm	Intel® UMA	- MB	2.03 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Lenovo ThinkPad T430i Notebook	237787 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	2.17 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, 2xUSB 3.0, Dock	Memóriakártya-olvasó, ExpressCard(54mm)		magyar	Ujjlenyomat olvasó, UltraNav(Trackpoint & Touch pad), HD Webcamera	új				
Lenovo ThinkPad X230i Notebook	264559 Ft	12.50 inch	WXGA (1366x768) LED	Intel® Core™ i3 processzor 3120M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.30 Kg	3 év	6 mAh	opció	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, 2xUSB 3.0, Dock, Mini Display Port	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás	új				
Toshiba Satellite P50-A-11U Notebook	239362 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	NVIDIA® GeForce® GT 740M	- MB	2.30 Kg	2 év	6 mAh	DVD+-RW Dual Layer	Windows 8 64bit HUN		igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Toshiba Satellite P855-33U Notebook	241724 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	NVIDIA® GeForce® GT 640M	- MB	2.66 Kg	2 év	6 mAh	Blue-Ray RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 2xUSB 3.0, 2xUSB 2.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
Samsung Ativ XE700 Tab 7 Notebook	245661 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel&reg Pentium™ Dual-Core processzor 2117U	1800 MHz	4096 MB	DDR3 SDRAM			Intel HD Graphics 4000	- MB	0.75 Kg	2 év	6450 mAh	-	Windows 8 Professional 64bit HUN	128 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	1xUSB 3.0, HDMI	micro SD, Memóriakártya-olvasó	304 x 189.4 x 11.9 mm	magyar	Érintőképernyő, Front Camera, Back Camera	új				
Toshiba TAB WT310-105 Notebook	251961 Ft	11.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i5 processzor 3339Y	1500 MHz	4096 MB	DDR3 SDRAM			Intel HD Graphics 4000	- MB	0.82 Kg	2 év	3460 mAh	-	Windows 8 64bit HUN	128 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB, 1xUSB 3.0	micro SD, Memóriakártya-olvasó	299 x 189 x 12,4 mm	egyéb	Érintőképernyő, Front Camera, Back Camera	új				
HP Envy TouchSmart 15-J004SA Notebook	257472 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 4700MQ	2400 MHz	16384 MB	DDR3 1600MHz	1024 GB	5400 rpm	NVIDIA® GeForce® GT 740M	2048 MB	2.56 Kg	1 év	6 mAh	opció	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, HDMI, Bluetooth, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Ujjlenyomat olvasó, Billentyűzet megvilágítás	új				
Lenovo ThinkPad X230 Notebook	272743 Ft	12.50 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.30 Kg	3 év	6 mAh	DVD-RW SuperMulti DL	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, 1xUSB 3.0, Mini Display Port	Memóriakártya-olvasó		magyar	Webcamera	új				
Lenovo ThinkPad T430 Notebook	344087 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3520M	2900 MHz	8192 MB	DDR3 1600MHz	500 GB	7200 rpm	NVIDIA® Quadro NVS 4200	2048 MB	2.80 Kg	3 év	9 mAh	DVD+-RW Dual Layer	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Express Card, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó		magyar	UltraNav(Trackpoint & Touch pad), Billentyűzet megvilágítás, Webcamera	új				
Toshiba Satellite P875-321 Notebook	262197 Ft	17.30 inch	WUGA (1600x900) LED	Intel® Core™ i7 processzor 3630QM	2400 MHz	8192 MB	DDR3 1600MHz	1024 GB	5400 rpm	NVIDIA® GeForce® GT 640M	- MB	3.00 Kg	2 év	6 mAh	Blue-Ray RW	Windows 8 64bit HUN		igen	WLAN a/b/g/n, 10/100Mbps	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó		magyar	HD Webcamera	új				
HP Envy 17-J003SA Notebook	266134 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 4700MQ	2400 MHz	12288 MB	DDR3 1600MHz	2048 GB	5400 rpm	NVIDIA® GeForce® GT 740M	2048 MB	2.85 Kg	1 év	6 mAh	DVD-RW SuperMulti DL	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		angol	Webcamera, Ujjlenyomat olvasó, Billentyűzet megvilágítás	új				
Dell Inspiron 7737 Notebook	267709 Ft	17.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 4200U	1600 - 2600 MHz	6144 MB	DDR3 1600MHz	1024 GB	5400 rpm	-	- MB	3.29 Kg	3 év	4 mAh	DVD+-RW	Windows 8 64bit HUN		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0	Memóriakártya-olvasó		magyar	Webcamera, Billentyűzet megvilágítás	új				
Dell Latitude E6430 Notebook	279520 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3340M	2700 MHz	6144 MB	DDR3 1600MHz	750 GB	7200 rpm	Intel HD Graphics 4000	- MB	2.01 Kg	3 év	6 mAh	DVD+-RW	Windows 7 Professional 64bit		igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, eSATA, 2xUSB 3.0, Dock	Memóriakártya-olvasó		magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
