TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HDD RPM	HSDPA	ExpressCard	Dokk	USB 3	eSata	FW	DP	Mikrofon be	Bill. Num	Multitouch	AC	Backlit KB	TPM	Utazó akkumulátor csatlakozó	Modem	Com	Éjjeli megvilágítás	Beépített kamera	Vonal bemenet	TFT 3D
HP Envy 14-3100ex SPECTRE High-end Premium notebook (Renew*)	203937 Ft	14.0" HD+ (1600x900) BrightView LED	WXGA++	14,0 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3317U	Intel	Core i5	2	1,70 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	128 GB	SSD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,8 kg	HP Envy 14-3xxx 4-cell	4	58 Wh	Li-Ion	kiváló						Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Envy 14	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB		Igen	Igen	van	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2		Igen	327 mm	221 mm	20 mm					1 db USB3			Igen	Igen		Igen	65 W	Igen									
ACER TravelMate TMP653 notebook	201496 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 640M / 1GB	NVIDIA	GeForce	dedikált (felső kategória)	1,0 GB	GDDR3	28 nm	11,1	5,0	4,1	2,6 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER TravelMate P	belépő szint	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	382 mm	253 mm	31 mm	5400 fordulat/perc				2 db USB3				Igen		Igen	65 W										
DELL Inspiron 3537 notebook (fekete)	127480 Ft	15.6" HD (1366x768) Glare LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8670 / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	28 nm	11,1	5,0	4,3	2,4 kg	DELL Inspiron 3537 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	90 W										
HP Envy x2 11-g001en notebook	195984 Ft	11.6" Multi-Touch HD (1366x768) AG LED	WXGA	11,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	igen (passzív)	normál		Intel Atom Z2760	Intel	Atom	2	1,80 GHz	1,8 GHz		1 MB	2 GB		32 nm	0 W		Igen	2GB DDR2	2 GB	DDR2	64 GB				GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,4 kg											Windows 8 32bit eng	Windows 8	Home	Angol	32 bit			otthoni		802.11(a/b/g/n)	Igen		2 db USB		Igen	Igen	stereo	Full HD	Angol billentyűzet	sötét alapon világos karakterek				303 mm	206 mm	19 mm									Igen		Igen	200 W							Full HD			
HP Probook 470 G1 notebook	183385 Ft	17.3" HD+ (1600x900) AG LED	WXGA++	17,3 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			Radeon HD 8750M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,2	2,8 kg	HP Probook 470 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Probook 47x	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	414 mm	279 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		90 W								Igen		
DELL Vostro 3360 notebook (bronz)	153464 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3227U	Intel	Core i3	2	1,90 GHz	1,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	DELL Vostro 3360 4-cell	4	49 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	332 mm	233 mm	13 mm	7200 fordulat/perc				3 db USB3				Igen		Igen	65 W		Igen								
DELL Vostro 3360 notebook (ezüst)	158976 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3227U	Intel	Core i3	2	1,90 GHz	1,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	DELL Vostro 3360 4-cell	4	49 Wh	Li-Ion	normál						Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	332 mm	233 mm	13 mm	7200 fordulat/perc				3 db USB3				Igen		Igen	65 W										
DELL Inspiron 5537 notebook (kék)	125905 Ft	15.6" HD (1366x768) Glare LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 4010U	Intel	Core i3	2	1,70 GHz	1,7 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8670 / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,3	2,3 kg	DELL Inspiron 5537 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		65 W										
DELL Inspiron 5537 notebook (rózsaszín)	125905 Ft	15.6" HD (1366x768) Glare LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 4010U	Intel	Core i3	2	1,70 GHz	1,7 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8670 / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,3	2,3 kg	DELL Inspiron 5537 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	65 W										
HP Probook 430 G1 notebook	136929 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 4010U	Intel	Core i3	2	1,70 GHz	1,7 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4400	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,1	5,0	4,0	1,5 kg	HP Probook 430 4-cell	4	44 Wh	Li-Ion	normál						FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Probook 43x	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen		3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	326 mm	233 mm	21 mm	5400 fordulat/perc	3G/HSDPA			2 db USB3				Igen			45 W								Igen		
ASUS S500 notebook	186535 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3537U	Intel	Core i7	2	2,00 GHz	3,1 GHz	Igen	4 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	8GB DDR3	8 GB	DDR3	24 GB	SSD	500 GB	HDD	GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,1 kg											FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS S5x			10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen				5400 fordulat/perc				1 db USB3				Igen			65 W										
HP Probook 450 G1 notebook	162126 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			Radeon HD 8750M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,2	2,3 kg	HP Probook 450 6-cell	6	47 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	HP Probook 45x	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	375 mm	256 mm	23 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		65 W								Igen		
DELL Inspiron 5537 notebook (lila)	157401 Ft	15.6" HD (1366x768) Glare LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4200U	Intel	Core i5	2	1,60 GHz	2,6 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			Radeon HD 8850M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR5	28 nm	11,1	5,1	4,2	2,3 kg	DELL Inspiron 5537 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		65 W										
TOSHIBA Satellite U840 notebook	184960 Ft	14.0" HD (1366x768) TruBrite LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2377M	Intel	Core i3	2	1,50 GHz	1,5 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	32 GB	SSD	500 GB	HDD	GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,6 kg											Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Satellite U	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	342 mm	232 mm	20 mm	5400 fordulat/perc				1 db USB3				Igen		Igen	45 W	Igen									
DELL Inspiron 5537 notebook (piros)	184960 Ft	15.6" Full HD (1920x1080) AG LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4500U	Intel	Core i7	2	1,80 GHz	3,0 GHz	Igen	4 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	8GB DDR3	8 GB	DDR3	1000 GB	HDD			Radeon HD 8850M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR5	28 nm	11,1	5,1	4,2	2,3 kg	DELL Inspiron 5537 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		65 W										
DELL Inspiron 5537 notebook (ezüst)	125905 Ft	15.6" HD (1366x768) Glare LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 4010U	Intel	Core i3	2	1,70 GHz	1,7 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 8670 / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,3	2,3 kg	DELL Inspiron 5537 6-cell	6	65 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Inspiron 15R	közép kategória	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		65 W										
SAMSUNG Ativ Book 9 Lite notebook	156614 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A10-4600M	AMD	A10 Series	4	2,30 GHz	3,2 GHz	Igen	4 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	128 GB	SSD			Radeon HD 7660G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,2	1,4 kg	SAMSUNG Ativ Book 9 Lite 2-cell	2	30 Wh	Li-Ion Polymer	kiváló						Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	SAMSUNG ATIV Book 9 Lite			10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen		van	HD	Magyar billentyűzet	világos alapon sötét karakterek				324 mm	224 mm	17 mm					1 db USB3						Igen											
LENOVO Ideapad S510p notebook	140866 Ft	15.6" HD (1366x768) Glare LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 4010U	Intel	Core i3	2	1,70 GHz	1,7 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	8 GB	SSD	1000 GB	HDD	GeForce GT 720M / 2GB	NVIDIA	GeForce	dedikált (belépő szint)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,3	2,4 kg	4-cell Lithium-ion	4	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad S			10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek				380 mm	259 mm	25 mm	5400 fordulat/perc				2 db USB3				Igen	Igen												
HP Probook 6475b notebook	181811 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		AMD A6-4400M	AMD	A6 Series	2	2,70 GHz	3,2 GHz	Igen	1 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 7520G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,2	2,0 kg	HP Probook 6475b 6-cell	6	55 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	HP ProBook 64xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	338 mm	213 mm	34 mm	7200 fordulat/perc		Igen	Igen	2 db USB3	Igen	Igen	Igen	Igen		Igen	65 W										
LENOVO IdeaPad Z510 notebook	126693 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 3550M	Intel	Pentium Dual Core	2	2,30 GHz	2,3 GHz	Igen	2 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	4GB DDR3	4 GB	DDR3	1000 GB	HDD			GeForce GT 740M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	28 nm	11,0	5,0	4,2	2,2 kg	4-cell Lithium-ion	4	0 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad Z	felső kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	380 mm	265 mm	26 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	65 W	Igen								Igen	
DELL Vostro 5470 notebook (ezüst)	137716 Ft	14.0" HD (1366x768) Glare LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 4010U	Intel	Core i3	2	1,70 GHz	1,7 GHz	Igen	3 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4400	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,1	5,0	4,0	2,2 kg	3-cell Lithium-ion (51WHr)	3	51 Wh	Li-Ion	normál						Linux	Linux	FreeDos	Magyar	32 bit				10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek				346 mm	244 mm	28 mm	5400 fordulat/perc				3 db USB3				Igen													
ACER TravelMate TMP633 notebook	175511 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,9 kg											Linux	Linux	FreeDos	Magyar	32 bit	ACER TravelMate P	belépő szint	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	325 mm	235 mm	25 mm			Igen	Igen	3 db USB3	Igen			Igen		Igen	65 W										
DELL Vostro 3360 notebook (piros)	173937 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3337U	Intel	Core i5	2	1,80 GHz	2,7 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,7 kg	DELL Vostro 3360 4-cell	4	49 Wh	Li-Ion	normál						Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	332 mm	233 mm	13 mm					3 db USB3				Igen		Igen	65 W		Igen								
TOSHIBA Satellite L850 notebook (fehér)	173937 Ft	15.6" HD (1366x768) TruBrite LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3630QM	Intel	Core i7	4	2,40 GHz	3,4 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			Radeon HD 7670M / 2GB	AMD	Radeon	dedikált (közép kategória)	2,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,3 kg	TOSHIBA Satellite L850 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite L	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	világos alapon sötét karakterek	2		Igen	380 mm	242 mm	34 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	75 W										
DELL Vostro 3560 notebook (piros)	173149 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,6 kg	DELL Vostro 3560 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	375 mm	259 mm	15 mm	7200 fordulat/perc		Igen		4 db USB3				Igen		Igen	90 W	Igen									
HP Probook 4740s notebook (Renew*)	173149 Ft	17.3" HD+ (1600x900) AG LED	WXGA++	17,3 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	6GB DDR3	6 GB	DDR3	750 GB	HDD			Radeon HD 7650M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	3,0 kg	HP Probook 4740s 8-cell	8	73 Wh	Li-Ion	normál	Blu-Ray R/RE - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	ír és olvas	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	HP ProBook 47xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	413 mm	279 mm	29 mm	5400 fordulat/perc				2 db USB3				Igen	Igen	Igen	90 W										
DELL Vostro 3560 notebook (bronz)	173149 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3230M	Intel	Core i5	2	2,60 GHz	3,2 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,6 kg	DELL Vostro 3560 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	DELL Vostro 3xxx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	375 mm	259 mm	15 mm	7200 fordulat/perc		Igen		4 db USB3				Igen		Igen	90 W	Igen									
