TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Méret	Audio	LAN	WLAN	BT	HSDPA	Kamera	CR	HDMI	VGA ki	USB	TV ki	DP	FP	ExpressCard	FW	eSata	Egyéb	Tárhely	Tárhely bővítés	Interfészek
DELL Inspiron 5537 157814 kék	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Dell Wireless-N 170x	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad G500 Metal 59-390049	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i7-3612QM Processor (6M Cache, up to 3.10 GHz) BGA	4GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	Nem	2.6kg	24 hónap	Nem	8x DVD+-RW DL drive	FreeDos	Nem	380 x 260 x 25.8mm	Nem	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Van	Nem				
SAMSUNG Ativ Book 4 NP450R5E-X01HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 2048MB	1.99kg	24 hónap	3700 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM76 Express	376 x 248 x 22.9 mm	HD Audio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	720p HD Webkamera	3in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 9 Lite NP905S3G-K01HU	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Quad-Core Processor (up to 1.4GHz)	4GB DDR3/1066 MHz	128GB Solid State Drive (SSD)	AMD Radeon™ HD 8250	1.44kg	24 hónap	31 Wh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Nem	324.0 x 224.0 x 16.9mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD Web Camera	3in1 Card reader	micro HDMI	Van	1db USB 3.0 - 1db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG NP530U3C-K01HU	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3227U Processor (3M Cache, up to 1.90 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA + 24GB ExpressCache	Intel® GMA HD 4000	1.52kg	24 hónap	45,3WHr (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM77 Express	315.1 x 218.9 x 14.9-17.6 mm	HD Audio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	1,3 megapixel HD	4in1 Card reader	Van	Nincs	1db USB 3.0 - 2db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Inspiron 5537 157845 piros	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Dell Wireless-N 170x	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Vostro 5470 160263	0 Ft	14" WXGA HD LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 740M 2048MB	1,53 kg	36 hónap helyszíni garancia	51,2 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Mobile Intel® HM86 Express Chipset	337,6 x 233,5 x 18,3 mm	Beépített sztereó hangszórók mélysugárzóval	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	beépített HD webkamera	8in1 Card reader	Van	Nem	1db USB 3.0, 2db USB 2.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Nem				
DELL Vostro 3460 157926 Ezüst	0 Ft	14" WXGA HD LED AntiGlare 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.232 kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	4db USB 3.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
DELL Vostro 3460 157960 Bronz	0 Ft	14" WXGA HD LED AntiGlare 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.232 kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	4db USB 3.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
DELL Vostro 3460 157954 Piros	0 Ft	14" WXGA HD LED AntiGlare 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.232 kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	4db USB 3.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
HP Pavilion 15-N003SH F2T43EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-4500U Processor (4M Cache, up to 3.00 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	NVIDIA® GeForce® GT 740M 2048MB	2.28kg	24 hónap	41 Wh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM86 Express Chipset	385,6 x 258 x 22,6 mm	Beépített DTS® sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HP TrueVision HD webkamera	2in1 Card reader	Van	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Inspiron 5737 157758	0 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 8870M 2048MB	2.73kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	412 x 270 x 28,34 - 35,6 mm	Sztereó hangszóró Waves MaxxAudio® 4 feldolgozási technológiával	10/100mbps LAN	Dell™ Wireless 1705 802.11b/g/n	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Asus VivoBook S400CA-CA006H	0 Ft	14" MultiTouch WXGA HD LED Glare 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	24GB SSD + 500GB SATA 5400RPM	Intel® GMA HD 4000	1.8 Kg	24 hónap	4400 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Intel® HM76 Express	33.9 x 23.9 x 2.1 cm	SonicMaster Lite	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HD webkamera	SD Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Vostro 3560 142367 Ezüst	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	375 x 259 x 28,8/32,5 mm	HD Audio	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nem	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	4db USB 3.0	Nem	Nincs	Van	Nincs	Nincs	Nincs	Backlit Keyboard				
DELL Inspiron 5537 157861 lila	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-4500U Processor (4M Cache, up to 3.00 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Dell Wireless-N 170x	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad Z510 59-390313	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-4200M Processor (3M Cache, up to 3.10 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM (+8GB NAND Flash) Hybrid SATA	NVIDIA® GeForce® GT 740M 2048MB	2.2kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 265 x 25.6 mm	Dolby® Home Theatre™ v4	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD Webkamera	2in1 Card reader	Van	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Vostro 3360 154857 Ezüst	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	332 x 232,5 x 18,6/19,2 mm	HD Audio	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
DELL Vostro 3360 154859 Bronz	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	332 x 232,5 x 18,6/19,2 mm	HD Audio	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
DELL Vostro 3360 155492 Piros	0 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	332 x 232,5 x 18,6/19,2 mm	HD Audio	Gigabit LAN	Dell Wireless 1703 (802.11b/g/n+ Bluetooth v4.0)	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
DELL Vostro 3460 155836 Ezüst	0 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Van	Nincs	Nincs	Nincs	Backlit keyboard				
ACER TravelMate P653-MG-53234G50Mtkk_LIN	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 640M 1024MB	2,6 Kg	36 hónap	6000 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM77 Express	381.6 x 253 x 25.4 / 31 mm	High-definitionaudio	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	1.3MP HD CrystalEye Webkamera	5in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Van	Van	Nincs	Van	Smart Card reader				
DELL Inspiron 5537 157871	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-4500U Processor (4M Cache, up to 3.00 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Dell Wireless-N 170x	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Toshiba Satellite U840W-108	0 Ft	14.4" WXGA HD LED GlareType 1792 x 768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	32GB SSD + 500GB SATA 5400RPM	Intel® GMA HD 4000	1.68kg	24 hónap	7400 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Intel® HM76 Express	368,7 x 200,0 x 20,33 mm	Harman Kardon® sztereó hangszórók SRS Premium Sound 3D™ hangtechnológiával	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	1,3 megapixeles HD-webkamera (1280 x 800) beépített mikrofonnal	2in1 Card reader	Van	Nincs	3db USB 3.0	http://www.youtube.com/watch?v=Yzat6H_oZgM	Nincs	Nincs	Nincs	Nincs	Nem	Háttérvilágítású billentyűzet				
DELL Vostro 5470 160296	0 Ft	14" MultiTouch WXGA HD LED Glare 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 740M 2048MB	1,62 kg	36 hónap helyszíni garancia	51,2 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Mobile Intel® HM86 Express Chipset	337,6 x 233,5 x 18,3 mm	HD hang Wave MaxxAudio 4.0 technológiával	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	beépített 720HD (1,0 megapixel felbontású) kamera mikrofonnal	8in1 Card reader	Van	Nem	1db USB 3.0, 2db USB 2.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad Z510 59-390319	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-4200M Processor (3M Cache, up to 3.10 GHz)	16GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	NVIDIA® GeForce® GT 740M 2048MB	2.2kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM86 Express	380 x 265 x 25.6 mm	Dolby® Home Theatre™ v4	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD Webkamera	2in1 Card reader	Van	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Vostro 5470 157879	0 Ft	14" WXGA HD LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 740M 2048MB	1,53 kg	36 hónap helyszíni garancia	51,2 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM86 Express Chipset	337,6 x 233,5 x 18,3 mm	Beépített sztereó hangszórók mélysugárzóval	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	beépített HD webkamera	8in1 Card reader	Van	Nem	1db USB 3.0, 2db USB 2.0	Nem	Nincs	Nem	Nincs	Nincs	Nincs	Nem				
Dell Latitude E5430 153284	0 Ft	14" WXGA HD+ LED AntiGlare 1600x900 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.0kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobil Intel® HM77 Express	350 x 240 x 29.9-32.5 cm	HD Audio	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	2.0MPixel HD	4in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Van	Van	Van	Van	Billentyűzet világítás, Dokkolható				
DELL Vostro 3460 155854 Ezüst	0 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	345,5 x 244 x 28/30,1 mm	HD Audio	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	3db USB 3.0	Nem	Nincs	Van	Nincs	Nincs	Nincs	Backlit keyboard				
SAMSUNG Ativ Book 9 Lite NP915S3G-K01HU	0 Ft	13.3" WXGA HD-LED Multi-Touch 1366x768 pixel	Quad-Core Processor (up to 1.4GHz)	4GB DDR3/1066 MHz	128GB Solid State Drive (SSD)	AMD Radeon™ HD 8250	1.44kg	24 hónap	31 Wh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Nem	324.0 x 224.0 x 16.9mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD Web Camera	3in1 Card reader	micro HDMI	Van	1db USB 3.0 - 1db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Inspiron 5537 160333	0 Ft	15.6" FULL HD-LED GlareType 1980x1080 pixel	Intel® Core™ i7-4500U Processor (4M Cache, up to 3.00 GHz)	8GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8850M 2048MB	2.32kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76 Express	376 x 259 x 24.9 - 31.3 mm	Waves MaxxAudio® 4.0	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített digitális mikrofonnal	8in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Toshiba Satellite U920t-10K	0 Ft	12.5" WXGA HD-LED Multi-Touch 1366x768 pixel	Intel® Core™ i3-3227U Processor (3M Cache, up to 1.90 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.52kg	24 hónap	3420 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel HM76 Express	326,5 x 213,0 x 19,9 mm	SRS Premium Sound 3D™	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 3,0 megapixeles hátoldali webkamera autofókusszal, és 1,0 megapixeles előlapi webkamera környezetifény-érzékelővel és beépített mikrofonnal	SD Card reader	Van	Nincs	2db USB 3.0	http://www.youtube.com/watch?v=ZacGDFX2tUw&feature=youtu.be	Nincs	Nincs	Nincs	Nincs	Nincs	Corning® Gorilla® Glass kijelzőborítás, Háttérvilágítású billentyűzet, 3D-s gyorsulásérzékelő, GPS, NFC-támogatás				
LENOVO IdeaPad G700 59-390380	0 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	Intel® Core™ i7-3612QM Processor (6M Cache, up to 3.10 GHz) BGA	8GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	NVIDIA® GeForce® GT 720M 2048MB	2.9kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	418 x 278 x 36,8 mm	Dolby® Advanced Audio v2	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD webkamera	SD/MMC Slot	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
DELL Inspiron 7537 157788	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-4200U Processor (3M Cache, up to 2.60 GHz)	6GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 750M 2048MB	2.6kg	36 hónap	57 Wh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® 7 Series Express chipkészlet (HM77)	379 x 254,8 x 20,5-22,2 mm	Waves MaxxAudio® Pro	Gigabit LAN	Intel® Dual Band Wireless-N 7260 2x2 BGN	Bluetooth 4.0	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Van	Nincs	4db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
DELL Vostro 3560 151859 Ezüst	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3230M Processor (3M Cache, up to 3.20 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7670M 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	375 x 259 x 28,8/32,5 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Van	Van	4db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Backlit Keyboard				
LENOVO ThinkPad Edge S531 20B00050HV_TS	0 Ft	15.6" FULL HD LED AntiGlare (matt kijelző) 1980x1080 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	6GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 8670M 2048MB	2.29kg	24 hónap	62.8 Wh (Lithium Polymer)	Nem	FreeDos	Intel® Mobile HM76 Express	379.0 x 252.4 x 20.7mm	Dolby® Home Theater® v4	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HD720p webkamera	4in1 Card reader	Van	Nincs	2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Háttérvilágítású billentyűzet				
SAMSUNG Ativ Book 5 NP540U4E-K01HU	0 Ft	14.1" WXGA HD-LED Multi-Touch 1366x768 pixel	Intel® Core™ i5-3337U Processor (3M Cache, up to 2.70 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA + 24GB ExpressCache	Intel® GMA HD 4000	1.95kg	24 hónap	57 Wh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Mobile Intel® HM77 Express	338 x 234 x 20,8 mm	JBL Stereo Speakers	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	1,3 megapixel HD	3in1 Card reader	Van	mini VGA	2db USB 3.0 - 1db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	VGA Adapter				
