TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Méret	Audio	LAN	WLAN	BT	HSDPA	Kamera	CR	HDMI	VGA ki	USB	TV ki	DP	FP	ExpressCard	FW	eSata	Egyéb	Tárhely	Tárhely bővítés	Interfészek
FUJITSU Lifebook A512-0M53A5HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2328M Processor (3M Cache, 2.20 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2,5kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM75 Express Chipset	378 x 252 x 36,5 mm	Nagy felbontású hangszolgáltatás támogatása, 2x beépített hangszóró (sztereó)	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített HD	4in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Van	Nincs	Nincs	Nincs				
DELL Inspiron 3521 157795	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7670M 1024MB	2.35kg	36 hónap	65WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel HM76 Express	376 x 260 x 24,9 - 31,3 mm	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1,0 MP HD integrált webkamera beépített analóg mikrofonnal	3in1 Card reader	Van	Nincs	USB 2.0 (2db) • USB 3.0 (2db)	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XX299D Kék	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	Nem	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	2in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
ASUS X550CC-XX276D Fehér	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	2in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
LENOVO IdeaPad G500s piros 59-390142	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® 2020M Processor (2M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA + 8GB ExpressCache	NVIDIA® GeForce® GT 720M 2048MB	2.7kg	24 hónap	Nem	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 260 x 26.9mm	Nem	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1.0MP 720p HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Van	Nem				
ASUS X550CC-XO110D	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	http://www.youtube.com/watch?v=3Q2_gXq7GG0	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
TOSHIBA Satellite C55-A-19N	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 710M 2048MB	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM76 Express Chipset	380 x 242 x 30,8 - 33,35 mm	Realtek ALC269Q-VB5-GR beépített sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XX204D Fehér	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	2in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
LENOVO IdeaPad B590 59-352455	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3120M Processor (3M Cache, 2.50 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® HD Graphics	2.5kg	24 hónap	48WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM77 Express	378 x 252 x 33.4 mm	Nem	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Nincs	Nincs	720p webkamera	4in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nincs				
FUJITSU Lifebook AH552-MPZB5HU	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 4000	2.2 kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Nem	Mobile Intel® HM76	378 x 252 x 25,4 mm	Realtek ALC269 VC2 HD	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	HD type (30fps@720p)	4in1 Card reader	Van	Van	3db USB 2.0, 1 db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nincs				
