TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Bill.	Specifikáció	Softver	SDD
acer Ultrabook Aspire V7-581-53334G1.02Taii - Ezüst - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	1 TB SATA HDD + 20GB Cache SSD		Intel®HD Graphics 4000	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-572G-74504G1TMNII - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-4500U (4M Cache, 1.80 to 3.00 GHz)	4GB DDR3 memória	1 TB		AMD Radeon™ HD 8750 2GB	381 x 256 x 25.3 mm / 2.35 kg	2 év	2500 mAh. 4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Ultrabook Aspire V7-581G-73538G25akk - Fekete - FULL HD Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	FULL HD 1920 x 1080	1920 x 1080 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású IPS Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3537U (4M Cache, 2.0 to 3.10 GHz)	8GB DDR3 memória	-	250 GB	NVIDIA® GeForce® GT720M 2GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V5-573G-54204G1Takk - Fekete - Már 2 év garanciával!	0 Ft	15.6"	FULL HD 1920 x 1080	1920 x 1080 felbontású, magas fényerejű (220-nit) Acer ComfyView™ LED-háttérvilágítású MATT IPS, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-4200U (3M Cache, 1.6 to 2.60 GHz)	4GB DDR3 memória	1 TB		NVIDIA® GeForce® GT 750M 4GB	381 x 256 x 22 mm~2.2 kg	2 év	4-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	-	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) 1x Acer Converter port (VGA) 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581G-53334G12akk - Fekete - FULL HD Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	FULL HD 1920 x 1080	1920 x 1080 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású IPS Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	-	120 GB	NVIDIA® GeForce® GT720M 2GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-570G-53336G75Mnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3337U (3M Cache, 1.8 to 2.70 GHz)	6GB DDR3 memória	750GB		NVIDIA® GeForce® GT 740M 2GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 8	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő	• Acer ePower Management1 • Acer eRecovery Management • Smart Timer v1.0 • Adobe® Flash® Player 11.x • Adobe® Reader® 10.x • Bing™ Bar • Evernote • Internet Explorer 9 • newsXpresso • Norton™ Online Backup • Windows Live™ Essentials • McAfee® Internet Security Suite Trial • MyWinLocker® • Acer clear.fi • NTI Media Maker™ • Acer Games powered by WildTangent® • Fooz Kids • Acer Crystal Eye • Microsoft® Silverlight™ • Skype™ • Microsoft® Office Trial			
acer Ultrabook Aspire S7-391-53334G12AWS - Érintő Kijelzővel! - Ultrabook - Fehér - Most 3 év garanciával!	0 Ft	13.3"-os Érintőképernyő	FULL HD 1920 x 1080	TOUCHSCREEN FULL HD 1920 x 1080 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású IPS panel, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3317U (3M Cache, 1.8 - 2.7 GHz, 17W, HyperThreading,TurboBoost)	4GB DDR3		128GB	Intel®HD Graphics 4000	323 x 223 x 11.9 mm1.30 kg	3 év	4 cellás Li-ion akkumulátor, 7 óra üzemidő		Windows 8 64bit	Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 csatlakozó 1x HDMI™ 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	HÁTTÉRVILÁGÍTÁSÚ MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire V5-171-53334G50ASS - Ezüst - Már 2 év garanciával!	0 Ft	11.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3337U (3M Cache, 1.80 GHz up to 2.70 GHz)	4GB DDR3 memória	500GB SATA HDD		Intel®HD Graphics 4000	285 x 202 x 20,95/27,35 mm / 1,38 kg	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 5 óra üzemidővel		Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire R7-572G-74508G1.02TASS - Ultrabook Forgatható Érintő kijelzővel! - Ezüst - Már 3 év garanciával!	0 Ft	15.6"-os Multi-Touch Érintőképernyő	FULL HD IPS 1920 x 1080	TOUCHSCREEN 1920 x 1080 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású IPS, 16:9 képarány	Intel® Core™ i7-4500U (4M Cache, 1.80 GHz up to 3.0 GHz)	8GB DDR3 memória	1TB + 24GB SSD		NVIDIA® GeForce® GT 750M, 2GB	376.8 x 254.5 x 28.5 mm / ~2.4 kg	3 év	4-cellás Li-ion akkumulátor	-	Windows 8.1	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	1x kártyaolvasó (SD™) 1x USB 2.0 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581-53334G52akk - Fekete - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	500 GB SATA HDD + 20GB Cache SSD		Intel®HD Graphics 4000	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire 570G-33214G50Mnkk - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	500 GB		NVIDIA® GeForce® GT 720M 1GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-572G-74508G1TMnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-4500U (4M Cache, 1.80 to 3.00 GHz)	8GB DDR3 memória	1 TB		AMD Radeon™ HD 8750M 2GB	381 x 256 x 25.3 mm / 2.35 kg	2 év	2500 mAh. 4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-530G-21174G50Mnkk- Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	4GB DDR3 memória	500 GB SATA HDD		NVIDIA® GeForce® GT 710M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire S3-371-33214G50ADD - Pezsgő - Már 2 év garanciával!	0 Ft	13.3"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.8 GHz)	4GB DDR3	500GB		Intel®HD Graphics 4000	323 x 218 x 13.1/17.5 mm1.36 kg	2 év	3 cellás Li-ion akkumulátor, akár 5.5 óra üzemidő		Linux	Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 csatlakozó 1x HDMI™ (High-Definition Multimedia Interface) HDCP (High-bandwidth Digital Content Protection) támogatással 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire V7-581G-53334G1.02Takk - Fekete - Matt kijelző! - Ultrabook - Matt kijelző!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású , magas fényerejű (220-nit) Acer Comfyview™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3337U (3M Cache, 1.80 up to 2.70 )	4GB DDR3 memória	1000 GB SATA HDD + 20GB Cache SSD		NVIDIA® GeForce® GT720M 2GB	381.6 x 256 x 19.7/20.7 mm2.0 kg	2 év	3560 mAh 4-cellás Li-Polymer akkumulátor, max. 5.5 óra	-	Windows 8	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x Acer Converter port 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos, HÁTTÉRVILÁGÍTÁSÚ billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire S3-371-53334G50ADD - Pezsgő - Már 2 év garanciával!	0 Ft	13.3"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3337U (3M Cache, 1.8 to 2.70 GHz)	4GB DDR3	500GB		Intel®HD Graphics 4000	323 x 218 x 13.1/17.5 mm1.36 kg	2 év	3 cellás Li-ion akkumulátor, akár 5.5 óra üzemidő		Linux	Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 csatlakozó 1x HDMI™ (High-Definition Multimedia Interface) HDCP (High-bandwidth Digital Content Protection) támogatással 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Travelmate TMP253-MG-33114G50Maks - Matt kijelző - Most 3 év garanciával!	0 Ft	15,6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		NVIDIA® GeForce® GT710 2GB	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-530G-21178G1TMNKK- Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® 2117U (2M Cache, 1.80 GHz)	8GB DDR3 memória	1TB GB SATA HDD		NVIDIA® GeForce® GT 720M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	2500 mAh 4-cellás Li-ion akkumulátor, akár 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
