TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
Akciós ár a készlet erejéig! APPLE Mac mini i5 2.3GHz, 2GB, 500GB, Intel HD Graphics 3000	143104 Ft				Intel Core i5	2048	DDRIII	500	Intel HD Graphics 3000		1 év szervizgarancia		Nem	Mac OS X Lion	10/100/1000		Nem	4			Igen			Igen		Nem						n.a.	Thunderbolt port, Bluetooth 4.0, 802.11n Wi-Fi, HDMI		http				mini										Nem	n.a.	
ACER Ultrabook NB Aspire S3-391-53314G52add 13.3" WXGA Core i5-3317U, 4GB, 500 GB HDD + 20 GB SSD, Intel HD 3000, BT 4.0, Win 7 Home Premium, 3cell	189384 Ft	13,30	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4.096	DDRIII	520	Intel HD Graphics 3000	1,49	3 év szervizben	3 cella	Nem	MS W. 7 Home Premium 64bit HU/ENG	Nem	802.11a/b/g/n	Nem		2	Nem	Igen	4.0		Igen	1,30	Nem	HDMI	n.a.	Nincs	Pezsgő	USB/dokkoló porton			Nem	http																
ACER NB V3-531G-B9704G50Makk_Lin 15.6" WXGA Intel Dual Core B970 2.3GHz, 4GB, 500GB HDD, Nvidia GT630 1GB, DVD-RW, BT 4.0, Card reader, Linux, 6cell, Fekete	98696 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	4096	DDRIII	500	nVIDIA GeForce GT 630M + 1GB VRAM	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	Igen	4.0		Igen	1,3	Nem	HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
DELL NB Inspiron 3520 15.6" HD, Intel Core i5-3210 2.50GHz, 4GB, 500GB, DVD-RW, Intel HD 4000, Linux, 6cell, Fekete	117104 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,37	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem	3		Nem	3-1	3.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
SAMSUNG NB NP400B2B 12.5" LED Matt, 1366 x 768, Core i5-2450M 2.50GHz, 4GB, 500GB, HDMI, DSUB, eSATA+USB, Intel HD 3000, Win 7 Prof. 64bit HU, 6cell, fekete	207896 Ft	12,5	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 3000	1,74	2 év szervizben	6 cella	Nem	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem	2	1	Igen	4-1	3.0		Igen	1,3	Nem	D-Sub + HDMI	eSATA	n.a.	Fekete	USB porton	WindowsŽ 7 Professional (64-bit)	Free Fall Sensor, TPM	Nem	http																
HPQ NB Folio 13.3" HD BV Core i5-2467M 1.6GHz, 4GB, 128GB SSD, BT, Win 7 Prof. 64 bit, angol lokalizáció	265096 Ft	13,3	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	128	Intel GMA HD	1,5	3 év el- és visszaszállításos garancia	6 cella	Nem	MS W. 7 Professional 64bit ENG	10/100/1000	802.11b/g/n	Nem	1	1	Nem	Igen	3.0		Igen	1,3	Nem	HDMI	n.a.	Nincs	Ezüst	USB porton			Igen	http																
HPQ NB HP 635 15.6" HD Brazos E-450 1.65GHz, 2GB, 320GB, DVD-RW, BT, Linux, 6cell + táska	77896 Ft	15,6	Matt	1366 x 768 (WXGA) 16	AMD Brazos	2048	DDRIII	320	AMD Radeon Integrated Graphics	2,36	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100	802.11b/g/n	Nem	3		Nem	Igen	2.1		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton		táska	Nem	http																
Packard Bell NB EASYNOTE_F5211-HC-231HG 15.6" LED, Intel Dual Core B970 2.3GHz, 1x2GB, 320GB, DVD-RW SM, Intel UMA, Linux, 6cell, fekete	76440 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	2048	DDRIII	320	Alaplapi Integrált VGA	2,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	1,3	Nem	n.a.	n.a.	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB ThinkPad T430, 14.0" HD+, Intel Core i5-3210M 2.5 GHz, 4GB, 128GB SSD, DVD-RW, Intel HD Graphics, Win7Pro64, 6cell	263016 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	128	Intel HD Graphics 3000	2,8	3 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/g/n	Nem	3		Igen	4-1	n.a.		Igen	2	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card (34mm)	Igen	http																
ACER NB AS5560G-63424G75Mnkk_Lin 15.6" AMD A6-3420 (Quad Core 1.5Ghz, 4Mb Cache) , 4GB, 750GB, DVD-RW SM, Ati HD7670M-1Gb, Card Reader Linux, 6cell, fekete	103896 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRII	750	AMD GMA HD	2,59	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	2	1	Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Fekete	USB porton			n.a.	http																
