TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
ACER NB V3-551G-84508G75Maii_Lin 15.6" WXGA, AMD A8-4500M (Quad-Core 2.8 GHz / 1.9 GHz), 8GB, 750GB HDD, Ati HD7670M-2Gb, DVD-RW, BT 4.0, Card reader, Linux, 6cell, Vas-Fényes szürke	141024 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	8192	DDRIII	750	ATI Radeon HD6670	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	Igen	4.0		Igen	1,3	Nem	HDMI	n.a.	Nincs	Szürke	USB porton			Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, Intel HD 4000, Linux, 6cell, piros	131560 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
HPQ NB ProBook 6475b 14" HD A6-4400M DC 2.7GHz, 4GB, 500GB, DVD-RW, AMD HD7520G, BT, FPR, Win 7 Prof 64 bit, 6cell	170976 Ft	14	Matt	1360 x 768 (WXGA) HD Ready	AMD Llano	4096	DDRIII	500	AMD GMA HD	2,03	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Igen	1	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Nincs	Fekete	USB/dokkoló porton			Nem	http																
LENOVO NB IdeaPad G585A, AMD E2-1800, 15.6" HD, AMD Radeon 6470M 1G DDR3, 4GB, 500GB, DOS, 6 Cell	92248 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	AMD Brazos	4096	DDRIII	500	AMD Radeon HD 6370M		2 év szervizben	6 cella	DVD-RW	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	Nincs			0,3		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad Z585A, A8-4500M, 15.6" HD, AMD Radeon? Dual HD 7670M 2G, 4GB, 1TB, DVDąRW, DOS, Metál szürke, 6 Cell	160472 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	AMD Trinity	4096	DDRIII	1000	AMD Radeon HD 7670M		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	2.1			1		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad Y580, Intel Core i5-3210M, 15.6" Full HD, 6GB, 1TB, nVidia Geforce GTX 660M 2GB, DVDąRW, Win 7 Home Prem, metál szürke szín, BL Keyboard, 6 Cell	224744 Ft	15,6	Fényes	1920 x 1080 (HD1080) 16	Intel Core i5	6144	DDRIII	1000	nVIDIA GeForce GTX 660M		2 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	4		Nem	Igen	3.0			2		HDMI	n.a.	n.a.	n.a.		n.a.	n.a.	n.a.	http																
SAMSUNG NB NP900X3C, 13.3 LED Matt 1600x900, Core i5 3317U 1.70GHz, 4GB, 128GB, Micro HDMI, DSUB, Intel HD 4000, Win 7 HPrem 64 bit, 6cell, alumínium	303160 Ft	13,3	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4	DDRIII	128	Intel HD Graphics 4000	1,16	3 év szervizben	6 cella	Nem	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11a/b/g/n	n.a.	1	2	n.a.	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			n.a.	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i7-3632 2.2GHz, 6GB, 1TB, DVD-RW, Intel HD, Linux, 6cell, fehér	164528 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	6144	DDRIII	1000	Intel HD Graphics 4000	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Fehér	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
LENOVO NB IdeaPad B580, 15.6" HD LED, Intel Core i3-2328M, 4GB, 500GB, DVD-RW, Intel HD graphics, 6 Cell, DOS, Fekete	101192 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 3000	2,7	2 év szervizben	6 cella	DVD-RW	DOS	10/100/1000	802.11b/g/n	Nem	3		Igen	n.a.	4.0		Igen	0,3	Nem	n.a.	n.a.	Nincs	Fekete	USB porton		Numerikus bill	Nem	http																
HPQ NB ProBook 6560b 15,6" HD+ Core i5-2450M 2.5GHz, 4GB, 500GB, DVD-RW, AMD 6470M 512MB, BT, FPR, Win 7 Prof 64 bit, 6cell	218296 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	AMD Radeon HD 6470	2,7	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Igen	4		Igen	Igen	2.1	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA + Soros	Nincs	Fekete	USB/dokkoló porton		Soros port	Nem	http																
LENOVO NB IdeaPad U410, Intel Core i3-2367M, 14.0" HD, nVidia Geforce GT 610M, 4GB, 32GB SSD +500GB, Win 7 Home Prem, grafit szürke szín, 4 Cell	176696 Ft	14	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i3	4096	DDRIII	532	n.a.		2 év szervizben	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	4		Nem	Igen	3.0		Igen	1	Nem	HDMI	n.a.	Nincs	Szürke	USB porton	n.a.	n.a.	Nem	http																
LENOVO NB ThinkPad T430i, 14.0" HD+, Intel Core i3-2370M 2.4 GHz, 4GB, 500GB HDD, DVD-RW, Intel HD Graphics, Win7Pro64, 6cell	217256 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i3	4096	DDRIII	500	Intel HD Graphics 3000	2,8	3 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/g/n	Nem	3		Igen	4-1	n.a.		Igen	2	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card (34mm)	Igen	http																
DELL NB Vostro 3360 13.3" Intel Core i5-3317 1.7GHz, 4GB, 320GB, Intel HD 4000, Linux, 4cell, Ezüst	167648 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	320	Intel HD Graphics 4000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
LENOVO NB ThinkPad T430s Intel Core i5-3320M (3M Cache, 2.60 GHz), 14.0" HD+, Intel HD Graphics, 1x4 GB DDR3-1333MHz, 500GB HDD, DVD író, Intel 6205 agn WiFi, UltraNav, Win7Pro64, 6cell	311896 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 3000	1,79	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem		2	Igen	4-1	n.a.		Igen	0,9	Nem	Mini-Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton			Igen	http																
HPQ NB HP Pavilion dm1-4200SH 11.6" HD BV E1-1200 DC 1.4GHz, 4GB, 640GB, BT, Win 7 HPrem. 64 bit, 6 cell, kőrisfekete	113256 Ft	11,6	Fényes	1366 x 768 (WXGA) 16	AMD Brazos	4096	DDRIII	640	Alaplapi Integrált VGA	1,6	1 év el- és visszaszállításos garancia	6 cella	Nem	MS W. 7 Home Premium 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	2.1		Igen	0,92	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
LENOVO NB ThinkPad Edge E135, 11.6" HD, AMD E300 (2 Core, 1.30 GHz), 4GB, 500GB, AMD Radeon HD 6310 Graphics, DOS, 6cell	89128 Ft	11,6	Matt	1366 x 768 (WXGA) 16	AMD Brazos	4068	DDRIII	500	ATI Radeon HD6310	1,47	1 év szervizgarancia	6 cella	Nem	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	Nem	4.0		Igen	1,9	Nem	D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton			Nem	http																
DELL NB Inspiron 5720 17.3" HD+, Intel Core i7-3632 2.20GHz 8GB, 1TB, DVD-RW, 1GB GF GT 630, Linux, 6cell, Ezüst	186992 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i7	8192	DDRIII	1000	nVIDIA GeForce GT 630M + 1GB VRAM	3,28	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
ACER NB AS5742G-384G75Mnkk_Lin 15.6" LED CB, Core i3 380M 2.53GHz, 4GB, 750GB, DVD-RW SM, Nvidia GT610 1Gb, Linux, 6cell, fekete	107016 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	750	nVIDIA GeForce GT 610	2,6	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	n.a.		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Fekete	USB porton	n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad G585A, AMD E1-1200, 15.6" HD, 2GB, 500GB, Integrated Graphics, Win 8, 6 Cell	94089 Ft	15,6	Fényes	1360 x 768 (WXGA) HD Ready	AMD Brazos	4096	DDRIII	500	AMD Radeon Integrated Graphics		2 év szervizben	6 cella	DVD-RW +/- DL	MS W. 8 64bit HU	10/100	802.11g/n	Nem	4		Nem	n.a.	Nincs		Igen	0,3	Nem	Nincs	n.a.	n.a.	Fekete		n.a.	n.a.	n.a.	http																
HPQ NB EliteBook 8570p 15.6" HD+ Core i5-3360M 2.8GHz, 4GB, 500GB, DVD-RW, AMD 7570M 1GB, BT, FPR, Win 7 Prof 64 bit, 6cell	304200 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	AMD Radeon HD 7570	2,85	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Igen	2	1	Igen	6-1	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA + Soros	Foglalat	Ezüst	USB/dokkoló porton			Igen	http																
HPQ NB HP 650 15.6" HD Celeron B820 1.7GHz, 2GB, 500GB, DVD-RW, Linux, 6cell + táska	79976 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Celeron	2048	DDRIII	500	Intel GMA HD	2,45	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Szürke	USB porton		táska	Nem	http																
ACER NB E1-531-B9604G50Mnks_Lin 15.6" WXGA Intel Dual Core B960 2.2GHz, 4GB, 500GB HDD,Intel UMA, DVD-RW, Card reader, Linux, 6cell, Fekete	84552 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	4096	DDRIII	500	Alaplapi Integrált VGA	2,4	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11a/b/g/n	Nem	2	1	Nem	Igen	Nincs		Igen	1,3	Nem	HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i7-3632 2.2GHz, 8GB, 1TB, DVD-RW, Radeon 7670, Linux, 6cell, ezüst	174928 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i7	8192	DDRIII	1000	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
SAMSUNG NB NP300E5X, 15.6 LED Matt 1366x768, Core i3-3110M 2,40GHz, 6GB, 750GB, HDMI, DSUB, NVIDIA GF 620M 1GB DDR3, DOS, 6cell, kék-ezüst	117832 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i3	6	DDRIII	750	nVIDIA GeForce GT 620	2,34	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
DELL NB Inspiron 5520 15.6" 1366x768, Intel Core i3-2370M 2.4GHz, 4GB, 1TB, DVD-RW, Radeon 7670, Linux, 6cell, ezüst	144456 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	1000	AMD Radeon HD 7670M	2,9	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Linux	10/100	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton	Nincs rajta Numpad	CSERÉLHETŐ FEDLAPOS	Nem	http																
SONY NB Vaio VPC-SE2F1E 15.5" WXGA Core i5-2450M 2.5GHz, 4GB, 640GB, DVD-RW, ATI HD 6630M + Intel HD, Win 7 HPrem. 6cell, fehér	240552 Ft	15,5	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	640	ATI Radeon HD6630	1,96	2 év el- és visszaszállításos garancia	n.a.	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem	2	1	Nem	Igen	3.0		Igen	1,31	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Igen	http																
HPQ NB EliteBook 8770w 17.3" FHD Core i5-3360M 2.8GHz, 4GB, 500GB, DVD-RW, AMD FirePro M4000 1GB, BT, FPR, Win 7 Prof 64 bit, 8cell	374920 Ft	17	Matt	1920 x 1080 (HD1080) 16	Intel Core i5	4096	DDRIII	500	AMD FirePro M4000	3,57	3 év szervizben	8 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/b/g/n	Nem	2	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Foglalat	Fekete	USB/dokkoló porton			Nem	http																
HPQ NB Elitebook 2170p 11.6" HD Core i5-3427U 1,8GHz, 4GB, 500GB, BT, FPR, WWAN, Win 7 Prof. 64bit, 6cell	296192 Ft	11,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	1,42	3 év szervizben	6 cella	Nem	MS W. 7 Professional 64bit HU	10/100/1000	802.11a/b/g/n	Nem		2	Igen	Igen	4.0		Igen	0,92	Nem	D-Sub + Display Port	eSATA	Beépítve	Ezüst	USB/dokkoló porton	-		Igen	http																
LENOVO NB IdeaPad G580GH, Intel Core i5-3210M, 15.6" HD, Intel HD Graphics, 4GB, 500GB, DVDąRW, DOS, 6 Cell Dark Brown	128336 Ft	15,6	n.a.	1360 x 768 (WXGA) HD Ready	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 3000		2 év szervizben	6 cella	DVD-RW +/-	DOS	10/100	802.11g/n	Nem	4		Nem	Igen	Nincs			0,3		HDMI	n.a.	n.a.	Barna		n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad B580, 15.6" HD LED, Intel Core i5-3210M, 4GB, 500GB, DVD-RW, Intel HD Graphics, 6 Cell, Win7 Home Premium, Fekete	135512 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 3000	2,7	2 év szervizben	6 cella	DVD-RW	MS W. 7 Home Premium 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	3		Nem	n.a.	2.1		Igen	0,3	Nem	n.a.	n.a.	Nincs	Fekete	USB porton		Numerikus bill	Nem	http																
LENOVO NB ThinkPad Edge E135, 11.6" HD, AMD E2-1800 (2 Core, 1.70 GHz), 4GB, 320GB, AMD Radeon HD 7340 Graphics, DOS, 6cell	98696 Ft	11,6	Matt	1366 x 768 (WXGA) 16	AMD Brazos	4068	DDRIII	320	AMD Radeon HD 7340	1,47	1 év szervizgarancia	6 cella	Nem	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	4.0		Igen		Nem	D-Sub + HDMI	eSATA	Nincs	Fekete	USB porton			Nem	http																
TOSHIBA TAB Tegra AT300-101, 10.1" 1280x800, nVidia Tegra 3 1.3Ghz, 1GB, 16GB SSD, nVidia Tegra, Android 4.0, Ezüst	96106 Ft	10,1	Fényes	1280 x 800 (WXGA) 16	nVidia Tegra	1024	DDRIII	16	Alaplapi 256MB	0,6	2 év szervizben	3 cella	Nem	Home Menu for Android? 2.1		802.11b/g/n	Nem	1		Nem	Igen	3.0			5	Nem	Mini-HDMI	n.a.	n.a.	Ezüst	USB/dokkoló porton	n.a.	n.a.	Nem	http																
TOSHIBA NB Satellite C850-17W, 15.6" 1366x768, Intel Pentium B950 2.1GHz, 2GB, 320GB, Intel GMA HD, DVD-RW DL, NoOs, 6 cell, Fekete	86216 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	2048	DDRIII	320	Intel GMA HD	2,3	2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1		Igen	4.0		Igen	1		HDMI	n.a.	Nincs	Fekete		n.a.	n.a.	n.a.	http																
TOSHIBA NB Portege Z830-10F, 13.3" 1366x768, Intel Core i5-2467M 1.6GHz, 4GB, 128GB SSD, Intel GMA HD, Win7 Hprem, 6 cell, Ezüst	215384 Ft	13,3	Fényes	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	128	Intel GMA HD	1,12	3 év szervizben	6 cella	Nem	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n		2	1		Igen	3.0		Igen	1,3		HDMI	n.a.	n.a.	Szürke		n.a.	n.a.	Igen	http																
LENOVO NB IdeaPad S300 Intel Celeron Processor 887, 13.3" Flat LED HD, Intel HD Graphics, 4GB, 320GB, nincs optikai meghajtó, WIN7 Home Premium, rózsaszín, 4 Cell	112320 Ft	13,3	n.a.	1360 x 768 (WXGA) HD Ready	Intel Celeron Dual Core	4096	DDRIII	320	Intel GMA HD	1,8	2 év szervizben	4 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11g/n	Nem	3		Nem	Igen	4.0			1		HDMI	n.a.	n.a.	Rózsaszín		n.a.	n.a.	n.a.	http																
LENOVO NB ThinkPad T530, 15.6" HD+, Intel Core i5-3210M 2.50 GHz, 4GB, 500GB, DVD-RW, Intel HD Graphics, Win7Pro64, 6cell	253656 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 3000	2,57	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem	3		Igen	4-1	2.1		Igen	0,9	Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card	Igen	http																
DELL NB Vostro 3360 13.3" Intel Core i3-2367 1.4GHz, 4GB, 320GB, Intel HD 3000, Linux, 4cell, Ezüst	154024 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	320	Intel HD Graphics 3000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Vostro 3360 13.3" Intel Core i5-3317 1.7GHz, 4GB, 320GB, Intel HD 4000, Linux, 4cell, Bronz	167648 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	320	Intel HD Graphics 4000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Bronz	USB porton			Nem	http																
DELL NB Vostro 3360 13.3" Intel Core i7-3517 1.9GHz, 6GB, 128GB SSD, Intel HD 4000, Win 7 HPrem 64bit, 4cell, Ezüst	248768 Ft	13,3	Matt	1366 x 768 (WXGA) 16	Intel Core i7	6144	DDRIII	128	Intel HD Graphics 4000	1,67	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	4 cella	Nem	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem		3	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
DELL NB Vostro 3460 14.0" Intel Core i3-2370 2.4GHz, 4GB, 500GB, DVD-RW, GeForce GT630 1GB, Linux, 6cell, Ezüst	164528 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	500	nVIDIA GeForce GT 630M + 1GB VRAM	2,23	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton		34mm Express Card	Igen	http																
LENOVO NB ThinkPad X230, 12.5" HD, Intel Core i7-3520M 2.90 GHz, 4GB, 500GB HDD, Intel HD Graphics, Win7Pro64, 6cell + UltraBase + Ultrabay DVD-RW	343096 Ft	12,5	Matt	1366 x 768 (WXGA) 16	Intel Core i7	4096	DDRIII	500	Intel HD Graphics 3000	1,3	3 év szervizben	6 cella	DVD-RW	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem	2	2	Igen	Igen	4.0		Igen	0,9	Nem	D-Sub + Mini Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		UltraBase + Ultrabay DVDRW	Igen	http																
HPQ NB ProBook 6470b 14" HD, Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, BT, FPR, WWAN, Win 7 Prof 64 bit, 6cell	221208 Ft	14	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Alaplapi Integrált VGA	2,03	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	1	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Beépítve	Szürke	USB/dokkoló porton	-	1x ExpressCard/54, 1x médiakártya-olvasó	Nem	http																
HPQ NB ProBook 6570b 15.6" HD, Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, BT, FPR, Win 7 Prof 64 bit, 6cell	202384 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Alaplapi Integrált VGA	2,6	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	2	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Nincs	Szürke	USB/dokkoló porton	-	1x ExpressCard/54, 1x médiakártya-olvasó	Nem	http																
SONY NB Vaio SV-E1111M1E 11,6" WXGA AMD E2-1800 1,7 GHz, 4GB, 500GB, AMD Radeon? HD 7340, Win 7 HPrem. 6cell, pink	120422 Ft	11,6	Matt	1366 x 768 (WXGA) 16	AMD E2-1800 Accelerated	4096	DDRIII	500	AMD Radeon HD 7340		2 év el- és visszaszállításos garancia	n.a.	Nem	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11g/n	Nem	2	1	Nem	Igen	4.0		Igen	1,31	Nem	D-Sub + HDMI	n.a.	Nincs	Rózsaszín	USB porton			Nem	http																
HPQ NB HP G6-2030SH 15.6" HD BV Core i3-2350M 2.3GHz, 4GB, 640GB, DVD-RW, BT, Win 7 HPrem 64 bit, 6 cell, szikrázó fekete	144456 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Core i3	4096	DDRIII	640	Intel HD Graphics 4000	2,48	2 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Home Premium 64bit HU/ENG	10/100	802.11b/g/n	Nem	1	2	Nem	Igen	2.1		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
HPQ NB EliteBook 8470w 14" HD+ Core i7-3610QM 2.3GHz, 4GB, 750GB, DVD-RW, AMD FirePro M2000 1GB, BT, FPR, Win 7 Prof 64 bit, 6cell	368680 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i7	4096	DDRIII	750	AMD discrete VGA	2,5	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	1	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Foglalat	Fekete	USB/dokkoló porton			Igen	http																
HPQ NB EliteBook 8570p 15.6" HD+ Core i5-3360M 2.8GHz, 4GB, 500GB, DVD-RW, BT, FPR, Win 7 Prof 64 bit, 6cell	277576 Ft	15,6	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,85	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	2	1	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA + Soros	Foglalat	Ezüst	USB/dokkoló porton			Igen	http																
