TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
HP 630 Champagne A6E83EA LX 6GB	88110 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	6144 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	nincs (L)			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Dell. Inspiron N5040 Red PS LX 3Y 3814096	88110 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Toshiba Satellite C850-17W Black NoOs	88898 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite		fekete	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell Inspiron N5040 Black ASD 8GB 2Y	88898 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	8192 (DDR3) MB	250 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
HP 630 Champagne B7B29EA LX	90472 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW	2 év	6 cellás	nincs (L)			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Asus X55U-SX004V Black W7	90472 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN			fekete	10/100/1000	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Lenovo IdeaPad G580GH Brown 59-336871 FD	90472 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Dell Inspiron N5050 CE S Black 3113854 LX 2Y	90472 Ft	15.6ʺ HD (1366x768)	Celeron B710 (1600)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron M5110 Black A6R LX 3414617	90472 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Dell Inspiron N5040 S Black 3613852 LX 2Y	90472 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
