TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Dell Inspiron M5110 Black E2 LX	110157 Ft	15.6ʺ HD (1366x768)	AMD E2-3000M (1800)	2048 (DDR3) MB	320 GB	AMD Radeon HD 6380G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
HP 630 Champagne A6F14EA LX 8GB	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	8192 (DDR3) MB	500 GB	512 MB AMD Radeon HD 6370M	DVDRW SM	2 év	6 cellás	nincs (L)			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Dell Inspiron 3520 Black i3 S LX 3414623 3Y 8GB	110157 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2370M (2400)	8192 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Fujitsu LifeBook A531 i3 NoOs	110157 Ft	15.6ʺ HD (1366x768)	Core i3 2330M (2200)	4096 (DDR3) MB	320 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
HP 630 Champagne A6E89EA W7 + táska, egér	110157 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska+egér													
Acer Aspire 5560-63424G50Mnbb Blue LX 16GB	110157 Ft	15.6ʺ HD LED (1366x768)	AMD A6-3420M (1500)	16384 (DDR3) MB	500 GB	AMD Radeon HD 7480	DVDRW SM	1 év	6 cellás	nincs (L)	Aspire		kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Fujitsu LifeBook A530 i37 NoOs 8GB	110157 Ft	15.6ʺ HD (1366x768)	Core i3 370M (2400)	8192 (DDR3) MB	320 GB	Intel Media Accelerator HD	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
HP 630 Champagne C1M15EA W7 Telenor MIS	110236 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
Samsung NP300E5A-A05HU Blue W7	111417 Ft	15.6ʺ HD LED (1366x768)	Pentium B950 (2100)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	2 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Samsung	Samsung N	kék	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	SD card	van														
Fujitsu LifeBook A531 i3/500 NoOs	112520 Ft	15.6ʺ HD (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
HP Pavilion G6-1308EH A9W36EA FD	112520 Ft	15.6ʺ LED HD BV (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7450M	DVDRW +/-	2 év	6 cellás	nincs (F)	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
HP 630 Champagne A6G36ES W7	112520 Ft	15.6ʺ HD LED (1366x768)	Core i3 370M (2400)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW+/- Lightscribe	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Dell Inspiron N5050 Black SPO/SW Red 4GB. W7	114094 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell. Inspiron N5040 Black W7 3Y 3714362	114094 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Packard Bell EasyNote TS11-SB-452HG W7	114094 Ft	15.6ʺ HD (1366x768)	AMD A4-3300M (1900)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 6510G2	DVDRW SM	1 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	Multi-in-1	van														
Dell Inspiron N5040 SC Black 4GB. W7 2Y Clip19/R	114094 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron N5050 Black SPO/SW pink 4GB.W7	114094 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Packard Bell EasyNote F4085-GN-464HG	114094 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	640 GB	1024 MB NVIDIA GF GT 610M	DVDRW SM	1 év	6 cellás	nincs (L)			fekete	van	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Acer Aspire 5733-384G32Mnkk Grey W7	114094 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	4400 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Aspire	Aspire 5xxx	szürke	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1															
Lenovo IdeaPad G780G Black 59-334334 FD	114094 Ft	17.3ʺ LED HD+ (1600x900)	Pentium B970 (2300)	4096 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	fekete	10/100/1000	2x3.0.2x2.0	van	magyar	Touch pad	Új	van	van	VGA		3 in 1	van														
HP 630 Champagne A1D74EA W7 8GB	114094 Ft	15.6ʺ HD LED (1366x768)	Core i3 370M (2400)	8192 (DDR3) MB	320 GB	AMD Radeon HD 6370M	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
HP 630 Champagne A6E89EA W7 8GB	114094 Ft	15.6ʺ HD LED (1366x768)	Core i3 380M (2530)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	Windows7 HomePrem 64 HUN			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
Dell. Inspiron N5040 Red W7 3Y 3814362	114094 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
HP Pavilion G6-1314SH B1Y38EA W7	114094 Ft	15.6ʺ LED HD BV (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Packard Bell EasyNote F4087-GN-464HG	114094 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	640 GB	1024 MB NVIDIA GF GT 610M	DVDRW SM	1 év	6 cellás	nincs (L)			piros	van	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	2 in 1	van														
Dell Inspiron N5050 SPO 6GB W7	114094 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN			fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron N5040 SC Black 4GB. W7 2Y Clip19/P	114094 Ft	15.6ʺ HD (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Asus X54C-SO344D Black Win7 6GB	114094 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	6144 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	2600 mAh	Windows7 HomePrem 64 HUN	Value		fekete	10/100	1x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van														
Dell Inspiron M5110 Black E2 LX 4GB	114094 Ft	15.6ʺ HD (1366x768)	AMD E2-3000M (1800)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6380G	DVDRW SM	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Acer Aspire 5560-4334G75Mnrr Red LX	114882 Ft	15.6ʺ HD LED (1366x768)	AMD A4-3300M (1900)	4096 (DDR3) MB	750 GB	AMD Radeon HD 6480G	DVDRW SM	1 év	4400 mAh (Li-ion)	nincs (L)	Aspire	Aspire 5xxx	piros	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		5 in 1	van														
Dell Inspiron 3520 Black i3 M LX 3514623 3Y 8GB	114882 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2370M (2400)	8192 (DDR3) MB	750 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron 3520 Black i5 S LX 3614623 3Y	114882 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron N5110 Black PB M 3114045	115669 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	2048 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Dell. Inspiron N5050 Red i3 M LX 3614399	116457 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	1000 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron N5050 Black i3 M LX 3514399	116457 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	1000 GB	Intel HD Graphics 3000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Toshiba Satellite C850-179 Black NoOs	116457 Ft	15.6ʺ HD LED (1366x768)	Core i3 2310M (2100)	4096 (DDR3) MB	320 GB	1024 MB AMD Radeon HD 7610M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite		fekete	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
HP Pavilion G6-1313SH B2A11EA W7	118031 Ft	15.6ʺ LED HD BV (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7450M	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
Dell Inspiron M5110 Red A6R Win7	118031 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	4096 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
HP Pavilion G6-1315SH B1Y39EA W7	118031 Ft	15.6ʺ LED HD BV (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7450M	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Dell Inspiron 3520 Black i5 M LX 3714623 3Y	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	750 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron N5050 Black SPO/SW Red 6GB. W7	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron 3520 Black i5 S LX 3614623 3Y 8GB	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron M5110 Black A6R W7 3614617 8GB	118031 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Dell Inspiron N5050 SPO 8GB. W7	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron N5050 Black SPO/SW pink 6GB.W7	118031 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron N5040 Red W7 3Y	120394 Ft	15.6ʺ HD LED (1366x768)	Pentium P6200 (2130)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		piros	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Fujitsu LifeBook A531 i3/500 NoOs 8GB	120394 Ft	15.6ʺ HD (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	3 év	4400 mAh (Li-ion)	nincs op. rsz.	Lifebook	Lifebook A	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	3 in 1	van				van										
HP Pavilion G6-1308EH A9W36EA FD 8GB	120394 Ft	15.6ʺ LED HD BV (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7450M	DVDRW +/-	2 év	6 cellás	nincs (F)	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Toshiba Satellite C855-10M Silver W7	121969 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Satellite		ezüst	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	3 in 1	van														
Dell Inspiron N5050 Black SPO/SW Red 8GB. W7	121969 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron N5050 Black SEK W7	121969 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2450M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Dell Inspiron N5050 Black SPO/SW pink 8GB.W7	121969 Ft	15.6ʺ HD LED TL (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
HP Pavilion G6-1314SH B1Y38EA W7 8GB	121969 Ft	15.6ʺ LED HD BV (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Lenovo IdeaPad Z380G White 59-334474 FD	121969 Ft	13.3ʺ HD LED (1366x768)	Core i3 2370M (2400)	2048 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad		fehér	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	5 in 1	van														
Lenovo IdeaPad Z580G White 59-334244 FD	122756 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	2048 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad		fehér	10/100	2x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van		3.0	van	van														
Acer Aspire 5742G-564G50Mnkk Black LX 2Y	122756 Ft	15.6ʺ HD LED (1366x768)	Core i5 560M (2660)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 610M	DVDRW SM	2 év	4400 mAh (Li-ion)	nincs (L)	Aspire	Aspire 5xxx	fekete	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
Dell Inspiron N5110 Black PB RD W7 3014104 3Y	122756 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	2048 (DDR3) MB	320 GB	512 MB AMD Radeon HD 6470M	DVDRW +/-	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Toshiba Satellite C870-168 White NoOs	123543 Ft	17.3ʺ LED HD+ (1600x900)	Pentium B950 (2100)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7610M	DVDRW SM	2 év	4200 mAh (Li-ion)	nincs op. rsz.	Satellite		fehér	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	SD card	van														
Dell Inspiron N5110 UTS i3 GF FD 3814579	123543 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT 525M	DVDRW +/-	3 év	6 cellás	nincs (F)	Inspiron		fekete	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	3.0	8 in 1	van		e-SATA/USB												
Acer Aspire 5750Z-B964G75Mnkk W7	124331 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW SM	1 év	6 cellás	Windows7 HomePrem 64 HUN	Aspire	Aspire 5xxx	fekete	10/100/1000	3 db	b/g 54mbps	magyar	Touch pad	Új	van	van	VGA		4 in 1	van														
HP Pavilion G6-1313SH B2A11EA W7 8GB	125906 Ft	15.6ʺ LED HD BV (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7450M	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	2 in 1	van														
HP Pavilion G6-2100SH B7F99EA W7	125906 Ft	15.6ʺ LED HD BV (1366x768)	AMD A8-4500M (2100)	4096 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		szürke	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	2 in 1	van														
Dell Inspiron M5110 Red A6R Win7 8GB	125906 Ft	15.6ʺ HD LED TL (1366x768)	AMD A6-3420M (1500)	8192 (DDR3) MB	640 GB	AMD Radeon HD 6520G	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN			piros	10/100	3 db USB 3.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	4 in 1	van		van												
Lenovo IdeaPad Z380G White 59-334474 FD 4GB	125906 Ft	13.3ʺ HD LED (1366x768)	Core i3 2370M (2400)	4096 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad		fehér	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	5 in 1	van														
Dell Inspiron 3520 Black i5 M LX 3714623 3Y 8GB	125906 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 3210M (2500)	8192 (DDR3) MB	750 GB	Intel HD Graphics 4000	DVDRW +/-	3 év	6 cellás	nincs (L)	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	3 in 1	van														
Dell Inspiron N5050 Black SEK W7 8GB	125906 Ft	15.6ʺ HD LED TL (1366x768)	Core i5 2450M (2500)	8192 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
Lenovo IdeaPad G580GH Brown 59-346857 FD	125906 Ft	15.6ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1	van														
ThinkPad Edge E430 Black NZNC9HV FD	125906 Ft	14ʺ HD LED (1366x768)	Core i3 2350M (2300)	4096 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW +/-	1 év	6 cellás	nincs (F)	ThinkPad	ThinkPad Edge	fekete	10/100/1000	2x3.0.2x2.0	b/g/n 300mbps	magyar	Track point + Touch pad	Új		van	VGA	4.0	5 in 1	van			van											
HP Pavilion G6-1315SH B1Y39EA W7 8GB	125906 Ft	15.6ʺ LED HD BV (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	750 GB	1024 MB AMD Radeon HD 7450M	DVDRW +/-	2 év	6 cellás	Windows7 HomePrem 64 HUN	Pavilion		ezüst	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		2 in 1	van														
Toshiba Satellite C855-10M Silver W7 8GB	129843 Ft	15.6ʺ HD LED (1366x768)	Core i3 2350M (2300)	8192 (DDR3) MB	500 GB	Intel HD Graphics 3000	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows7 HomePrem 64 HUN	Satellite		ezüst	10/100	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	4.0	3 in 1	van														
Lenovo IdeaPad Z380G White 59-334474 FD 6GB	129843 Ft	13.3ʺ HD LED (1366x768)	Core i3 2370M (2400)	6144 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad		fehér	10/100	2x3.0.1x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	5 in 1	van														
Dell. Inspiron N5040 Black i3 M W7 3Y 3614466	129843 Ft	15.6ʺ HD WLED (1366x768)	Core i3 380M (2530)	4096 (DDR3) MB	640 GB	Intel HD Graphics	DVDRW +/-	3 év	6 cellás	Windows7 HomePrem 64 HUN	Inspiron		fekete	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	van	3 in 1	van														
