TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Hewlett Packard HP 635 (A1E51EA) Notebook	85900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Radeon HD 4225 Graphics Shared Memory	2,5 kg, 37,6 x 24,7 x 3,18 cm	2 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F5211-BZ-451HG Notebook	85900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 381.6 (W) x 253 (D) x 25.2/33.2 (H) mm	1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Hewlett Packard HP 650 (B6N59EA) Notebook	85900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Asus X53BR-SX029D Notebook	85900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	2 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 6320	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Asus P53E-SO211D Notebook	85900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Acer Aspire 4352-B812G32MNkk (NX.RU5EU.002_Win7H) Notebook	85900 Ft	14,1'', 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	2 GB, DDR3		320 GB, SATA-2	Intel GMA HD	2,2 kg, 342 (W) x 245 (D) x 25.5/34.2 (H) mm	2 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo Ideapad B575E (59-343813) Notebook	85900 Ft	15,6", 1366x768, 16:9	AMD , E2-1800 1.70GHz / 1MB L2, 18W	4 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 7340M	2,4 kg, 378 mm × 252 mm × 33.1 mm	2 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	4 db USB 2.0 port, Bluetooth 4.0 (low energy), 6 in 1 kártyaolovasó, DSUB, HDMI out	Camera 0.3MPixel		eSATA		
Dell Inspiron 3520 (INSP3520-2) Notebook	86900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	Intel Graphics 3000 HD	2,4 kg, 31.52mm (1.24) elöl/ 34.53mm (1.36) hátul * 376.0mm * 260.0mm	1 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo Ideapad B570e (59-335845) Notebook	87900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 378 x33.1x252mm	2 év garancia	6 cella, 3 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, 6 in 1 kártyaolovasó, DSUB, HDMI out	Camera 0.3MPixel		eSATA		
Hewlett Packard HP 655 (B6N21EA) Notebook	88900 Ft	15,6", 1366x768, 16:9	AMD , E1-1800 1,7GHz /1MB L2 Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 7340M	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Asus X55U-SX007V Notebook	88900 Ft	15,6", 1366x768, 16:9	AMD , AMD C-60 1GHz, 1 MB L2 Cache DualCore	2 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 6320	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo ideaPad G575 (59-345827) Notebook	88900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-300 APU 1.3GHz / 800MHz/1MB L2	2 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Mobility Radeon HD6310	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő , 4400 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	4 db USB 2.0 port, 2 in 1 kártyaolvasó, DSUB	Camera 0.3MPixel				
Lenovo ideaPad G575 (59-353537) Notebook	88900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		750GB, SATA-2	ATI Mobility Radeon HD6320M	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő , 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	4 db USB 2.0 port, 2 in 1 kártyaolvasó, DSUB	Camera 0.3MPixel				
Asus K53BR-SX003D Notebook	89900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	ATI Mobility Radeon HD6320M		2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Asus K53BR-SX015D Notebook	89900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7470M /1GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Packard Bell EASYNOTE F4213-HR-235HG Notebook	89900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Nvidia Geforce GT 610M 1GB		2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F4244-HR-235HG Notebook	89900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD		2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F6244-HC-840HG Notebook	89900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,6 kg, 381.6 x 253 x 25.2/33.2 mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite C850-17W Notebook	90900 Ft	15,6" HD LED, 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	2 GB, DDR3 1066MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Samsung NP300E5X-A01HU Notebook	90900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3 1333MHz		750GB, SATA-2	Intel GMA HD	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE TS11-HR-252HG Notebook	91900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B815 - 1,6GHz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Asus X55A-SX041D Notebook	91900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Dell Inspiron 3520 (INSP3520-1) Notebook	91900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 31.52mm (1.24) elöl/ 34.53mm (1.36) hátul * 376.0mm * 260.0mm	1 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
