TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Toshiba Satellite C855-1MX Notebook	107900 Ft	15,6" HD LED, 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1333MHz		640 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G580 (59-341950) Notebook	108900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Samsung NP300E5C-A01HU Notebook	108900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Intel GMA HD	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Asus K53SD-SX1121D Notebook	108900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 2GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Asus K53SD-SX1241D Notebook	108900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 2GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Asus K53BR-SX015V Notebook	108900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7470M /1GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Asus K53SD-SX1239D Notebook	108900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 2GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo ThinkPad EDGE E525(NZ63KHV) Notebook	109900 Ft	15,6", 1366x768, 16:9	AMD , E2-3000M 1800/2400 Turbo MHz / 1MB L2 Cache / 35W	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 6380G	2,4 kg, 375x245x28–33 mm	1 év garancia	6 cella, 6 óra átlagos üzemidő, 47Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11 b/g WLAN	3USB 2.0, Bluetooth 3.0 High Speed , 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Lenovo ThinkPad E330(NZS3KHV) Notebook	109900 Ft	13,3", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	1,5 kg	1 év garancia	6 cella, 6 óra átlagos üzemidő, 62.4WHr			10/100/1000, Intel WiFi Link 1000 BGN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Acer Aspire V3-531G-B9704G50Maii (NX.M36EU.001) Notebook	109900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3		500 GB, SATA-2	Nvidia GeForce GT 630M 1GB	2,6 kg, 381.6 x 253 x 25.2/33.2 mm	2 év garancia	6 cella, 2,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo Ideapad G580 (59-346867) Notebook	109900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2328M - 2,20GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 2.1, 2 in 1 kártyaolvasó, HDMI out	Camera 0.3MPixel				
Acer Aspire 5750ZG-B954G50MN (LX.RM102.042) Notebook	110900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B950 - 2,1GHz / 2MB L2 Cache	4 GB, DDR3 1066MHz		500 GB, SATA-2	Nvidia GeForce GT520M 1GB	2,6 kg, 381.6 x 253 x 25.2/33.2 mm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite L750-1WW Notebook	111900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1333MHz		640 GB, SATA-2	Intel GMA HD	2,5 kg, 380,0 x 250,0 x 27,7 (elöl) / 37,5 (hátul) mm	2 év garancia	6 cella, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Toshiba Satellite C855-113 Notebook	111900 Ft	15,6" HD LED, 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	4 GB, DDR3 1066MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	Lithium-ion, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G580 (59-351270) Notebook	111900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1333MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 2.1, 2 in 1 kártyaolvasó, HDMI out	Camera 0.3MPixel				
Lenovo ThinkPad E335(NZT64HV) Notebook	112900 Ft	13,3", 1366x768, 16:9	AMD , E2-1800 1.70GHz / 1MB L2, 18W	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	AMD Radeon HD 7340M	1,8 kg, 322*228*27.8 mm	1 év garancia	6 cella, 7 óra átlagos üzemidő, 62.4WHr		FreeDos	10/100/1000, Intel WiFi Link 1000 BGN	3 db USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo ThinkPad EDGE E535(NZR6WHV) Notebook	112900 Ft	15,6", 1366x768, 16:9	AMD , A4-4300M 2,5GHz max. 3.00GHz, 1MB L2 cache, 35Watt, 32nm	4 GB, DDR3 1333MHz		320 GB/7200rpm, SATA-2	AMD Radeon HD 7420G	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 6 óra átlagos üzemidő, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11 b/g WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Lenovo ideaPad S300 (59-350165) Notebook	113900 Ft	13,3", 1366x768, 16:9	Intel DualCore, 987 / 2M Cache / 1.50 GHz	4 GB, DDR3 1333MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,8 kg, 330x230.2x22.4 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3520 (3520_146235) Notebook	113900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz /3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 31.52mm (1.24) elöl/ 34.53mm (1.36) hátul * 376.0mm * 260.0mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo Ideapad G580 (59-351257) Notebook	113900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 2.1, 2 in 1 kártyaolvasó, HDMI out	Camera 0.3MPixel				
Packard Bell EASYNOTE TK81-SB-465HG Notebook	114900 Ft	15,6", 1366x768, 16:9	AMD , Phenom N970 (2,2GHz)	4 GB, DDR3 1066MHz		640 GB, SATA-2	ATI Radeon HD 6650 1GB		2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	802.11 a/g/n WLAN	3 USB 2.0, 1 USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F4087-GN-475HG Notebook	114900 Ft	15,6", 1366x768, 16:9	Intel DualCore, P6200 ( 2.13 GHz, 3M Cache)	4 GB, DDR3 1066MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB		1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ThinkPad EDGE E530(NZQAMHV) Notebook	115900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B970 2.3GHz / 2MB Cache, 5 GT/s, 35 W	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 8 óra átlagos üzemidő, 62.4WHr	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	Camera 2.0 Mp		eSATA		
Toshiba Satellite C850-179 Notebook	115900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad S400 (59-350221) Notebook	115900 Ft	14.0", 1366x768, 16:9	Intel DualCore, 997 / 2M Cache / 1.6GHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7450M 1GB	1,8 kg, 336.6x241.2x21.9 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad S300 (59-350176) Notebook	116900 Ft	13,3", 1366x768, 16:9	Intel Celeron DualCore, 887 / 2M Cache / 1.50 GHz	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	1,8 kg, 330x230.2x22.4 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite L850D-114 Notebook	116900 Ft	15,6", 1366x768, 16:9	AMD , A6-4400M 3,2/2,7 GHz 1MB L2 cache	4 GB, DDR3 1600MHz		500 GB/5400rpm, SATA-2	AMD Radeon 7520G + 7610M 1GB Dual Graphics	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 6 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad EDGE E535(NZR55HV) Notebook	116900 Ft	15,6", 1366x768, 16:9	AMD , A4-4300M 2,5GHz max. 3.00GHz, 1MB L2 cache, 35Watt, 32nm	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7420G	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 6 óra átlagos üzemidő, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11 b/g WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)		eSATA		
Hewlett Packard HP 630 (C1M15EA) Notebook	117900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 37,6 x 24,7 x 3,18 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő, 47Wh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Toshiba Satellite C850-177 Notebook	117900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 5,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Asus K53SD-SX1255D Notebook	117900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Nvidia Geforce GT 610M 2GB	2,6 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 5200mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 0.3MPixel				
Lenovo ThinkPad Edge E130 (NZU37HV) Netbook	118900 Ft	11,6", 1366x768, 16:9	Intel Core i, 3 2367M 1.40 GHz / 3M Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel HD Graphics 4000	1,5 kg, 287*212*23mm	1 év garancia	6 cella			10/100/1000, 802.11b/g/n WLAN	3 db USB 3.0 port, Bluetooth 4.0, 4 in 1 kártyaolvasó, HDMI out	720p HD Webkamera				
Fujitsu Lifebook A532-E (VFY:A5320MPAB5HU) Notebook	119900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,4 kg, 378 x 252 x 34.2 mm	2 év garancia	6 cella, 6,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD Webkamera				
Samsung NP300E5X-S02HU Notebook	120900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	6 GB, DDR3 1600MHz		750GB, SATA-2	NVIDIA GeForce GT 620M 1GB	2,3Kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Lenovo ideaPad S300 (59-350164) Notebook	122900 Ft	13,3", 1366x768, 16:9	Intel DualCore, 997 / 2M Cache / 1.6GHz	4 GB, DDR3 1333MHz		500 GB/5400rpm, SATA-2	Intel GMA HD Graphics 4000	1,8 kg, 330x230.2x22.4 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad S400 (59-350200) Notebook	122900 Ft	14.0", 1366x768, 16:9	Intel DualCore, 997 / 2M Cache / 1.6GHz	4 GB, DDR3 1333MHz		500 GB, SATA-2	Intel GMA HD	1,8 kg, 336.6x241.2x21.9 (LxWxH) mm	2 év garancia	4 cella, 5 óra átlagos üzemidő		Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Samsung NP300E5X-S01HU Notebook	123900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1333MHz		750GB, SATA-2	Nvidia Geforce GT 610M 1GB	2,4 kg, 367.9 x 243 x 27.6 ~ 33.2mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Fujitsu Lifebook AH531 (VFY:AH531MF032HU/KIT) Notebook	123900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2328M - 2,20GHz / 3MB Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,5 kg, 378 mm x 250 mm x 29.2/36.5 mm	3 év garancia	6 cella, 7 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, 4 in 1 kártyaolvasó, DSUB, Express Card 34/54, HDMI out	Camera 1.3MPix				
Dell Inspiron N5110 (INSPN5110-54) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 376,0 mm x 260,2 mm x (29,7 mm)/ hátul (33,8 mm)	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100, Intel WiFi 1030	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Hewlett Packard HP Pavilion g6-1313sh (B2A11EA) Notebook	124900 Ft	15,6", 1366x768, 16:9	AMD , A6-3420M 2,4/1,5 GHz 4MB Cache Quad-Core	4 GB, DDR3 1333MHz		750GB, SATA-2	AMD Radeon HD 6480G + 7450M 1GB DDR3	2,5 kg, 37,4 x 24,5 x 3,63 cm	1 év garancia	6 cella, 3 óra átlagos üzemidő	DVD +/- RW, Super Multi	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Fujitsu STYLISTIC M532 (VFY:M53200MPAD1IN) Tablet	124900 Ft	10,1 képátló, 1280x800, 16:10	Nvidia Tegra / 3 Quad-Core T30S, 1.4GHz	1GB RAM	32 GB háttértár		nVidia ULP GeForce	560g	1 év garancia	2 cellás, 3170mAh, 9 óra		Android 4.0 Ice Cream Sandwich	802.11a/b/g/n, Bluetooth 3.0, 3G, GPS	sztereo jack, Micro SD, 1 x docking connector (HDMI/USB töltéshez)	2MP elöl, 8MP hátul, vakuval	sztereó hangszóró, mikrofon	Toll, tok, bölcső	Fekete	
Dell Inspiron N5110 (N5110_141040) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B960 2.2GHz / 2MB L3 cache	2 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Radeon HD 6470M 512MB	2,5 kg, 376,0 mm x 260,2 mm x (29,7 mm)/ hátul (33,8 mm)	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar 64bit	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Dell Inspiron 5520 (DI5520I-2370M-4GH50D6MS) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2370M 2,4GHz, 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5520 (5520_146046) Notebook	125900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 378 mm x 252 mm x 30,03 mm / hátul 34,1 mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad B580 (59-344143) Notebook	125900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,6 kg, 376x245x34.3	2 év garancia	6 cella, 4 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 3.0 - 2x USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 0.3MPixel				
Dell Inspiron N5110 (INSPN5110-39) Notebook	126900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -2350M 2.3GHz / 3MB SmartCache	2 GB, DDR3 1333MHz		500 GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 376,0 mm x 260,2 mm x (29,7 mm)/ hátul (33,8 mm)	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100, Intel WiFi 1030	2x USB 3.0 - 2x USB 2.0, Bluetooth 3.0 High Speed , 8 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD		eSATA		
Toshiba Satellite C850-178 Notebook	126900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -2310M 2.10 GHz / 3MB Cache	4 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Radeon HD 7610M 1GB DDR3	2,3Kg, 380.0 x 242.0 x 33.52 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 7 Home Premium Magyar	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
