TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	VGA Típusa	LAN	Portok	Bill.	Softver	Bemeneti/Kimeneti csatlkozók	Billentyűzet/Touchpad	Súly/Méretek
acer Aspire V5-571G-32364G50Makk - Fekete - Már 2 év garanciával!	116285 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-2367M (3M Cache, 1.40 , HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 620M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V5-531G-967B4G50Makk - Fekete - Már 2 év garanciával!	104247 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium Dual-Core B967 (2M Cache, 1.3GHz)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 620M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M5-581T-53314G52Mass Ezüst Ultrabook - Most 3 év garanciával!	162515 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3317U (3M Cache, 1.7 GHz up to 2.60 GHz)	4GB DDR3 memória	20GB SSD + 500 GB HDD		Intel® HD Graphics 4000	376.4 x 253 x 19.7/20.7 mm2.25 kg HDD-vel	3 év	54 W 4850 mAh 3-cellás Li-ion akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HSAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M5-481TG-32374G52Mass ultrabook ezüst - Most 3 év garanciával!	158015 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-2377U (3M Cache, 1.5 GHz)	4GB DDR3 memória	20GB SSD + 500 GB HDD		NVIDIA® GeForce® GT 640M LE 1GB	376.4 x 253 x 19.7/20.7 mm2.25 kg	3 év	54 W 4850 mAh 3-cellás Li-ion akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HSAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Travelmate P643M-53214G50MN - Most 3 év garanciával!	156229 Ft	14"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i5-3210M (3M Cache, up to 3.10 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez 7200rpm!		NVIDIA® GeForce® GT 630M 1GB	n/a	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 7 Professional		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 3.0* 1x USB/eSATA kombó * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó* 1 Express Card* 1 Acer ProDock csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés	Acer ePower Management Acer eRecovery Management Adobe® Flash® Player 10.1 Adobe® Reader® 9.1 Bing™ Bar eSobi™ Norton™ Online Backup Próbaverzió Windows Live™ Essentials McAfee® Internet Security Próbaverzió MyWinLocker® Acer clear.fi NTI Media Maker™ Acer Games powered by WildTangent® Acer Crystal Eye Acer Video Conference Manager Microsoft® Silverlight™ Skype™ Acer Identity Card Acer Registration Acer Updater Microsoft® Office 2010 Starter előtelepítve* *A Microsoft® Office 2010 Starter szoftver ingyenesen használható, bizonyos funkciókban korlátozott Excel® és Word® alkalmazást tartalmaz. A teljes verzió feloldásához termékkulcs megvásárlása szükséges!				
acer Travelmate P653M-73614G75MN - Most 3 év garanciával!	187527 Ft	15.6"	1366x768	Acer ComfyView WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i7-3612QM (6M Cache, up to 3.10 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	750 GB S-ATA merevlemez 7200rpm!		NVIDIA® GeForce® GT 630M 1GB	n/a	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 7 Professional		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 3.0* 1x USB/eSATA kombó * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó* 1 Express Card* 1 Acer ProDock csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentésAcer Bioprotection ujjlenyomat olvasó	Acer ePower Management Acer eRecovery Management Adobe® Flash® Player 10.1 Adobe® Reader® 9.1 Bing™ Bar eSobi™ Norton™ Online Backup Próbaverzió Windows Live™ Essentials McAfee® Internet Security Próbaverzió MyWinLocker® Acer clear.fi NTI Media Maker™ Acer Games powered by WildTangent® Acer Crystal Eye Acer Video Conference Manager Microsoft® Silverlight™ Skype™ Acer Identity Card Acer Registration Acer Updater Microsoft® Office 2010 Starter előtelepítve* *A Microsoft® Office 2010 Starter szoftver ingyenesen használható, bizonyos funkciókban korlátozott Excel® és Word® alkalmazást tartalmaz. A teljes verzió feloldásához termékkulcs megvásárlása szükséges!				
acer Aspire V3-551G-84508G75Maii - Szürke - Már 2 év garanciával!	110715 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	AMD A8-4500M Quad-core (4MB L2 cache, 1.9 GHz - 2.8 GHz)	8GB DDR3 memória	750GB SATA HDD		AMD Radeon™ HD 7670 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 4752Z-B9504G50MNKK - Fekete - Már 2 év garanciával!	66898 Ft	14"	1366*768	14" 1366*768 (WXGA) pixel felbontás, magas-fényerejű (200-nit) LED-háttérvilágítású TFT LCD	Intel® Pentium® B950 (2M Cache, 2.10 GHz)	4GB DDR3	500GB S-ATA merevelemez		Intel® HD Graphics		2 év	6-cellás akkumulátor	DVD-Super Multi duplarétegű meghajtó	Linux		Acer Crystal Eye webkamera 1280 x 1024 felbontás, továbbfejlesztett Acer PrimaLite technológia™ Acer Video Conference Manager szoftver: Video Quality Enhancement (VQE) technológia, 640 x 480 felbontású online videohívás támogatása Bluetooth®4.0+HS (Bluetooth® 2.1+EDRWLAN:Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ Acer SignalUp™ vezeték nélküli technológia LAN: 10/100 Mbps Fast Ethernet				Multi-in-1 kártyaolvasó 1 USB 3.0 port3 USB 2.0 port Csatlakozó külső kijelzőhöz (VGA) HDMIFejhallgató-/hangszóró-/vonalkimenet-csatlakozó Mikrofon csatlakozó Ethernet (RJ-45) port Hálózati tápegység csatlakozó	MAGYAR nyelvű 84-/85-/88-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés	382 x 253 x 21-23 mm/ 2.35kg 6 cellás akkumulátorral	
acer TravelMate 5760G - 2354G50MN - MOST 3 ÉV GARANCIÁVAL	147652 Ft	15,6"	1366x768	WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)	4GB DDR3 memória, 8GB-ig bővíthető	500 GB S-ATA merevlemez		NVIDIA® GeForce® GT 630M 1GB	360 x 267 x 30.3/43 mm 2.54 kg	3 év + véletlen sérülésre is!	48.8W 6-cellás lítium-ion akkumulátorakár 4 óra akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	* 5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) * 3x USB 2.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 fejhallgató csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-471G-53214G50Madd - Arany - Már 2 év garanciával!	135036 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3210M (3M Cache, 2.5 GHz, HyperThreading, Turbo Boost,)	4GB DDR3 memória	500GB SATA HDD		Nvidia GeForce GT 630M	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Travelmate B113M-23774G32akk - Most 3 év garanciával!	147564 Ft	11.6"	1366x768	Acer ComfyView WXGA nagy fényerejű, tükröződésmentes MATT TFT LCD, 1366x 768 képpont felbontás	Intel® Core™ i3-2377U (3M Cache, 1.5 GHz)	4GB DDR3 memória	320 GB S-ATA merevlemez		Intel® HD Graphics 3000	1.38kg	3 év + véletlen sérülésre is!	4-cellás lítium-ion akkumulátorakár 5 óra akkumulátor üzemidő	------	Windows 7 Professional		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3MpixBluetooth®4.0	* 2-az-egyben kártyaolvasó (SD™, MMC) * 2x USB 2.0* 1x USB 3.0 * 1 HDMI™ csatlakozó ( a dedikált grafikus vezérlővel felszerelt modelleken) * 1 csatlakozó külső kijelzőhöz (VGA) * 1 Gigabit Ethernet (RJ-45) csatlakozó * 1 Mikrofon csatlakozó * 1 Vonalbemenet csatlakozó * 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-531-B824G32MAKK - Fekete - Már 2 év garanciával!	74787 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Celeron® B820 (2M Cache, 1.70 GHz)	4GB DDR3 memória	320GB SATA HDD		Intel®HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-531G-B9704G50Makk - Fekete - Már 2 év garanciával!	77386 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	4GB DDR3 memória	500GB SATA HDD		Nvidia GeForce GT 630M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-571G-32374G50Makk - Fekete - Már 2 év garanciával!	130580 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-2370M (2,4 GHz, HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		NVIDIA GeForce GT 630M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő					
acer Aspire V5-171-2364G50Mass - Ezüst - Már 2 év garanciával!	94582 Ft	11.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-2377M (3M Cache, 1.5GHz , HyperThreading,)	4GB DDR3 memória	500GB SATA HDD		Intel®HD Graphics 3000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+EDR	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-571G-7314G1TMaii - Szürke - Már 2 év garanciával!	164189 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3612QM (6M Cache, 2.3 GHz up to 3.30 GHz)	4GB DDR3 memória	1TB SATA HDD		NVIDIA® GeForce® GT 640M 1GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
