TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	WLAN	Kamera Felb.	USB	VGA ki	Audio	LAN	CR	Kensington	Anyag	Szín	Széles	Magas	Mély	Család	RAM Modul	AC	Hangszóró	Mikrofon	Bill. num	HDMI	USB 3	Technológia	HSDPA	HDD 2	HDD 2 Méret	BT	TB	Egyéb	2.Háttértár fordulatszám	Tárolt energia	Elektromos töltés	3D Technológia	Mini DisplayPort ki	Billentyűzet világítás	Egyéb szín	Micro HDMI ki	Pixelhiba	Tanúsítvány(ok)	DisplayPort ki	Ujjlenyomat olvasó	Leejtés védelem	TPM	Dokkolható	eSATA ki	ExpressCard	FireWire 400 ki	Soros
ACER Aspire One AO725-C6CKK 11,6"/AMD Dual-Core C-60 1,0GHz/4GB/500GB/Linux/Fekete netbook	0 Ft	1366x768	11,6"	LED	Fényes	AMD	C-60	AMD Dual-Core C-60 (1 GHz)	4,0 GB	DDR3-1066	1 db	HDD	500 GB	5400 rpm	AMD Radeon HD 6290	1,20 kg	4	Linux		AMD	802.11 b/g/n	1,30 MP	2 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	285,00 mm	23,50 mm	202,0 mm	Aspire One 725	1 x 4	40 watt	Sztereó	Igen		1 db	1 db	Lítium-ion																										
ACER Aspire One AO756-987BCBB 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Linux/Kék netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Kék	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BCKK 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Linux/Fekete netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BCRR 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Linux/Piros netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Piros	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BCSS 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Linux/Ezüst netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	ezüst	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BXBB 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Win8/Kék netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Windows 8		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Kék	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BXKK 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Win8/Fekete netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Windows 8		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BXRR 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Win8/Piros netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Windows 8		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Piros	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-987BXSS 11,6"/Intel Pentium Dual-Core 987 1,5GHz/4GB/500GB/Win8/Ezüst netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Pentium	Intel Pentium Dual-Core 987 ULV (1,5 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Windows 8		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	ezüst	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
ACER Aspire One AO756-B847CBB 11,6"/Intel Celeron Dual-Core 847 1,1GHz/4GB/500GB/Linux/Kék netbook	0 Ft	1366x768	11,6"	TFT LCD LED háttérvilágítással	Fényes	Intel	Celeron Dual-Core	Intel Celeron Dual-Core ULV 847 (1,1 GHz, 2 MB)	4,0 GB	DDR3-1333	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	1,38 kg	4	Linux		Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Kék	285,00 mm	27,30 mm	202,0 mm	Aspire One 756	1 x 4	40 watt	Sztereó	Igen		1 db		Lítium-ion																										
