TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Dell Vostro 3360 Ci3-3217U 4GB 320GB Linux Ezüst	154173 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 3217U (1,8 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 4000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		332 x 232,5 x 18,6/19,2 mm	3 db			
Dell Inspiron 5720 HD+ Ci3-3110M 4GB 500GB Ezüst	130945 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i3 3110M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000	3,28 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	Mini VGA, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		416,8 x 276 x 31,9/37,37 mm	4 db			
Lenovo IdeaPad S300 59-350185	135039 Ft	13,3 " (1360x768 pixel)	Nem	Intel Core i3 2365M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,8 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Általános		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, HDMI		10/100/1000 Mb/s	2 db				24GB SSD	
HP EliteBook 8470w LY540EA	361575 Ft	14 " (1600x900 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	4096 MB DDR III 1600 MHz	Nem	750 GB 7200 rpm SATA	AMD FirePro M2000	2,25 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire	SD, SDHC, MMC	10/100/1000 Mb/s	1 db	338 x 231,3 x 31,8 mm	2 db			
Dell Vostro 3460 Ci5-3210 4GB 500GB GT630M Linux	177244 Ft	14 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	NVIDIA GeForce GT 630M	2,232 kg	3 év	6 cellás	DVD+-RW DL	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, USB 3.0, HDMI		10/100/1000 Mb/s		345,5 x 244 x 28-30,1 mm	4 db			
Acer Aspire AS5560-63424G50MNKK	104488 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3420M (1,5 GHz, 4 MB cache)	4096 MB DDR III 1066 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6520G	2,6 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	3 db	382x253x33 mm				
Asus K53SD-SX1255D Fekete	113543 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2310M (2,1 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	378 x 253 x 28,3-34,9 mm	1 db			
Lenovo ThinkPad T430s HD+ i7-3520M 4GB 500GB W7P	345827 Ft	14 " (1600x900 pixel)	Nem	Intel Core i7 3520M (2,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,8 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB, USB 3.0	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	350x232x29.9 mm	2 db			
Lenovo Thinkpad Edge E135 NZV4RHV_TS	88110 Ft	11,6 " (1366x768 pixel)	Nem	AMD E Series E-300 (1,3 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6310	1,45 kg	1 év	6 cellás	Nincs	Free DOS	Üzleti		Dolby ® Advanced Audio ™ v2	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s	3 db					
Apple MacBook Pro 17" Ci7 2,4GHz 4GB 750GB	557244 Ft	17 " (1920x1200 pixel)	Nem	Intel Core i7 (2,4 GHz, 6 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	AMD Radeon HD 6770M	2,99 kg	1 év		DVD+-RW DL	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 34mm, Thunderbolt port, USB, FireWire		10/100/1000 Mb/s	3 db	393 x 267 x 25 mm				
