TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Dell Inspiron 17R SE Ci5-3210M 6GB 1TB W7P64	245433 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	6144 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	3,28 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Multimédia		Waves MaxxAudio 4	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, SDXC, MMC, MS	10/100/1000 Mb/s		416,8 x 276 x 37,37 mm	4 db			
Dell Inspiron 7720 BD Ci7-3610QM 6GB 1TB GT650M	214409 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	NVIDIA GeForce GT 650M	3,28 kg	3 év	6 cellás	Blu-Ray olvasó + DVD SuperMulti	Linux	Multimédia	Intel HM77 Express	HD Audio	Igen	Igen	802.11 n, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		417 x 276 x 32 - 37 mm	4 db			
Dell Inspiron N5050 HD B960 2GB 500GB Piros	87244 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,37 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel® HM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	3 db	376 x 260 x 31,5 - 34,5 mm				
Fujitsu Lifebook AH552 Ci3-2350M 4GB 500GB NoOS	137165 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,2 kg	2 év	8 cellás	DVD+-RW DL	OP. rendszer nélkül	Általános	Intel® HM76	Realtek ALC269 VC2 HD	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MS, MS Pro	10/100/1000 Mb/s	3 db	378 x 252 x 25,4 mm				
Asus X54HY-SO155D	107087 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	3072 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100/1000 Mb/s	1 db	378 x 253 x 35,6-37,2 mm	1 db			
Sony Vaio SVE1111M1E 11,6" Fehér	118346 Ft	11,6 " (1366 x 768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 1 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7340	1,5 kg	2 év		Nincs	Windows 7 Home Premium 64 bit	Általános	AMD A68M FCH	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MS Pro	10/100/1000 Mb/s	2 db	290x203x23,5 mm	1 db			
HP ProBook 4540s 15,6" i5-2450 6GB 500GB AMD7650M	156457 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 2450 (2,5 GHz, 3 MB cache)	6144 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7650M	2,33 kg	1 év		DVD+-RW DL	OP. rendszer nélkül	Üzleti	Mobil Intel® HM76 Express	SRS Premium Sound PRO	Igen	Nem	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	375x256x28 mm	2 db			
Acer V3-471G-33114G50MAKK 14" Fekete	132205 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	2,1 kg	2 év	6 cellás	DVD+-RW DL	Linux	Multimédia	Intel HM77	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	342x245x23 mm	1 db			
Dell Inspiron 5520 HD Ci7-3632 8GB 1TB Linux Fehér	173071 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,9 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Asus UX21A-K1009V 11,6"	308976 Ft	11,6 " (1920x1080 pixel)	Nem	Intel Core i7 3517U (1,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	256 GB Nincs rpm SSD	Intel HD Graphics 4000	1,1 kg	2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Intel ® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Micro HDMI, Mini VGA, USB 3.0		10/100 Mb/s		299x196,8x3~17 mm	2 db			
Asus Zenbook UX31A-R5006V 13.3"	252520 Ft	13,3 " (1600x900 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 4000	1,3 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Intel ® HM76 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Micro HDMI, Mini VGA, USB 3.0	SD	10/100 Mb/s		325x223x3~18 mm	2 db			
Lenovo IdeaPad S400 59-350220	140472 Ft	14 " (1366x768 pixel)	Nem	Intel Core i3 2365M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	1,8 kg	2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Általános	Mobile Intel® HM70 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	330 x 230 x 22,4 mm	1 db		24GB SSD	
Acer Aspire One 756-987BCss 11,6" Ezüst	78819 Ft	11,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B987 (1,5 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	1,38 kg	2 év	4 cellás	Nincs	Linux	Netbook	HM70 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI	SD, MMC	10/100 Mb/s	3 db	285x202x27,4 mm				
Dell Latitude E5430 HD Ci3-2350M 4GB 500GB W7P64	173858 Ft	14 " (1366 × 768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,14 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	2 db	350x240x29,90–32,5 mm	2 db			
Dell Inspiron 5520 HD Ci7-3632 6GB 1TB Linux Kék	162756 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	1000 GB 5400 rpm SATA	Intel HD Graphics 4000	2,9 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Lenovo IdeaPad G580GH 59-346892	107008 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2328M (2,2 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	1000 GB 5400 rpm SATA	Intel HD Graphics 3000	2,6 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Mobile Intel® HM76 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100 Mb/s	4 db	376 x 245x 34,3 mm				
HP 655 (B6M64EA) 15,6"	75425 Ft	15,6 " (1366 x 768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 1 MB cache)	2048 MB DDR III 1600 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 7340	2,45 kg	1 év	6 cellás	DVD+-RW DL	Linux	Üzleti	AMD A68M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, MMC	10/100/1000 Mb/s	3 db	376x247x35,8 mm				
HP EliteBook 8570p B5V88AW	298583 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i5 3360M (2,8 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	500 GB 7200 rpm SATA	AMD Radeon HD 7570M	2,61 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, D-Sub, E-SATA, Soros (RS232), FireWire		10/100/1000 Mb/s	2 db	374 x 251 x 34 mm	1 db			
Packard Bell DOT S F3715-C-235HG Fehér/Lila	52441 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	2048 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,2 kg	2 év	6 cellás	Nincs	Linux	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, USB, HDMI		10/100 Mb/s	3 db					
Packard Bell Easynote TS44-SB-454HG Fehér	100157 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A4-3300M (1,9 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 6470M	2,7 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Multimédia	AMD® A70M	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	3 db	372 x 250 x 37.5 mm				
Dell Inspiron 5520 HD Ci5-3210M 4GB 500GB Piros	138898 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Toshiba Satellite C855-113 15,6"	103858 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,3 kg	2 év		DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, SDXC, MMC	10/100 Mb/s	2 db	380,0 x 242,0 x 33,52 mm	1 db			
Dell Inspiron 5520 HD Ci3-2370M 4GB 500GB Narancs	137559 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7670M	2,74 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Lenovo ThinkPad X230 12,5" i7-3520M 4GB 500GB TS	338031 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i7 3520M (2,9 GHz, 4 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics	1,34 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby ® Advanced Audio ® v2	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, Mini Display Port, USB, USB 3.0, ExpressCard 54mm	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	305x206.5x19 - 26.6 mm	2 db			
Dell Latitude E5430 HD+ Ci5-3320M 4GB 500GB W7P	213858 Ft	14 " (1600 × 900 pixel)	Nem	Intel Core i5 3320M (2,6 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	2,14 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, USB, USB 3.0, ExpressCard 54mm, FireWire, HDMI	SD	10/100/1000 Mb/s	1 db	350x240x29,90–32,5 mm	2 db			
Apple MacBook Pro Retina 15" Ci7 8GB 512GB SSD HU	704331 Ft	15,6 " (2880 x 1800 pixel)	Nem	Intel Core i7 (2,6 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	512 GB Nincs rpm SSD	NVIDIA GeForce GT 650M	2,02 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, HDMI	SDXC	Nincs		359x247x18 mm	2 db			
Lenovo ThinkPad X230i 12,5" i3-2370M 4GB 500GB	206772 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i3 2370M (2,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 4000	1,34 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio™ 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Nem	Nem	D-Sub, Mini Display Port, USB, USB 3.0, ExpressCard 54mm	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	1 db	305x206.5x19-26.6 mm	2 db			
Asus K53SD-SX1121D	102677 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	NVIDIA GeForce 610M	2,6 kg	2 év		DVD+-RW DL	Free DOS	Multimédia		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s		378 x 253 x 28,3-34,9 mm				
Toshiba Satellite C850-17W 15,6"	84252 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics	2,3 kg	2 év		DVD+-RW DL	OP. rendszer nélkül	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, USB 3.0, HDMI	SD, SDHC, SDXC	10/100 Mb/s	2 db	380x242x33 mm	1 db			
Lenovo ThinkPad T530 15,6" HD+ i5-3210M 4GB 500GB	228583 Ft	15,6 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	2,5 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti		Dolby® Advanced Audio® 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, ExpressCard 34mm, Mini Display Port, USB	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	3 db	245.1x372.8x31.8-35.6 mm				
Acer Aspire 5560-63424G50MN Kék	99843 Ft	15,6 " (1366x768 pixel)	Nem	AMD A Series A6-3420 (1,5 GHz, 4 MB cache)	16384 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	AMD Radeon HD 7480M	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db		1 db			
Dell Vostro 3360 Ci3-2367 4GB 320GB Bronz	152362 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i3 2367M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	1,67 kg	3 év	4 cellás	Nincs	Linux	Üzleti	Intel® Mobile HM77 Panther Point Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		332 x 232,5 x 18,6/19,2 mm	3 db			
Packard Bell Easynote TS-F4211-HR-256HG	72213 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,20 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics	2,6 kg	2 év		DVD+-RW DL	Linux	Általános	Mobile Intel® HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	D-Sub, USB, HDMI	SD, SDHC	10/100 Mb/s	3 db					
Dell Inspiron 5720 HD+ Ci5-3210M 4GB 750GB GT630	157244 Ft	17,3 " (1600x900 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 630M	3,28 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100 Mb/s		416,8 x 276 x 31,9/37,37 mm	4 db			
Dell Inspiron 5520 HD Ci7-3632 6GB 750GB Linux	157244 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i7 3632QM (2,2 GHz, 6 MB cache)	6144 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics 4000	2,9 kg	3 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB 3.0, HDMI	SD, SDHC, XD, SDXC, MMC, MS, MS Pro	10/100/1000 Mb/s		378 x 252 x 30-34 mm	4 db			
Asus G75VW-T1291V	391339 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i7 3610QM (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GTX 660M	4,5 kg	2 év	8 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Gamer	Intel® HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Mini VGA, Mini Display Port, USB 3.0, HDMI	SD, MMC, MS	10/100/1000 Mb/s		415x320x17-52 mm	4 db		160Gb SSD	
Samsung NP300E5Z-S08HU 15,6"	96220 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Pentium Dual Core B950 (2,1 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	750 GB 5400 rpm SATA	NVIDIA GeForce GT 520MX	2,34 kg	2 év	6 cellás	DVD+-RW DL	Free DOS	Általános	Intel® HM65 Express	HD Audo	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	3 db	367,9 x 243 x 27,6 ~ 33,2 mm				
Apple MacBook Pro Retina 15" Ci7 8GB 256GB SSD EN	553465 Ft	15,6 " (2880 x 1800 pixel)	Nem	Intel Core i7 (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	256 GB Nincs rpm SSD	NVIDIA GeForce GT 650M	2,02 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, HDMI	SDXC	Nincs		359x247x18 mm	2 db			
HP ProBook 4540s 15,6" B6M08EA	172520 Ft	15,6 " (1366 x 768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	AMD Radeon HD 7650M	2,33 kg	1 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Üzleti	Mobil Intel® HM76 Express	SRS Premium Sound PRO	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI		10/100/1000 Mb/s	2 db	375x256x28 mm	2 db			
Asus Eee PC R051BX-BLK026S Fekete	55008 Ft	10,1 " (1024x600 pixel)	Nem	AMD C Series C-50 (1 GHz, 1 MB cache)	1024 MB DDR III MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6250	1,29 kg	2 év	3 cellás	Nincs	Windows 7 Starter Edition	Netbook		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI	SD, SDHC, MMC	10/100 Mb/s	2 db	262 x 178 x 23.6 ~36.4 mm				
Asus G55VW-S1142V	286299 Ft	15,6 " (1920x1080 pixel)	Nem	Intel Core i5 3210M (2,5 GHz, 3 MB cache)	8192 MB DDR III 1600 MHz	Nem	750 GB 7200 rpm SSD	NVIDIA GeForce GTX 660M	3,8 kg	2 év	8 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Gamer	Intel® HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Mini VGA, Mini Display Port, USB 3.0, HDMI	SD, MMC, MS	10/100/1000 Mb/s		384x299x20~51 mm	4 db			
Acer Aspire M3-581TG-32364G34MNkk 15,6" Fekete	156614 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2367M (1,4 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel HD Graphics 3000	2,16 kg	3 év	3 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Ultrabook	Mobile Intel® HM77	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, USB 3.0, HDMI	SD, MMC	10/100/1000 Mb/s	2 db	376.4 x 253 x 19.7/20.7 mm	1 db			
Asus B53E-SO262X	172283 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 2350M (2,3 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 3000	2,69 kg	3 év	6 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Üzleti	Intel ® HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Display Port, E-SATA, USB, USB 3.0, HDMI	SD, SDHC, XD, MMC, MS, MS Pro	10/100/1000 Mb/s	2 db	384 x 263 x 33-35 mm	1 db			
Apple MacBook Pro Retina 15" Ci7 8GB 256GB SSD HU	551575 Ft	15,6 " (2880 x 1800 pixel)	Nem	Intel Core i7 (2,3 GHz, 6 MB cache)	8192 MB DDR III 1600 MHz	Nem	256 GB Nincs rpm SSD	NVIDIA GeForce GT 650M	2,02 kg	1 év		Nincs	Mac OS X 10.7 Lion	Üzleti		HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, Thunderbolt port, USB 3.0, HDMI	SDXC	Nincs		359x247x18 mm	2 db			
Fujitsu Lifebook UH572 Ci5-3317U 4GB 128GB 3G W7P	232205 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III MHz	Nem	128 GB Nincs rpm SSD	Intel HD Graphics 4000	1,57 kg	2 év	4 cellás	Nincs	Windows 7 Professional 64 bit	Ultrabook	Intel® HM76	Realtek ALC269Q-VB6 (HD audio)	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Igen	USB, USB 3.0, HDMI	SD, SDHC, SDXC, MS, MS Pro	Nincs	1 db	323 x 234 x 18,0 mm	2 db			
Samsung NP530U3C-A01HU Barna	163622 Ft	13,3 " (1366x768 pixel)	Nem	Intel Core i5 3317U (1,7 GHz, 3 MB cache)	4096 MB DDR III 1600 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics 4000		2 év	4 cellás	Nincs	Windows 7 Home Premium 64 bit	Ultrabook	Intel HM76	HD Audio	Nem	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, SDXC, MMC	10/100/1000 Mb/s	2 db		1 db			
