TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
ASUS EEE PC 1015BX-BLK208S Fekete	62598 Ft	10,1" WSVGA LED matt TFT (1024 x 600)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)		320GB SATA 5400rpm	AMD Radeon™ HD 6250	1,17 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	AMD A50M (Hudson M1) Fusion™	HD Audio, 2 speakers	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23,6 - 36,4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC 1015BX-WHI151S Fehér Netbook	62598 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	1GB DDR3 1066MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6290	1.27 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23.6 ~ 36.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC X101-RED003S Piros Netbook	62913 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ N455 (1,66 GHz, 512 kB)		32GB SSD memórialemez	Intel® Graphics Media Accelerator 3150	0.92 Kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	van	magyar	USB 2.0 (2db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, micro SD/SDHC kártyahely	262 x 180 x 17.6 mm	nincs raktáron				
ASUS EEE PC R11CX-BRN003S Barna Netbook	61024 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AO725-C6Cbb NU.SGQEU.008 Kék Netbook	62913 Ft	11,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	4GB DDR3 1066MHz	500GB SATA 5400rpm	AMD Radeon™ HD 6290	1.20 kg		4 cellás (37WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	285 x 202 x 23.5 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AO725-C6Ckk NU.SGPEU.010 Netbook	62913 Ft	11,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	4GB DDR3 1066MHz	500GB SATA 5400rpm	AMD Radeon™ HD 6290	1.20 kg		4 cellás (37WHr) lithium-ion	opcionális külső író (nem tartozék)		AMD® A68M Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	285 x 202 x 23.5 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AOD270-26DKK NU.SGAEU.002 Netbook	63701 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)		320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AOD270-26DWS NU.SGEEU.001 Netbook	63701 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)		320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
DELL Inspiron Mini INSP1018-22 Netbook	64173 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ N455 (1,66 GHz, 512 kB)	1GB DDR3 1333MHz	250GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1,37 kg	2 év	3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Dell Audio, 2 speakers	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11b/g (WiFi), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	268 x 197 x 25 - 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC R11CX-BLK003S Fekete Netbook	65748 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
