TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
Toshiba Satellite L755D-14L Notebook	144488 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Llano A6-3420M Quad-Core (4M Cache, 1.5 - 2.4 GHz)		640GB SATA 5400rpm	AMD Radeon™ HD 6540G2 1GB	380,0 x 250,0 x 27,7 / 37,5 mm	nincs raktáron	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	AMD® A70M Fusion™	Dolby® Advanced Audio™	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v3.0 + HS	beépített webkamera 1.3Mpixel, Univerzális kártyaolvasó						
Acer V5-471-32364G50Mabb NX.M1BEU.002 Kék	141654 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2367M (3 MB Cache, 1.40 GHz)		500GB SATA 5400rpm	Intel® HD Graphics 3000	342 x 245 x 20 - 23 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás lítiumion (Li-Ion)	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Dolby® Advanced Audio™ v2	magyar	USB 2.0 (2db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS, kombinált LAN/VGA csatlakozó	Multi az 1-ben kártyaolvasó, beépített HD webkamera						
Dell Latitude E5420 L035420101E_SPL Notebook	141654 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2,04 kg	3 év helyszíni garancia	6cellás (60WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar, LED háttérvilágítású	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (4db), Express card kártyahely, Docking port ( dokkolható ), HDMI csatlakozó, kombinált eSATA/USB 2.0, Wireless LAN 802.11 a/b/g/n (WiFi), Bluetooth v3.0 + HS	SD/SDHC kártyahely, beépített HD webkamera	350 x 240 x 29,9 - 32,5 mm	nincs raktáron		ujjlenyomat olvasó		
Fujitsu Lifebook P701 LKN:P701XM0003HU kiállított	0 Ft	12,1" WXGA LED matt TFT 16:9 (1280x800)	Intel® Core™ i3-2310M (3M Cache, 2.10 GHz)			Intel® HD Graphics integrált VGA vezérlő	1.56 kg		6cellás (67WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® HM65 Express /Sandy Bridge	Realtek ALC269 HD, Sztereó	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), Express card kártyahely, Docking port ( dokkolható ), Wireless LAN 802.11 a/b/g/n (WiFi), DisplayPort, Bluetooth v3.0 + HS	SD/SDHC kártyahely, beépített webkamera 1.3Mpixel, Smart kártya olvasó	283 x 215 x 26 - 33 mm	következő munkanapon			Beépített 3G/HSDPA modem 44450Ft	
Acer TM5760G-52454G50Mnsk NX.V6KEU.002 Notebook	141654 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	2.54 kg	3 év el- és visszaszállításos (Pick Up and Return)	6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi)	beépített webkamera 1.3Mpixel, Multi az 1-ben kártyaolvasó	377 x 253 x 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)		ujjlenyomat olvasó		
HP ProBook 4540s B0Y54EA Notebook	141654 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		320GB SATA 7200rpm	Intel® HD Graphics integrált VGA vezérlő	2.33 kg	3 év	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	37,5 x 25,6 x 2,8 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
HP Pavilion g6-2032sh B4H58EA Notebook	141654 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		750GB SATA 5400rpm	AMD Radeon™ HD 7670M 2GB GDDR3	37,6 x 24,4 x 3,63 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6 cellás lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, Bluetooth, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	beépített 0,3Mpixel webkamera, médiakártya-olvasó						
ASUS U36SG-RX008D Notebook	0 Ft	13,3" WXGA fényes HD LED (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® 610M 1GB DDR3	1.66 kg		8cellás (83WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® HM65 Express /Sandy Bridge	Beépített sztereó hangszórók	magyar	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	32.8 x 23.8 x 1.9 cm	következő munkanapon				
Dell Inspiron 17R DI5720N-2370M-4GH50D6MS Notebook	142913 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 1GB DDR3	3,28 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	2.1 hangszórók, Waves MaxxAudio® 3	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Fujitsu Lifebook AH552 VFY:AH552MF025HU Slimbook	146063 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)		500GB SATA 7200rpm	Intel® HD Graphics 3000	2.2 kg	2 év	8 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Beépített sztereó hangszórók	magyar, csepálló	Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 25.4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Lenovo IdeaPad Z575Am 59-326342 Notebook	144016 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Llano A8-3520M Quad-Core (4M Cache, 1.6 - 2.5 GHz)		500GB SATA 5400rpm	AMD Radeon™ HD 6650M 1GB DDR3 VRAM	2.6 kg	2 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		AMD® A70M Fusion™	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Bluetooth v2.1 + EDR, Wireless LAN 802.11 b/g/n (WiFi), kombinált eSATA/USB 2.0	5 az 1-ben kártyaolvasó, beépített webkamera 2.0 Mpixel	376 x 250 x 20 - 35.5 mm	nincs raktáron				
Dell Inspiron 17R 5720 146168 Notebook	144016 Ft	17,3" HD+ LED fényes TFT 16:9 (1600 x 900)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 5400rpm	Intel® HD Graphics 4000	3,28 kg	3 év	6cellás (48WHr) lithium-ion	8x DVD író (+/-RW Dual Layer)		Mobile Intel® HM77 Express Chipset	2.1 hangszórók, Waves MaxxAudio® 3	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	416,8 x 276 x 31,9 - 37,37 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 144239 Ezüst Notebook	144016 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 144233 Piros Notebook	144016 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	nincs raktáron				
Dell Inspiron 15R 5520 144220 Kék Notebook	144016 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 144240 Fehér Notebook	144016 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 INSP5520-1 Ezüst Notebook	148425 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 INSP5520-2 Kék Notebook	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 INSP5520-3 Piros Notebook	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 INSP5520-4 Pink Notebook	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	nincs raktáron				
Dell Inspiron 15R 5520 INSP5520-5 Narancs Notebook	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Dell Inspiron 15R 5520 INSP5520-6 Fehér Notebook	148740 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		1TB SATA 5400rpm	AMD Radeon™ HD 7670M 1GB GDDR3	2,74 kg	3 év helyszíni garancia	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM77 Express Chipset	Beépített sztereó hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS, USB 3.0 (4db)	8 az 1-ben kártyaolvasó, beépített HD webkamera	378 x 252 x 30,03 - 34,1 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-551G-84508G75Maii NX.M0GEU.003 Szürke	137717 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Trinity A8-4500M Quad-Core (1.9 - 2.8 GHz, 4 MB)	8GB DDR3 1333MHz	750GB SATA 5400rpm	AMD Radeon™ HD 7670M 2GB GDDR3	2.4 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		AMD® A70M Fusion™	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	378 x 259 x 24.8 - 29.7 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-551G-84508G75Makk NX.M0FEU.006 Fekete	137717 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® Trinity A8-4500M Quad-Core (1.9 - 2.8 GHz, 4 MB)	8GB DDR3 1333MHz	750GB SATA 5400rpm	AMD Radeon™ HD 7670M 2GB GDDR3	2.4 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)		AMD® A70M Fusion™	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	378 x 259 x 24.8 - 29.7 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer V3-571G-33114G50Maii NX.RZMEU.010 Notebook	145276 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-3110M (3M Cache, 2.40 GHz)		500GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	2,60 kg		6cellás 4400 mAh (Lithium-ion)	DVD író / olvasó (supermulti)	Windows® 8	Mobile Intel® HM77 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	Multi az 1-ben kártyaolvasó, beépített HD webkamera	382,0 - 253,0 - 33,2 mm	nincs raktáron				
Fujitsu Lifebook AH532 VFY:AH532MPAA2HU Notebook	146063 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		500GB SATA 7200rpm	NVIDIA® GeForce® GT 620M 1GB DDR3	378 x 252 x 34.2 mm	nincs raktáron	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM76 Express Chipset	Realtek ALC269 VC2 HD, Sztereó, DTS Boost™	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), Express card kártyahely, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	2 év					
HP ProBook 4540s B7A50EA Notebook	147165 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		500GB SATA 7200rpm	Intel® HD Graphics integrált VGA vezérlő	2.33 kg	3 év	6cellás (47WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	SRS Premium Surround Sound	magyar teljes méretű, numerikus billentyűkkel	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített HD webkamera, médiakártya-olvasó	37,5 x 25,6 x 2,8 cm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Samsung Series 3 NP300E5C-S02HU Ezüst Notebook	147953 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® 610M 1GB DDR3	367,9 x 243 x 27,1 ~ 33 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM70 Express Chipset	Beépített sztereó hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített webkamera 1.3Mpixel	2 év					
Fujitsu Lifebook LH532 LKN:LH532M0002HU Notebook	149528 Ft	14" HD LED matt TFT 16:9 (1366 x 768)	Intel® Core™ i3-2370M (3M Cache, 2.40 GHz)		320GB SATA 5400rpm	NVIDIA® GeForce® GT 620M 2GB DDR3	2 kg	2 év	6cellás (48WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Realtek ALC269 VC2 HD, Sztereó, DTS Boost™	magyar, csepálló	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (3db), Bluetooth v4.0 + HS	4 az 1-ben kártyaolvasó, beépített HD webkamera	335 x 240 x 33.5 mm	nincs raktáron				
Lenovo IdeaPad S400 59-350220 Ezüst Sleekbook	148740 Ft	14" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2365M (3M Cache, 1.40 GHz)	4GB DDR3 1333MHz	500GB SATA 5400rpm + 24GB ExpressCache™	Intel® HD Graphics 3000	336.6 x 241.2 x 21.0 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)	4 cellás lítiumion (Li-Ion)	opcionális külső író (nem tartozék)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Mobile Intel® HM77 Express Chipset	Dolby® Advanced Audio™ v2	magyar	USB 2.0 (2db), Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS	2 az 1-ben kártyaolvasó, beépített HD webkamera	2 év					
ASUS N53SM-SX082V Notebook 8GB	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i3-2350M (3M Cache, 2.30 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	39.1 x 26.6 x 3.05 ~ 4.05 cm	következő munkanapon	6cellás (56WHr) lithium-ion	DVD író / olvasó (supermulti)	Windows7 Home Premium magyar 64bitFrissíthető Windows 8 Pro rendszerre 4.500,- forintért.*	Intel® HM65 Express /Sandy Bridge	Bang & Olufsen ICEpower®	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v3.0 + HS	3 az 1-ben kártyaolvasó (SD,MMC, MS), beépített HD webkamera						
ASUS K55VD-SX022D Barna Notebook	149528 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		750GB SATA 5400rpm	NVIDIA® GeForce® 610M 2GB DDR3	2.52 kg		6cellás (50WHr) lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Altec Lansing® hangszórók	magyar teljes méretű, numerikus billentyűkkel	VGA monitor kimenet, Gigabit LAN (10/100/1000), USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	25.1 x 37.8 x 2.55 ~ 3.19 cm	nincs raktáron				
HP Pavilion g6-2007sh B4H56EA Notebook	149528 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-2450M (3M Cache, 2.50 GHz)	8GB DDR3 1333MHz	1TB SATA 5400rpm	AMD Radeon™ HD 7670M 2GB GDDR3	2,48 kg		6 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Altec Lansing® hangszórók	magyar	10/100mbps LAN, VGA monitor kimenet, Bluetooth, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db)	beépített 0,3Mpixel webkamera, médiakártya-olvasó	37,6 x 24,4 x 3,63 cm	következő munkanapon				
Lenovo IdeaPad Z580A 59-348019 Notebook	0 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Core™ i5-3210M (3M Cache, 2.50 - 3.10 GHz)		1TB SATA 5400rpm	NVIDIA® GeForce® GT 630M 2GB DDR3	2,65 kg	2 év	6 cellás lithium-ion	DVD író / olvasó (supermulti)		Mobile Intel® HM76 Express Chipset	Dolby® Home Theater® v4 hangrendszer	magyar teljes méretű, numerikus billentyűkkel	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v3.0 + HS	5 az 1-ben kártyaolvasó, beépített HD webkamera	376 x 250 x 32.9 mm	következő munkanapon				
