TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
LENOVO IdeaPad G575 59-345827	78661 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-300 Dual-Core (1.3Ghz, 1MB L2)	2GB DDR3/1066 MHz	320GB 5400RPM SATA	AMD Radeon™ HD6310	2.6Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	AMD A50M (Hudson M1) Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nem	Nincs	Nem	HD Audio	Van	Nincs	Nincs	Nincs	0,3MPixel - 640x480 felbontással	Nem	Nincs	Nincs	Nem	2db USB 2.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
Packard Bell EasyNote F5211-HC-232HG	78661 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B820 (2M Cache, 1.70 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2-33,2 mm	
Packard Bell EasyNote TV43-HC-461HG	83386 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® Processor B970 (2M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
Packard Bell EasyNote F4085-GN-357HG	81023 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processzor P6200 (3M Cache, 2.13 GHz)	2GB DDR3/1066 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6370 512MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nem	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	2in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
Packard Bell EasyNote F4244-HR-252HG	81023 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0 - 1db USB 3.0	Nem	376 x 262 x 31,8 mm	
Acer Aspire 7250-4504G50Mnkk	94409 Ft	17.3" WXGA HD-LED GlareType 1600x900 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1066 MHz	500GB 5400RPM SATA	AMD Radeon™ HD 7480	3.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD A50M (Hudson M1) Fusion™	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Acer Crystal Eye Webkamera	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	414.75 x 275 x 34.6 mm	
LENOVO IdeaPad G575GL 59-324665	86535 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	ATi Mobility Radeon® HD6320	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A50M (Hudson M1) Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Nincs	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nincs	4db USB 2.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
ASUS X55U-SX007V	82598 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD6290	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	AMD A68M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 26,2-31,9 mm	
Acer Aspire E1-531-B9604G50MNKS	82598 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® Processor B960 (2M Cache, 2.20 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM70 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	381 x 254 x 33 mm	
Packard Bell EasyNote F4211-HR-453HG	82598 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
