TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
Fujitsu Lifebook UH552 MPZE5HU	165275 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.57kg	24 hónap	2840 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	323 x 234 x 18 mm	
DELL Inspiron N5520 146160 Ivy White	157401 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
Fujitsu Lifebook UH552 MPZB5HU	165275 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-3217U Processor (3M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	128GB Solid State Drive (SSD)	Intel® GMA HD 4000	1.57kg	24 hónap	2840 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM76 Express	Nincs	Wireless 802.11b/g/n	Bluetooth 4.0	Sierra Wireless Gobi 3000 (Downlink speed 14.4 Mbit/s, Uplink speed 5.76 Mbit/s)	Nem	DTS Boost™ - Nagy felbontású hangszolgáltatás támogatása	Nincs	Van	Nincs	Nincs	HD webcam	4in1 Card reader	Nincs	Nincs	Nem	2db USB 3.0, 1db USB 2.0	Nem	323 x 234 x 18 mm	
LENOVO IdeaPad Z580 White 59-348042	165275 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	8GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.0MP 720p HD Webkamera	5in1 Card reader	Nincs	Nincs	Van	2db USB 2.0 - 2db USB 3.0	Nem	376 x 250 x 32,9mm	
DELL Inspiron N5520 146157 Moon Silver	157401 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
DELL Inspiron N5520 146158 Fire Red	157401 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
LENOVO IdeaPad Z585A 59-348852	157401 Ft	15.6" WXGA HD GlareType 1366x768 pixel	AMD® Llano A8-4500M (4M Cache, 1.9 - 2.8 GHz)	4GB DDR3/1333 MHz	1000GB 5400RPM SATA	AMD Radeon™ HD 7670M / 2048MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A70M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.0MP 720p HD Webkamera	5in1 Card reader	Nincs	Nincs	Van	2db USB 2.0 - 2db USB 3.0	Nem	376 x 250 x 32,9mm	
ACER V3-471 52454G75MA	159763 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.3kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Mobile Intel® HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	HD-minőségű webkamera	5in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	342 x 245 x 27.2/33.4 mm	
LENOVO ThinkPad Edge E430 NZNCHHV	162126 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2.15kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 3db USB 3.0	Nincs	339.4 x 234 x 27.4-32.8mm	
LENOVO IdeaPad Z580 59-335981	173149 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.0MP 720p HD Webkamera	5in1 Card reader	Nincs	Nincs	Van	2db USB 2.0 - 2db USB 3.0	Nem	376 x 250 x 32,9mm	
DELL Inspiron N5520 146164 Peacock Blue	163700 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	1000GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
DELL Inspiron N5520 146163 Fire Red	163700 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	1000GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
DELL Inspiron N5520 146165 Ivy White	163700 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	6GB DDR3/1600 MHz	1000GB 5400RPM SATA	Intel® GMA HD 4000	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
Sony Vaio VPCCA4S1E/D Orange	165275 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	640GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	2.45kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	Van	Van	Nincs	Nincs	1,31 megapixel, Valós pixelszám:1280 x 1024	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0 - 1db USB 3.0	Nem	341 x 235,2 x 27,9mm	
LENOVO ThinkPad Edge E530 NZQAJHV	165275 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.45kg	12 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio, Conexant 20671 codec	Van	Van	Nincs	Van	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 3db USB 3.0	Nincs	377.0 x 245.0 x 29.5-35.3 mm	
DELL Vostro 3460 141994 Bronz	173149 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	NVIDIA® GeForce® GT 630M 1024MB	2.3kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	3db USB 3.0	Backlit keyboard	345,5 x 244 x 28/30,1 mm	
Sony Vaio VPCCA4S1E/G Green	165275 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	640GB 5400RPM SATA	AMD Radeon™ HD6470 512MB	2.45kg	24 hónap helyszíni garancia	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	Belső sztereó hangfalak, Dolby kodek: Dolby® Home Theater® v4	Van	Van	Nincs	Nincs	1,31 megapixel, Valós pixelszám:1280 x 1024	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0 - 1db USB 3.0	Nem	341 x 235,2 x 27,9mm	
Dell Latitude E5430 146906	166535 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.04kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobil Intel® HM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Backlit keyboard	350 x 240 x 29.9-32.5 cm	
DELL Vostro 3360 141986 Red	173149 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
DELL Vostro 3360 141985 Bronz	173149 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3317U Processor (3M Cache, up to 2.60 GHz)	4GB DDR3/1600 MHz	320GB 7200RPM SATA	Intel® GMA HD 4000	1.67kg	36 hónap helyszíni garancia	49WHr (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nem	3db USB 3.0	Nem	332 x 232,5 x 18,6/19,2 mm	
LENOVO ThinkPad Edge E330 NZS3RHV	169212 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2370M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® G610 / 1GB RAM	1.8kg	12 hónap	5700 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Windows 7 Professional 64Bit	Intel® Mobile HM77 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	http://www.youtube.com/watch?feature=player_embedded&v=XHc0JIhDAJA	HD Audio, Realtek ALC269 codec	Van	Van	Nincs	Nincs	HD720p webkamera	4in1 Card reader	Nincs	Nincs	Nem	1db USB 2.0 - 2db USB 3.0	Nincs	322 x 228 x 20-27.8mm	
SAMSUNG NP530U3C-A01HU	169685 Ft	13.3" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2377M Processor (3M Cache, 1.50 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA + 24GB ExpressCache	Intel® GMA HD 3000	1.52kg	24 hónap	45,3WHr (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 7 Home Premium 64Bit	Mobile Intel® HM77 Express	Gigabit LAN	Intel® Centrino® Advanced-N 6235, 2 x 2 802.11abg/n (up to 300 Mbps), Widi Support	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	1,3 megapixel HD	4in1 Card reader	Nincs	Nincs	Nincs	2db USB 3.0 - 1db USB 2.0	ExpressCache 16GB	315.1 x 218.9 x 14.9-17.6 mm	
FUJITSU Lifebook AH552 MF025HU Red	169212 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2.2 kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Realtek ALC269 VC2 HD	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0, 1 db USB 3.0	Nincs	378 x 252 x 25,4 mm	
FUJITSU Lifebook AH552 MF055HU	169212 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2.2 kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® HM76	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Realtek ALC269 VC2 HD	Van	Van	Nincs	Nincs	HD type (30fps@720p)	4in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0, 1 db USB 3.0	Nincs	378 x 252 x 25,4 mm	
HP ProBook 6475b B5U26AW	172362 Ft	14.1" WXGA HD-LED AntiGlare (matt kielző) 1366x768 pixel	AMD® Trinity A6-4400M (1M Cache, 2.7 - 3.2 GHz)	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7520G	2.03kg	36 hónap	4800 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	AMD A70M	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Sound	Van	Nincs	Van	Van	720p HD webkamera	SD/MMC Slot	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	338 x 231.3 x 34 mm	
Dell Latitude E5530 146909	172362 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1333 MHz	500GB 7200RPM SATA	Intel® GMA HD 4000	2.5kg	36 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobil Intel® HM77 Express	Gigabit LAN	Intel® Centrino® 6205 802.11 a/b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Van	Van	Nincs	Van	2.0MPixel HD	4in1 Card reader	Van	Van	Van	1db USB 2.0 - 2db USB 3.0	Backlit keyboard	388 x 251 x 30.2-33.2 cm	
Acer M3-581TG-32364G52Mnkk	188110 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i3-2367M Processor (3M Cache, 1.40 GHz)	4GB DDR3/1066 MHz	20GB SSD+500GB 5400RPM SATA	NVIDIA® GeForce® GT 640M 1024MB	2.25 kg	36 hónap	3260 mAh (Lithium Polymer)	8x DVD+-RW SM	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	HD Audio	Nincs	Van	Nincs	Nincs	1.3MP HD CrystalEye Webkamera	2in1 Card reader	Nincs	Nincs	Nincs	2db USB 2.0 - 1db USB 3.0	Nem	376.4 x 253 x 19.7 / 20.7 mm	
LENOVO IdeaPad Z580 59-354121	173149 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	1000GB 5400RPM SATA	NVIDIA® GeForce® GT 635M 2048MB	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 8	Intel® HM76 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	1.0MP 720p HD Webkamera	5in1 Card reader	Nincs	Nincs	Van	2db USB 2.0 - 2db USB 3.0	Nem	376 x 250 x 32,9mm	
DELL Inspiron N5520 146052 Peacock Blue	173149 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	8GB DDR3/1600 MHz	1000GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
DELL Inspiron N5520 146050 Moon Silver	173149 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3632QM Processor (6M Cache, up to 3.20 GHz)	8GB DDR3/1600 MHz	1000GB 5400RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.74kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	10/100mbps LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Sztereó hangszóró Waves MaxxAudio® 3 feldolgozási technológiával	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Cserélhető fedlap	347 x 240 x 30,03 / 34,1	
HP ProBook 4530s B0X69EA	181094 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	8GB DDR3/1333 MHz	750GB 5400RPM SATA	AMD Radeon™ HD6490 1024MB	2.4kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	720p HD webkamera	SD/MMC Slot	Van	Nincs	Nincs	4db USB 2.0	Nem	375 x 256.2 x 28.7 mm	
DELL Vostro 3560 142225 Red	200708 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i5-3210M Processor (3M Cache, up to 3.10 GHz	4GB DDR3/1600 MHz	500GB 7200RPM SATA	AMD Radeon™ HD 7670M / 1024MB	2.57kg	36 hónap helyszíni garancia	48WHr (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® Mobile HM77 Panther Point Express	Gigabit LAN	Dell Wireless 1704 802.11n	Bluetooth 4.0	Van	Nem	HD Audio	Van	Van	Nincs	Van	Beépített HD (720p) kamera tömbmikrofonokkal és Waves MaxxVoice Pro technológiával	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Backlit Keyboard	375 x 259 x 28,8/32,5 mm	
DELL Inspiron 7520 146188	177086 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i7-3612QM Processor (6M Cache, up to 3.10 GHz) BGA	6GB DDR3/1600 MHz	1000GB 5400RPM SATA	AMD Radeon™ HD 7730M 2048MB	2.766kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Mobile Intel® 7 Series Express chipkészlet (HM77)	Gigabit LAN	Intel® Centrino® Wireless-N 2230	Bluetooth 4.0	Nincs	Nem	Waves MaxxAudio 4.0 stúdióminőségű hangzás csomag + Skullcandy hangszórók	Van	Van	Nincs	Nincs	Natív HD 1,0 megapixel felbontású webkamera digitális mikrofonnal	8in1 Card reader	Nincs	Nincs	Nincs	4db USB 3.0	Nem	378 x 252 x 30,3-34,1 mm	
TOSHIBA Satellite Pro R850-12R	177874 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2410M Processzor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	AMD Radeon™ HD6450 1024MB	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	http://www.youtube.com/watch?v=NRUDNOWkFfY&feature=player_embedded	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	beépített VGA-felbontású webkamera beépített mikrofonnal	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 256 MB-os Memory Stick®, 16 GB-os Memory Stick Pro™, 2 GB-os MultiMedia Card™ és 2 GB-os xD-Picture Card™ kártyákhoz)	Nincs	Nincs	Van	2db USB 2.0 - 1db USB 3.0	Nem	379,0 x 252,0 x 20,8-25,4 mm	
ASUS B53E-SO262X	181023 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Core™ i3-2350M Processor (3M Cache, 2.30 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® GMA HD 3000	2.69Kg	36 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Professional 64Bit	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nem	http://www.youtube.com/watch?v=KtTpfs5H5-c&feature=player_embedded	Altec Lansing® hangszórók	Van	Van	Van	Van	2.0MPixel HD	5in1 Card reader	Van	Nincs	Van	2db USB 2.0 - 1db USB 3.0	Ajándék hordtáska	384 x 263 x 33-35 mm	
ASUS N53SM-SX068V	196771 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i5-2450M Processor (3M Cache, up to 3.1 GHz)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	NVIDIA® GeForce® GT 630M 2048MB	2.7kg	24 hónap	5200 mAh (Lithium-ion)	8x DVD+-RW DL drive	Windows 7 Home Premium 64Bit	Intel® HM55 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nem	http://www.youtube.com/watch?v=LOeKbVP9O2Y&feature=player_embedded	HD Audio	Van	Van	Nincs	Nincs	0.3 megapixeles kamera	3in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0 - 1db USB 3.0	ASUS notebook hotdtáska; ASUS optikai egér	391 x 266 x 30.5/40.5 mm	
