TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Acer TravelMate 5760-32324G50MNSK	136055 Ft	15,6 "	1366x768 WXGA HD	LED		Intel	Core i3	2328M 2,2GHz		4 GB		8GB-ig bővíthető	500 GB	HDD	S-ATA merevlemez	nVidia	GeForce® GT 630M 1GB	Dedikált, saját memóriával		2.88 kg	3 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48.8W 6-cellás lítium-ion akkumulátor akár 4 órás akkumulátor üzemidő	DVD író	Intel HM65 Chipset	Üzleti, Játék/3D grafika	Notebook / Laptop	Új	Ezüst hátlap	Nem	Magyar	# 88-/89 gombos Acer FineTouch™ billentyűzet 5 fokos hajlítással, fordított "T" kurzorelrendezés, 2,5 mm billentyűleütési út # 12 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok; beágyazott numerikus billentyűzet; nemzetközi nyelv támogatás # Empowering Gomb # Gyorsindító gombok: Internet, email, egy a felhasználó által programozható gomb # Speciális gombok: Presentation, Sync # Két, az előlapról elérhető gomb		HD audio támogatás Két beépített Acer 3DSonic sztereo hangszóró Acer PureZone technológia két beépített sztereo mikrofonnal; irányított hang, továbbá visszhangmentesítő és zajcsökkentő technológiák MS-Sound kompatibilis Beépített mikrofon 1 Fejhallgató-/hangszóró-/vonalkimenet csatlakozó 1 Mikrofon csatlakozó	HDMI, VGA, Dokkolócsatlakozó, Memóriakártya olvasó, Ujjlenyomat olvasó, Webkamera	3USB 2.0, HDMI, 1 csatlakozó külső kijelzőhöz (VGA)	5-az-egyben kártyaolvasó (SD™, MMC, MS, MS PRO, xD)Acer EasyPort IV csatlakozó	1.3 megapixel HD Webkamera Acer Ujjlenyomat olvasó	WLAN, Modem	Acer Nplify™802.11b/g/n (WiFi 2x2 BGN)Gigabit Ethernet1 Modem (RJ-11) csatlakozó	Külön vásárolható	Linux	360 x 267 x 30.3/43 mm		Magyar			DVD-SuperMulti duplarétegű író			1024 MB	
Sony VAIO 1512 E6	137157 Ft	15,6 "	1366x768 WXGA HD	LED	Széles (16:9) VAIO kijelző	Intel	Pentium Dual Core	B980 2,4GHz		4 GB		max. 8GB	500 GB	HDD	SATA 5400rpmMerevlemez rázkódásának védelme	AMD/ATI	Radeon™ HD 7650M 1GB	Dedikált, saját memóriával		2,7kg	2 év (1 év az akkura és töltőre)	Szerviz	Lítium-ion akkumulátor	DVD író	Intel® HM70 Express chipkészlet	Játék/3D grafika	Notebook / Laptop	Új	Fehér hátlap	Nem	Magyar	Assist, WEB, VAIO gombok, vezeték nélküli kapcsoló	Érintőpárna (kézmozdulat felismerése támogatott)	Belső sztereó hangfalak, xLOUD™Belső monó mikrofonMikrofon: Sztereó, minidugasz x1Fejhallgató: Sztereó, minidugasz x1	Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth® 4.0 + HS3 db USB 2.0 (A típusú csatlakozó), 1 db USB 3.0, USB-töltéssel (A típusú csatlakozó)HDMI, VGA 1 db mini D-Sub 15 tűs	1X Memory Stick Duo kártyanyílás x 1, SD memóriakártya-nyílás (Memory Stick PRO™ kompatibilis, a másolásvédelmet nem támogatja)SD kártyanyílás: SDHC- és SDXC-kompatibilis, a másolásvédelmet nem támogatja	1,31MP „Exmor for PC” HD webkamera 1280 x 1024	WLAN	Vezetéknélküli LAN IEEE 802.11b/g/nEthernet 1000BASE-T/100BASE-TX/10BASE-T	Windows 8	VAIO Gate, PlayMemories Home, Media Gallery, VAIO Care, VAIO Transfer Support, VAIO Update, VAIO Smart networkElőre betöltött Office 2010 – a teljes aktiváláshoz az Office 2010 termékkód beszerzése szükségesMcAfee Internet Security 30 napos előfizetés, McAfee Online Backup 30 napos előfizetésTávoli billentyűzet, távoli játék PlayStation® 3 készülékkel	253,5*15,3 - 35,1*371,9mm		Magyar			DVD SuperMulti meghajtó			1024 MB	
Acer Aspire V3-471G-33114G50MADD	137708 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i3	3110M 2,4GHz	3MB cache	4 GB	DDR3 1333 MHz	1 x 4GB, max. 8 GB	500 GB	HDD	5400RPM, SATA	nVidia	GeForce® GT 630M 1GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Arany hátlap	Nem	Magyar	Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	Memóriakártya olvasó, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			1024 MB	
Acer Aspire V3-471G-33114G50MAKK	137708 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i3	3110M 2,4GHz	3MB cache	4 GB	DDR3 1333 MHz	1 x 4GB, max. 8 GB	500 GB	HDD	5400RPM, SATA	nVidia	GeForce® GT 630M 1GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	48 Wh 4400 mAh 6-cellás Li-ionmax. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Multimédiás, Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	Bluetooth, Webkamera, Memóriakártya olvasó, HDMI, VGA, USB 3.0	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm			NVIDIA® CUDA™, PhysX™, PureVideo® HD, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			1024 MB	
Acer Aspire V3-551G-84508G75Makk	137716 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™	AMD	A8-Series	A8-4500M Quad-Core 2.8 GHz / 1.9 GHz		8 GB	DDR3 1066 MHz	4+4GB, max. 8 GB	750 GB	HDD		AMD/ATI	Radeon™ HD 7670M 2GB DDR3	Dedikált, saját memóriával		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ion max. 5 óra	DVD író	AMD A70M Fusion™	Játék/3D grafika	Notebook / Laptop	Új	Szürke hátlap	Igen	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4 High-definition audio stereo hangszórók és mikrofonHeadphone/speaker jack, Microphone-in jack 3.5 mm	Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.0+HSUSB 3.0 port2 USB 2.0HDMI®, VGA	Multi-in-1 Memóriakártya olvasó (SD™, MMC, MS PRO, xD)	720p HD Webkamera 1280 x 1024	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi LAN: Gigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm		Magyar	Unified Video Decoder 3 (UVD 3), OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11, OpenGL® 4.1, OpenCL™ 1.1		8X DVD-Super Multi double-layer			2048 MB	
Lenovo Thinkpad Edge E430 pixelhibás! (1db)	137716 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	VibrantView, 200 nit, 16:9, 500:1	Intel	Core i3	2350M 2.30GHz	dual-core, 3MB Cache	4 GB	DDR3 1600 MHz	max. 8GB, PC3-12800 1600MHz DDR3, dual-channel képesség	500 GB	HDD	5400rpm SATA 3.0Gb/s, 2.5"Active Protection System™	nVidia	GeForce 610M 1GB	Dedikált, saját memóriával		2.15kg	1 év (1 év az akkura és töltőre)	Szerviz	6 Cellás 62Wh Lithium Ionmax. 6,4 óra	DVD író	Mobile Intel HM77 Express Chipset	Üzleti, Játék/3D grafika	Notebook / Laptop	Új, Pixelhibás	Kék hátlap	Nem	Magyar	6-soros, cseppálló, multimedia Fn gombok	UltraNav: touchpad (multi-touch) + TrackPoint, Internet Scroll Bar	High Definition (HD) Audio, Conexant 20671 codec / sztereo hangszórók: 2 watt x 2/Sztereo digitalis mikrofon, combo audio/mic jack	Memóriakártya olvasó, HDMI, VGA, USB 3.0, Bluetooth, Ujjlenyomat olvasó	Bluetooth 4.0, 3x USB 3.0, 1x USB 2.0, VGA DB-15, HDMI	4-in-1 kártyaolvasó (MMC, SD, SDHC, SDXC)	UPEK Ujjlenyomat olvasó	WLAN	WiFi: Intel 2x2 BGNRealtek® RTL8111F Gigabit LAN	Windows 7 Home Premium	• One Key Recovery Pro• Access Connections™• TrueSuite Fingerprint Software• ThinkVantage System Update• ThinkVantage Power Manager• ThinkVantage Tools• Simple Tap• Norton™ Internet Security 2012 (30 nap)• Corel® WinDVD® (DVD±RW)• Corel Burn.Now™ Lenovo Edition (DVD±RW)• Corel DVD MovieFactory® Lenovo Edition (DVD±RW)	339.4 x 234mm x 28.5-33.9mm		Magyar	Optimus	64 bit	DVD CD Multi Burner (12.7mm)			1024 MB	
Acer Aspire E1-571G-33114G75MNKS8	137866 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™	Intel	Core i3	3110M 2.4GHz	3 MB L3 cache, DDR3 1600 MHz, 35 W	4 GB		1 x 4GB, max. 8 GB	750 GB	HDD		nVidia	GeForce G610M 1GB	Dedikált, saját memóriával		2.45 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48Wh 4400 mAh 6-cellás Li-ion max. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	105-/106-/109-gombos Acer FineTouch™	Multi-gesture touchpad	High-definition audio, sztereo hangszórók, mikrofonHeadphone/speaker jack, Microphone-in jack, 3.5 mm	Numerikus billentyűzet, Webkamera, Memóriakártya olvasó, VGA, HDMI	3*USB 2.0, HDMI® (HDCP), VGA	5in1 kártyaolvasó: Secure Digital™ (SD) Card, MultiMediaCard™ (MMC), Memory Stick PRO™ (MS PRO), xD-Picture Card™ (xD)	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer Nplify 802.11b/g/n Wi-Fi Gigabit Ethernet	Windows 8	Acer Backup ManagerAcer ePower ManagementAcer eRecovery ManagementMicrosoft® Office Starter 2010Norton™ Online BackupMcAfee® Internet Security Suite próbaverzióMyWinLocker®Acer clear.fiNTI Media Maker™Acer Identity CardAcer RegistrationAcer Updater	381.6 (W) x 253 (D) x 25.4/33.2 (H) mm		Magyar			DVD-Super Multi DL			1024 MB	
Fujitsu Lifebook AH552-R3	140386 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel	Core i3	2350M 2.3GHz	3MB cache	4 GB	DDR3 1333 MHz	1x 4GB, max. 16 GB	500 GB	HDD	7200 f/p, 2,5 hüvelykes, S.M.A.R.T.	Intel	HD Graphics	Alaplapi integrált		2,2 kg	2 év (1 év az akkura és töltőre)	Szerviz	8 cellás Li-Ion	DVD író	Intel® HM76	Üzleti	Notebook / Laptop		Vörös / Piros hátlap	Nem	Magyar	Cseppálló billentyűzet teljes számbillentyűzettel	Touchpad	Nagy felbontású hangszolgáltatás támogatása, DTS Boost™ – maximálisra növeli a notebook akusztikus teljesítményét a hangmix érzékelt általános szintjének növelésével, 2x beépített hangszóró (sztereó), Beépített digitális mikrofon, Hangerő-szabályozás funkcióbillentyűvel1 x Hang: vonali bemenet / mikrofon1 x Hang: vonali kimenet / fejhallgató	Memóriakártya olvasó, Numerikus billentyűzet, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth V2.13 x USB 2.0 összesen1 (Anytime USB-töltési funkció) x USB 3.0 összesen1 x VGA1 x HDMI	1 db 4-az-1-ben kártyaolvasó (SD/SDHC/MS/MS Pro)	Beépített webkamera, HD	WLAN	WLAN IEEE 802.11b/g/nLAN 10/100/1000 Mb/s Realtek RTL 8111F	Külön vásárolható	Drivers & Utilities DVD (DUDVD)	378 x 252 x 25,4 mm					DVD SuperMulti SATA				
Asus K55VD-SX023D	138889 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	16:9	Intel	Core i5	3210M 2.5GHz		4 GB	DDR3 1600 MHz	max. 8 GB	500 GB	HDD	5400rpm 2,5 hüvelykes, SATA	nVidia	GeForce® 610M 2GB DDR3	Dedikált, saját memóriával		2.52 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6-cellás : 4700 mAh 50 wattórás	DVD író	Intel® Chief River HM76 lapkakészlet	Játék/3D grafika	Notebook / Laptop	Új	Barna hátlap	Nem	Magyar			Beépített hangszóró és mikrofonAltec Lansing® hangszórók1 db Mikrofon-bemenet1 db fejhallgató ki jack	Memóriakártya olvasó, Webkamera, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth 4.01x USB 2.0, 2x USB 3.0 / USB 2.0, 1x VGA Port (D-Sub),1x HDMI	2 -in-1 kártyaolvasó ( SD/ MMC)	0.3 megapixeles rögzített webkamera	WLAN	Integrált 802.11 b/g/n WLAN 10/100/1000BaseT LAN	Külön vásárolható		25.1 x 37.8 x 2.55 ~3.19 cm (szélesség x mélység x magasság)					DVD Super Multi DL			2048 MB	
Toshiba Satellite L850-11D	139126 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Toshiba TruBrite® 16 : 9	Intel	Core i3	2350M 2.30GHz	Elülső busz : 1333 MHz 3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1333 MHz	bővíthetőség felső határa : 8,192 MB	640 GB	HDD	5,400 fordulat/perc	AMD/ATI	Radeon™ HD 7670M 1GB DDR3	Dedikált, saját memóriával		2.3 kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	lithium-ion maximális üzemidő : 4h30min (Mobile Mark™ 2007)	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	Magyar	billentyűk : 102 Windows billentyűk : igen	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24-bit stereo HD Audio-támogatáshangszórók : sztereo (boxed) gyártó : Realtek (ALC269Q-VB6-GR)1 × külső mikrofon 1 × sztereó fejhallgató	Webkamera, Numerikus billentyűzet, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, HDMI	Bluetooth® 4.0 1 × külső monitor1 × USB 2.0 Sleep-and-Charge technológiával 1 × HDMI-kimenet, 1080p jelformátum támogatása2 × USB 3.0	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	1.0MP HD Webkamera (1,280 x 800) mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nGigabit Ethernet LAN	Windows 7 Home Premium	McAfee® Internet Security (30nap) Nero KwikMedia, Nero BackItUp & Burn Autobackup Toshiba Eco Utility™ Toshiba PC Health Monitor Toshiba Resolution+ Plug-in for Windows Media Player Toshiba TemproToshiba Web Camera Application Toshiba Recovery Media Creator WildTangent Games Console Toshiba Disc Creator	Sz x H x M : 380.0 x 242.0 x 33.52 mm	előtelepítve, Toshiba merevlemez-helyreállítással	Magyar	csatlakoztatott busz : PCI Express®	64 bit	Univerzális kétrétegű DVD-meghajtó			1024 MB	
Toshiba Satellite C870-13N	139291 Ft	17,3 "	1600x900 WXGA HD+	LED, Fényes	Toshiba TruBrite® 16 : 9	Intel	Core i3	2370M 2.40 GHz	Elülső busz : 1,333 MHz3. szintű gyorsítótár : 3 MB	4 GB	DDR3 1333 MHz	bővíthetőség felső határa : 8,192 MB	640 GB	HDD	5,400 fordulat/perc	AMD/ATI	Radeon™ HD 7610M 1GB	Dedikált, saját memóriával		2.7 kg	2 év (1 év az akkura és töltőre)	Világ, Szerviz	lítiumionos maximális üzemidő : akár 4 óra 30 perc (Mobile Mark™ 2007)	DVD író		Játék/3D grafika	Notebook / Laptop	Új	Matt fekete mintázott felület, fekete billentyűzet	Igen	Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Lapos, matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók (doboz nélkül) gyártó : Realtek (ALC269Q-VB6-GR)1 × külső mikrofon1 × sztereó fejhallgató	Bluetooth, USB 3.0, VGA, HDMI, Memóriakártya olvasó, Webkamera, Numerikus billentyűzet	Bluetooth® 4.0 2 × USB 2.0 , 1 × USB 3.0 1 × HDMI-kimenet, 1080p jelformátum támogatása1 × külső monitor	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	VGA-felbontású webkamera beépített mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 413.0 x 268.0 x 33.7 mm			1024 MB elkülönített videomemória. A rendelkezésre álló grafikus memória a rendszermemória használatával bővíthető a HyperMemory™ technológia segítségével: akár 2799 MB-ra 4 GB telepített rendszermemória mellett, illetve akár 4847 MB-ra 8 GB rendszermemória mellett (64 bites Windows® 7 operációs rendszer esetén). memória típusa : DDR3 videomemória (illetve videomemória és rendszermemória kombinálva) csatlakoztatott busz : PCI Express®		Univerzális kétrétegű DVD-meghajtó			1024 MB	
Fujitsu LIFEBOOK UH552-SM	139362 Ft	13,3 "	1366x768 WXGA HD	Matt, LED	Anti-glare, 220 cd/m2	Intel	Core i3	3217U 1.8GHz	3MB cache	4 GB	DDR3 1600 MHz	1x 4GB, max. 16 GB, 2 slot	500 GB	HDD	5,4krpm 2,5 hüvelykes, S.M.A.R.T.	Intel	HD Graphics 4000	Alaplapi integrált		1,57 kg	2 év (1 év az akkura és töltőre)	Szerviz	4 cellás Lithium polymer 2840 mAh, 42 Wh7.5 h (Mobile Mark 2007)	Nincs	Intel HM76	Ultrahordozható, Üzleti	Notebook / Laptop	Új	Ezüst hátlap	Igen	Magyar	Cseppálló billentyűzet	Multi-TouchPad	Realtek ALC269Q-VB6 (HD audio)2x beépített hangszóró (sztereó), Nagy felbontású hangszolgáltatás támogatása, DTS Boost™1 x Hang: vonali kimenet / fejhallgató	Memóriakártya olvasó, Webkamera, Bluetooth, USB 3.0, HDMI	Bluetooth V4.0, 1 (ebből 1 db Anytime USB-töltési funkció) x USB 2.0 összesen2 x USB 3.0 összesen1 x HDMI	4-in-1 kártyaolvasó (SD/MS/MSPro/SDXC)	Beépített webkamera, HD	WLAN	WLAN b/g/nUSB-n keresztül Ethernet (RJ-45)	Külön vásárolható		323 x 234 x 18,0 mm	Drivers & Utilities DVD (DUDVD)								
Acer Aspire V5-471-32364G50Mabb	139992 Ft	14,1 "	1366x768 WXGA HD	Fényes, LED	(200-nit) Acer CineCrystal™Super-slim design	Intel	Core i3	2367M 1.40GHz	3 MB L3 cache	4 GB	DDR3 1066 MHz	max. 8 GB	500 GB	HDD		Intel	HD Graphics 4000	Alaplapi integrált		2.1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37Wh 2500mAh 4-cellás Li-ion , max. 4.5hENERGY STAR®	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Kék hátlap	Nem	Magyar	86-/87/91-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Advanced Audio® v2, sztereo hangszórók, mikrofonHeadphone / speaker jack	Memóriakártya olvasó, VGA, HDMI, USB 3.0, Bluetooth, Webkamera	Bluetooth 4.0+HS, HDMI, USB 3.0, 2*USB 2.0, LAN/VGA combo port	2-in-1 kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye HD Webkamera 1280 x 1024, 720p	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi Gigabit Ethernet LAN	Windows 7 Home Premium	• Acer Backup Manager • Acer ePower Management • Acer eRecovery Management• Microsoft® Office Starter 2010• Norton™ Online Backup• McAfee Internet Security Suite Trial• MyWinLocker®• Acer clear.fi • NTI Media Maker™• CyberLink® Media Espresso • Acer Identity Card • Acer Registration • Acer Updater	342 (W) x 245 (D) x 20/23 (H) mm	Service Pack 1	Magyar		64 bit	8x DVD-Super Multi double-layer				
Fujitsu Lifebook AH552-B3	140386 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel	Core i3	2350M 2.3GHz	3MB cache	4 GB	DDR3 1333 MHz	1x 4GB, max. 16 GB	500 GB	HDD	7200 f/p, 2,5 hüvelykes, S.M.A.R.T.	Intel	HD Graphics	Alaplapi integrált		2,2 kg	2 év (1 év az akkura és töltőre)	Szerviz	8 cellás Li-Ion	DVD író	Intel® HM76	Üzleti	Notebook / Laptop		Fekete hátlap	Nem	Magyar	Cseppálló billentyűzet teljes számbillentyűzettel	Touchpad	Nagy felbontású hangszolgáltatás támogatása, DTS Boost™ – maximálisra növeli a notebook akusztikus teljesítményét a hangmix érzékelt általános szintjének növelésével, 2x beépített hangszóró (sztereó), Beépített digitális mikrofon, Hangerő-szabályozás funkcióbillentyűvel1 x Hang: vonali bemenet / mikrofon1 x Hang: vonali kimenet / fejhallgató	HDMI, Webkamera, Memóriakártya olvasó, Bluetooth, USB 3.0, VGA, Numerikus billentyűzet	Bluetooth V2.13 x USB 2.0 összesen1 (Anytime USB-töltési funkció) x USB 3.0 összesen1 x VGA1 x HDMI	1 db 4-az-1-ben kártyaolvasó (SD/SDHC/MS/MS Pro)	Beépített webkamera, HD	WLAN	WLAN Intel® Centrino® Wireless N2230 IEEE 802.11b/g/nLAN 10/100/1000 Mb/s Realtek RTL 8111F	Külön vásárolható	Drivers & Utilities DVD (DUDVD)	378 x 252 x 25,4 mm					DVD SuperMulti SATA				
Acer Aspire V3-571-32374G50Maii	140937 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal (200-nit) 16:9	Intel	Core i3	2370M 2,4GHz	3 MB cache	4 GB	DDR3 1066 MHz	1x4GB, max. 8 GB	500 GB	HDD	5400RPM, SATA	Intel	HD Graphics 4000	Alaplapi integrált		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	48 Wh 4400 mAh 6-cellás Li-ionmax. 4,5 óra	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai, Multimédiás	Notebook / Laptop	Új	Szürke hátlap	Nem	Magyar	103-/104-/107-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Home Theater® v4Beépített hangszóró és mikrofonHeadphone/speaker jack, Microphone-in jack	USB 3.0, Numerikus billentyűzet, Webkamera, VGA, HDMI, Bluetooth, Memóriakártya olvasó	Bluetooth 4.0+HS, 1xUSB3.0, 2xUSB2.0, HDMI, VGA	Multi-in-1 kártya olvasó (SD™, MMC, MS PRO, xD)	Acer CrystalEye HD Webkamera 1280 x 1024 720p	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Windows 7 Home Premium	Office Starter 2010Acer Backup ManagerAcer ePower ManagementAcer eRecovery ManagementNorton™ Online BackupMcAfee® Internet Security SuiteMyWinLocker®Acer clear.fiNTI Media MakerAcer Crystal EyeAcer Identity Card, Acer Registration, Acer Updater	381.6 (W) x 253 (D) x 25.2/33.2 (H) mm		Magyar		64 bit	8X DVD-Super Multi double-layer				
Acer Aspire V5-471-323a4G50Mauu_W8	141409 Ft	14,1 "	1366x768 WXGA HD	LED, Fényes	(200-nit) Acer CineCrystal™Super-slim design	Intel	Core i3	2377MB 1.50 GHz	3 MB L3 cache	4 GB		max. 8 GB	500 GB	HDD		Intel	HD Graphics 3000	Alaplapi integrált		2.1 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	37Wh 2500mAh 4-cellás Li-ion , max. 4.5hENERGY STAR®	DVD író	Mobile Intel® HM77 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	lila hátlap	Nem	Magyar	86-/87/91-gombos Acer FineTip	Multi-gesture touchpad	Dolby® Advanced Audio® v2, sztereo hangszórók, mikrofonHeadphone / speaker jack	Memóriakártya olvasó, Webkamera, HDMI, VGA, USB 3.0, Bluetooth	Bluetooth 4.0+HS, HDMI, USB 3.0, 2*USB 2.0, LAN/VGA combo port	2-in-1 kártyaolvasó: SD™ Card, MultiMediaCard™ (MMC)	Acer Crystal Eye HD Webkamera 1280 x 1024, 720p	WLAN	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi Gigabit Ethernet LAN	Windows 8	• Acer Backup Manager • Acer ePower Management • Acer eRecovery Management• Microsoft® Office Starter 2010• Norton™ Online Backup• McAfee Internet Security Suite Trial• MyWinLocker®• Acer clear.fi • NTI Media Maker™• CyberLink® Media Espresso • Acer Identity Card • Acer Registration • Acer Updater	342 (W) x 245 (D) x 20/23 (H) mm		Magyar		64 bit	8x DVD-Super Multi double-layer				
