TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
ACER Aspire 7250 NX.RL6EU.002	82547 Ft	 17,3"	 1600x900	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7480	 3,3 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 7250G NX.RXXEU.002	88126 Ft	 17,3"	 1600x900	 Igen	 AMD E-450 1.66GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD3000	 3,3 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 7560G NX.RWCEU.001	150080 Ft	 17,3"	 1600x900	 Igen	 AMD A6-3420M 1.50GHz	 4GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD3000	 3,3 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One 270 NU.SGAEU.002 Fekete	60458 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 1GB	 DDR3	 320 GB	 Intel GMA 3600	 1,3 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One 270 NU.SGBEU.001 Fekete	77168 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 1GB	 DDR3	 320 GB	 Intel GMA 3600	 1,3 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar		 3g			
ACER Aspire One 270 NU.SGEEU.001 Fehér	60458 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 1GB	 DDR3	 320 GB	 Intel GMA 3600	 1,3 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One 270 NU.SGEEU.003 Fehér	51546 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 2GB	 DDR3	 320 GB	 Intel GMA 3600	 1,3 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One 270-26DW NU.SGNEU.002 Lufis	63091 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 1GB	 DDR3	 320 GB	 Intel GMA 3600	 1,3 kg	 Nincs	 Windows 7 Starter	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One 725 NU.SGPEU.002 Fekete	60661 Ft	 11,6"	 1366x768	 Igen	 AMD C-60 1.00GHz	 2GB	 DDR3	 320 GB	 AMD GMA HD	 1,3 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar		 3G			
ACER Aspire One 725 NU.SGPEU.010 Fekete	65218 Ft	 11,6"	 1366x768	 Igen	 AMD C-60 1.00GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6290	 1,20 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER Aspire One 725 NU.SGQEU.002 Kék	60661 Ft	 11,6"	 1366x768	 Igen	 AMD C-60 1.00GHz	 2GB	 DDR3	 320 GB	 AMD GMA HD	 1,46 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One 725 NU.SGQEU.008 Kék	65218 Ft	 11,6"	 1366x768	 Igen	 AMD C-60 1.00GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD6290	 1,20 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER Aspire One D270 NU.SGAEU.007 Fekete	51546 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 2GB	 DDR3	 320 GB	 Intel GMA 3600	 1,2 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D270 NU.SGCEU.004 Piros	51546 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 2GB	 DDR3	 320 GB	 Intel GMA 3600	 1,2 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D270 NU.SGDEU.004 Kék	51546 Ft	 10"	 1024x600	 Igen	 Intel ATOM N2600 1.60GHz	 2GB	 DDR3	 320 GB	 Intel GMA 3600	 1,2 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGTEU.009 Ezüst	76358 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGTEU.010 Ezüst	91370 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Windows 8	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGYEU.003 Fekete	90441 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium B967 1.30GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 1,35 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGYEU.007 Fekete	76358 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGYEU.008 Fekete	91370 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Windows 8	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGZEU.002 Piros	84170 Ft	 11,6"	 1366x768	 Igen	 Intel Celeron 877 1.40GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 1,35 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGZEU.003 Piros	90441 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium B967 1.30GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 1,35 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGZEU.007 Piros	76358 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SGZEU.008 Piros	91370 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Windows 8	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH0EU.002 Kék	84677 Ft	 11,6"	 1366x768	 Igen	 Intel Celeron 877 1.40GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 1,35 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH0EU.003 Kék	90441 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium B967 1.30GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 1,35 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH0EU.008 Kék	76358 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH0EU.009 Kék	91370 Ft	 11,6"	 1366x768	 Igen	 Intel Pentium 987 1.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Windows 8	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH2EU.002 Kék	68459 Ft	 11,6"	 1366x768	 Igen	 Intel Celeron 847 1.10GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH3EU.001 Fekete	68459 Ft	 11,6"	 1366x768	 Igen	 Intel Celeron 847 1.10GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH4EU.002 Piros	68459 Ft	 11,6"	 1366x768	 Igen	 Intel Celeron 847 1.10GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire One D756 NU.SH5EU.002 Ezüst	68459 Ft	 11,6"	 1366x768	 Igen	 Intel Celeron 847 1.10GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 1,38 kg	 Nincs	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire S5-391 NX.RYXEU.003	348806 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3		 Intel HD Graphics 4000	 1,20 kg	 Nincs	 Windows 7 Home Premium	 Igen	 Nincs	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 256 GB		
ACER E1-531 NX.M12EU.012 Fekete	80712 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
ACER E1-531 NX.M12EU.013 Fekete	96847 Ft	 15,6"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,4 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 1 db				
