TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
DELL Latitude E6330 146780	235563 Ft	 13,3"		 Igen	 Intel Core i3-2350M 2.30GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,65 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Igen	 Nem	 Igen	 Igen	 Nem	 Igen	 Nem	 Nem	 Nem	 Magyar	 2 db				
DELL Latitude E6330 146850	291528 Ft	 13,3"		 Igen	 Intel Core i7-3520M 2.90GHz	 8GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,65 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Igen	 Nem	 Igen	 Igen	 Nem	 Igen	 Nem	 Nem	 Nem	 Magyar	 2 db				
DELL Latitude E6430-4	246996 Ft	 14"	 1600x900	 Igen	 Intel Core i5-3320M 2.60GHz	 4GB	 DDR3	 750 GB	 Intel HD Graphics 4000	 2,01 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
DELL Latitude E6520 141600	332670 Ft	 15,6"	 1600x900	 Igen	 Intel Core i7-2640M 2.80GHz	 4GB	 DDR3	 500 GB	 NVIDIA Quadro NVS 4200	 2,50 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Latitude E6520 DE6520-25204GB5003Y-6670	258488 Ft	 15,6"	 1600x900	 Igen	 Intel Core i5-2520M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,50 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar		 2,5			
DELL Latitude E6520-58	317040 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-2760QM 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA Quadro NVS 4200	 2,50 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Latitude E6530 144209	409208 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3720QM 2.60GHz	 8GB	 DDR3		 NVIDIA Quadro NVS 5100	 2,449 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db		 256 GB		
DELL Precision M4600-13	251092 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-2520M 2.50GHz	 4GB	 DDR3	 750 GB	 ATi FirePro M5950	 2,79 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
DELL Precision M4600-14	307662 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-2760QM 2.40GHz	 8GB	 DDR3	 750 GB	 NVIDIA Quadro 1000	 2,79 kg	 DVD-RW	 FreeDOS	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
DELL Vostro 2520 147204	129906 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,36 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 2520-1	124815 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,36 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 2520-2	101562 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2328M 2.20GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 2,36 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3350 Ezüst 147205	148667 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,04 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 1 db	 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 2 db				
DELL Vostro 3360 Brass DV3360I-3217-4GH32D4BR-11	153963 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Brass DV3360I-3317-4GH50D4BR-11	165871 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Bronz 141980	150188 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2367M 1.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Bronz 141985	162555 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Ezüst 141979	150188 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2367M 1.40GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Ezüst 141987	189074 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Ezüst 144753	196840 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-2367M 1.40GHz	 6GB	 DDR3	 500 GB	 Intel HD Graphics 3000	 1,67 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db	 Dell Wireless 5560			
DELL Vostro 3360 Ezüst DV3360I-3217-4GH32D4SI-11	153963 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Ezüst DV3360I-3317-4GH50D4SI-11	165871 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Ezüst DV3360I-3517-4GH50D4SI-11	194459 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Piros 141986	162555 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Piros 141989	189074 Ft	 13,3"	 1366x768	 Igen	 Intel Core i7-3517U 1.90GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Piros DV3360I-3217-4GH32D4RD-11	153963 Ft	 13,3"	 1366x768	 Igen	 Intel Core i3-3217U 1.80GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3360 Piros DV3360I-3317-4GH50D4RD-11	165871 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 1,67 kg	 Nincs	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 2 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3460 Brass DV3460N-3210-4GH50D6BR-11	176993 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Brass DV3460N-3210-4GH75D6BR-11	178578 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Brass DV3460N-3612-8GH75D6BR-11	214304 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Bronz 141997	177378 Ft	 14"	 1366x768	 Igen	 Intel Core i5-2310 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Ezüst 141996	177378 Ft	 14"	 1366x768	 Igen	 Intel Core i5-2310 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Ezüst 141999	210048 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Ezüst 142002	255225 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3		 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar			 128 GB		
DELL Vostro 3460 Ezüst 145134	208537 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 6GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,23 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar		 Wireless 5560 3G/HSDPA			
DELL Vostro 3460 Ezüst DV3460I-3110-4GH50W86SI-11	174604 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,23 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Ezüst DV3460N-3210-4GH50D6SI-11	176993 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Ezüst DV3460N-3210-4GH75D6SI-11	178578 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros 141995	159529 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros 141998	177378 Ft	 14"	 1366x768	 Igen	 Intel Core i5-2310 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros 142001	210048 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros DV3460I-3110-4GH50W86RD-11	174604 Ft	 14"	 1366x768	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,23 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros DV3460N-3210-4GH50D6RD-11	176993 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros DV3460N-3210-4GH75D6RD-11	178578 Ft	 14"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460 Piros DV3460N-3612-8GH75D6RD-11	214304 Ft	 14"	 1366x768	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3460-1 Bronz	151502 Ft	 14"	 1366x768	 Igen	 Intel Core i3-2370M 2.40GHz	 4GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,23 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 4 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
DELL Vostro 3560 Brass DV3560I-3110-4GH50W86BR-11	174604 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,57 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db	 3G,HSPA			
DELL Vostro 3560 Ezüst 142263	173545 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3560 Ezüst DV3560A-3210-4GH50D6SI-11	174604 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3560 Ezüst DV3560I-3110-4GH50W86SI-11	174604 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i3-3110M 2.40GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,57 kg	 DVD-RW	 Windows 8	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db	 3G,HSPA			
DELL Vostro 3560 Ezüst DV3560I-3210-4GH50D6SI-11	165085 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics 4000	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db	 3G,HSPA			
DELL Vostro 3560 Piros 142225	173545 Ft	 15,6"	 1366x768	 Igen	 Intel Core i5-2310 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3560 Piros 142371	206217 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3612 2.10GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db				
DELL Vostro 3560-3 Ezüst	222593 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db		 32 GB		
DELL Vostro 3560-6 Ezüst	164793 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db		 32 GB		
DELL Vostro 3560-7 Ezüst	272762 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3632 2.20GHz	 6GB	 DDR3	 750 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Angol	 3 db		 32 GB		
DELL Vostro 3560-8 Bronz	165277 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 4GB	 DDR3	 500 GB	 ATi Mobil RadeOn HD7670	 2,57 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar	 3 db		 32 GB		
DELL XPS 13 UltraBook Ezüst 140171	322588 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-2467M 1.67GHz	 4GB	 DDR3		 Intel HD Graphics 3000	 1,36 kg	 Nincs	 Windows 7 Home Premium	 Igen	 10/100MBps	 Igen	 1 db	 Igen	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Igen	 Angol	 1 db		 128 GB		
DELL XPS 13-3 UltraBook Ezüst	293766 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-2467M 1.67GHz	 4GB	 DDR3		 Intel HD Graphics 3000	 1,36 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100MBps	 Igen	 1 db	 Igen	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Igen	 Angol	 1 db		 128 GB		
DELL XPS 13-4 UltraBook Ezüst	319743 Ft	 13,3"	 1366x768	 Igen	 Intel Core i5-2467M 1.67GHz	 4GB	 DDR3		 Intel HD Graphics 3000	 1,36 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100MBps	 Igen	 1 db	 Igen	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Igen	 Angol	 1 db		 256 GB		
DELL XPS 14-3 UltraBook Ezüst	337359 Ft	 14"	 1600x900	 Igen	 Intel Core i7-3517U 1.90GHz	 8GB	 DDR3	 500 GB	 NVIDIA GeForce GT 630	 2,0 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100MBps	 Igen		 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Angol	 2 db		 32 GB		
DELL XPS 14-4 UltraBook Ezüst	414754 Ft	 14"	 1600x900	 Igen	 Intel Core i5-3317U 1.70GHz	 4GB	 DDR3		 NVIDIA GeForce GT 630	 2,1 kg	 Nincs	 Windows 7 Professional	 Igen	 10/100MBps	 Igen		 Igen	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Angol	 2 db		 512 GB		
DELL XPS L521x-1	355087 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i5-3210M 2.50GHz	 8GB	 DDR3	 750 GB	 NVIDIA GeForce GT 630	 2,6 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Angol	 3 db		 32 GB		
DELL XPS L521x-2	384582 Ft	 15,6"	 1920x1080	 Igen	 Intel Core i7-3612 2.10GHz	 8GB	 DDR3	 1000 GB	 NVIDIA GeForce GT 640	 2,6 kg	 DVD-RW	 Windows 7 Professional	 Igen	 10/100/1000MBps /Gigabit/	 Igen		 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Igen	 Angol	 3 db		 32 GB		
FUJITSU LifeBook AH531 VFY:AH531MF025HU	99311 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2328M 2.20GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 Nincs	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
FUJITSU LifeBook AH531 VFY:AH531MF032HU/KIT	111859 Ft	 15,6"	 1366x768	 Igen	 Intel Core i3-2328M 2.20GHz	 4GB	 DDR3	 320 GB	 Intel HD Graphics 3000	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Igen	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
