TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
Dell Inspiron N5040 Notebook	92047 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Pentium™ M Dual-Core processzor P6200	2130 MHz	2048 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics	- MB	2.37 Kg	3 év	6 cella	DVD+-RW	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új				
Acer AS7250G -4504G50Mnkk Notebook	93622 Ft	17.30 inch	WSXGA (1600x900) LED	AMD Dual Core processzor E450	1650 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7470M	1024 MB	3.25 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	SD, MMC, micro SD	magyar	Webcamera	új				
Dell Inspiron Mini Duo 1090 (Sparta) Notebook	93622 Ft	10.10 inch	HD WXGA (1366x768) LED	Intel&reg Core™ processzor Dual N570	1660 MHz	2048 MB	DDR3 1333MHz	320 GB	7200 rpm	Intel® NM10 Express	- MB	1.54 Kg	2 év	4 cella	-	Windows 7 Home Premium 32bit	igen	WLAN g/n	802.11b/g	opció	2xUSB 2.0		magyar	HD Webcamera	új				
Lenovo Ideapad G585A Notebook	94409 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Mobility Radeon™ HD6470M	1024 MB	2.70 Kg	2 év	6 cella	DVD+-RW	opció	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Packard Bell EASYNOTE F4087-GN-464HG Notebook	95984 Ft	15.60 inch	WXGA (1366x768) LED	Intel&reg Pentium™ Dual-Core processzor P6200	2000 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	SD, MMC	magyar	Webcamera	új				
Asus X54C -SO407D Notebook	97559 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i3 processzor 2350M	2300 MHz	4096 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel HD Graphics 3000	- MB	2.60 Kg	2 év	4 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 35,6-37,2 mm			
Lenovo ThinkPad Edge E135 Notebook	100709 Ft	11.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E2-1800	1700 MHz	4096 MB	DDR3 1333MHz	320 GB	7200 rpm	Radeon™ HD 7340	- MB	1.47 Kg	1 év	6 cella	opció	Android 2.2	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, eSATA	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Packard Bell EASYNOTE F4085-GN-475HG Notebook	98346 Ft	15.60 inch	WXGA (1366x768) LED	Intel&reg Pentium™ Dual-Core processzor P6200	2000 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	NVIDIA® GeForce® GT 610M	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	SD, MMC	magyar	Webcamera	új				
Acer AS5560- 63424G50MN Notebook	99134 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD A series processzor A6-3420	1500 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	AMD Radeon™ HD 7480M	512 MB	2.59 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	igen	opció	2xUSB 2.0, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Lenovo Ideapad G580GH Notebook	132205 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	2.70 Kg	2 év	6 cella	DVD+-RW	opció	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	4xUSB 2.0, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
