TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
Asus B33E -RO125X Notebook	214882 Ft	13.30 inch	HD WXGA (1366x768)	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel® HD Graphics	- MB	1.96 Kg	3 év	4 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, Express Card, HDMI, eSATA, 1xUSB 3.0, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, HD Webcamera	új	326 x 226 x 297 mm	Táska		
Samsung NP400B2B -A01HU Notebook	214882 Ft	12.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel® HD Graphics	- MB	1.74 Kg	2 év	6 cella	-	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, eSATA, 1xUSB 3.0	SD, MS, MS Pro, SDHC	magyar	Webcamera, Ujjlenyomat olvasó, Aktív merevlemezvédelem	új	302.1 x 223.7 x 28.3 - 32.2 mm			
Toshiba Satellite P750-11G Notebook	217244 Ft	15.60 inch	HD WXGA (1366x768) 3D	Intel® Core™ i5 processzor 2410M	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	NVIDIA® GeForce® GT 540M	2048 MB	2.62 Kg	3 év	6 cella	DVD+-RW Dual Layer	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MS Pro, MMC, XD, SDHC, SDXC	magyar	Webcamera, Flash Memória, 4 GB	új	380.5x254x35.6 mm			
Lenovo ThinkPad T430i Notebook	218819 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i3 processzor 2370M	2400 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel® HD Graphics	- MB	2.80 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, Express Card, HDMI, eSATA, Display Port, Dock	SD, MS, MS Pro, SDHC	magyar	Webcamera, Ujjlenyomat olvasó, UltraNav(Trackpoint & Touch pad), Billentyűzet megvilágítás	új				
Toshiba Portege R830-111 Notebook	220394 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2410M	2300 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel® HD Graphics 3000	- MB	1.64 Kg	3 év	9 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN b/g	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, eSATA, 1xUSB 3.0	SD, MMC, SDHC, SDXC	magyar	Webcamera, Ujjlenyomat olvasó	új	316x227x44 mm			
Dell Inspiron 7720 FHD Notebook	221969 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3610QM	2300 - 3300 MHz	6144 MB	DDR3 1600MHz	1000 GB	5400 rpm	NVIDIA® GeForce® GT 650M	2048 MB	3.28 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, eSATA, 3xUSB 3.0, USB 3.0 E-SATA, Power Share funkcióval	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Dell Vostro 3460 Notebook	221969 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3612Q	2100 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT630M	1024 MB	2.23 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, Express Card, HDMI, 4xUSB 3.0		magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Lenovo Ideapad Y580 FHD Notebook	226693 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	6144 MB	DDR3 1333MHz	1000 GB	5400 rpm	NVIDIA® GeForce® GT 660M	2048 MB	2.80 Kg	2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	Memóriakártya-olvasó	magyar	Billentyűzet megvilágítás, HD Webcamera	új	385 x 255 x 35,7 mm			
Dell Inspiron 7520 FHD Notebook	230630 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3632QM	2200 - 3200 MHz	8192 MB	DDR3 1600MHz	1000 GB	5400 rpm	AMD Radeon™ HD 7730M	2048 MB	2.76 Kg	3 év	6 cella	Blue-Ray Combo	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 3xUSB 3.0, USB 3.0 E-SATA, Power Share funkcióval	Memóriakártya-olvasó	magyar	SSD drive, HD Webcamera	új			32 GB	
Samsung NP700Z3A -S01HU Notebook	230630 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 2450M	2500 MHz	6144 MB	DDR3 1333MHz	1000 GB	5400 rpm	AMD Mobility Radeon™ HD 6490M	1024 MB	2.32 Kg	2 év	8 cella	-	Windows 7 Home Premium 64bit		10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0	SD, MMC, SDHC, SDXC	magyar	HD Webcamera	új				
Toshiba Qosmio F750-110 Notebook	230630 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2410M	2300 - 2900 MHz	8192 MB	DDR3 1333MHz	500 GB	7200 rpm	NVIDIA® GeForce® GT 540M	2048 MB	2.90 Kg	3 év	6 cella	Blue-Ray Combo	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MS Pro, MMC, XD, MS Pro Duo, mini SD, micro SD, SDHC, SDXC	magyar	HD Webcamera, Flash Memória, 4 GB	új	384 x 263 x 36,3 mm			
Lenovo ThinkPad T420 Notebook	233780 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2520M	2500 - 3200 MHz	4096 MB	DDR3 1333MHz	320 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.80 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, UltraNav(Trackpoint & Touch pad), Billentyűzet megvilágítás, HD Webcamera	új				
Fujitsu Lifebook E752 Notebook	236929 Ft	15.60 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.50 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Bluetooth, 2xUSB 3.0, Display Port, USB 2.0 E-SATA, Power Share funkcióval	SD	magyar	Rázkodás elleni merevlemezvédele, HD Webcamera	új	372 x 245 x 35 mm			
Fujitsu Lifebook S752 Notebook	236929 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	500 GB	7200 rpm	Intel HD Graphics 3000	- MB	2.30 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Bluetooth, 2xUSB 3.0, Display Port, USB 2.0 E-SATA, Power Share funkcióval	SD	magyar	Rázkodás elleni merevlemezvédele, HD Webcamera	új	340 x 245 x 35 mm			
Acer Aspire S3-951-2464G32ISS Notebook	239291 Ft	13.30 inch	WXGAGS HD (1366x768) LED	Intel® Core™ i7 processzor 2637M	1700 - 2800 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel HD Graphics 3000	- MB	1.40 Kg	3 év	3 cella	-	Windows Vista Home Premium	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, HDMI, eSATA	SD, MMC	magyar	SSD drive, HD Webcamera	új			20 GB	
Asus Zenbook UX32VD-R3001V Notebook	239291 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2600 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	NVIDIA® GeForce® GT 620M	1024 MB	1.45 Kg	2 év	6 cella	-	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, HDMI, 3xUSB 3.0	Memóriakártya-olvasó	magyar	SSD drive, HD Webcamera	új	325 x 223 x 5.5-18 mm	Táska + átalakítók	24 GB	
Fujitsu Lifebook UH572 Notebook	244803 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2400 MHz	4096 MB	DDR3 1600MHz	128 GB		Intel HD Graphics 4000	- MB	1.60 Kg	3 év	4 cella	opció	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0	SD, MS, MS Pro, SDHC	magyar	SSD drive, HD Webcamera	új				
Sony Vaio VPCF24M1E/B Notebook	244803 Ft	16.40 inch	WSXGA (1600x900) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	6144 MB	DDR3 1333MHz	640 GB		NVIDIA® GeForce® GT 540M	2048 MB		2 év	6 cella	Blue-Ray Combo	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS Pro, SDHC, SDXC	magyar	Webcamera, Rázkodás elleni merevlemezvédele, Gyorsulásmérő, Billentyűzet megvilágítás	új	398.5 x 33.1 x 271.5 mm			
Lenovo ThinkPad T530 Notebook	357402 Ft	15.60 inch	WUXGA (1920x1080) Full HD	Intel® Core™ i7 processzor 3610QM	2300 MHz	8192 MB	DDR3 1600MHz	500 GB	7200 rpm	NVIDIA® NVS 5400M	1024 MB	2.57 Kg	3 év	9 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	3xUSB 2.0, Bluetooth, Express Card, HDMI, eSATA, 1xUSB 3.0, Display Port	Memóriakártya-olvasó	magyar	Webcamera, Ujjlenyomat olvasó, Dokkoló, Billentyűzet megvilágítás	új				
Toshiba Portégé Z830-11M Notebook	251890 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2467M	1600 - 2300 MHz	4096 MB	DDR3 1333MHz	128 GB		Intel HD Graphics 3000	- MB	1.12 Kg	3 év	8 cella	opció	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	2xUSB 2.0, Bluetooth, DVI, HDMI, 1xUSB 3.0	SD, MMC, mini SD, micro SD, SDHC, SDXC	magyar	SSD drive, Mobiltelefon funkciók, HD Webcamera	új	316 x 227 x 8.3/15.9 mm			
Asus Zenbook UX31A-R5006V Notebook	255039 Ft	13.30 inch	HD WXGA++ (1600x900) LED	Intel® Core™ i5 processzor 3317U	1700 - 2600 MHz	4096 MB	DDR3 1600MHz	128 GB		Intel HD Graphics 4000	- MB	1.30 Kg	2 év	4 cella	-	Windows 7 Home Premium 64bit	igen	WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, 1xUSB 3.0, Micro HDMI	Memóriakártya-olvasó	magyar	Webcamera, SSD drive, Billentyűzet megvilágítás	új	325 x 223 x 3-18 mm	Táska		
Sony Vaio VPCSE2F1E/S   Notebook	258189 Ft	15.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2450M	2500 - 3100 MHz	4096 MB	DDR3 1333MHz	640 GB	5400 rpm	AMD Mobility Radeon™ HD6630	1024 MB		2 év	6 cella	DVD+-RW	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	2xUSB 2.0, Bluetooth, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Billentyűzet megvilágítás, HD Webcamera	új				
Lenovo ThinkPad T430 Notebook	261339 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3320M	2600 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel® HD Graphics	- MB	2.80 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	3xUSB 2.0, HDMI, eSATA, Display Port, Dock	SD, MS, MS Pro, SDHC	magyar	Ujjlenyomat olvasó, UltraNav(Trackpoint & Touch pad), Dokkoló, Billentyűzet megvilágítás, HD Webcamera	új				
Toshiba Satellite P755-12G Notebook	272362 Ft	15.60 inch	HD WXGA (1366x768) 3D	Intel® Core™ i7 processzor 2670QM	2200 - 3100 MHz	8192 MB	DDR3 1333MHz	500 GB	7200 rpm	NVIDIA® GeForce® GT 540M	2048 MB	2.60 Kg	2 év	6 cella	Blue-Ray Combo	Windows 7 Home Premium 64bit	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD, MS, MS Pro, MMC, XD, mini SD, micro SD, SDHC, SDXC	magyar	Billentyűzet megvilágítás, HD Webcamera, Flash Memória, 4 GB	új	380,5 x 254 x 37,6 mm	NVIDIA® 3D Vision		
HP EliteBook 8570p Notebook	340866 Ft	15.60 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3520M	2900 - 3600 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD Radeon™ HD 7570M	1024 MB	2.85 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	2xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, 1xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Fujitsu Lifebook U772 Notebook	281811 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 3317U	1700 - 2400 MHz	4096 MB	DDR3 1600MHz	500 GB	5400 rpm	Intel HD Graphics 4000	- MB	1.40 Kg	3 év	4 cella	opció	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, Bluetooth, HDMI, 2xUSB 3.0, Dock	SD, SDHC, SDXC	magyar	Ujjlenyomat olvasó, Rázkodás elleni merevlemezvédele, SSD drive, Gyorsulásmérő, HD Webcamera	új	327 x 225 x 15.6 mm		32 GB	
Samsung NP900X3A -B01HU Notebook	284173 Ft	13.30 inch	WXGA (1366x768) LED	Intel® Core™ i5 processzor 2467M	1600 MHz	4096 MB	DDR3 1066MHz	128 GB		Intel® HD Graphics	- MB		2 év	6 cella	opció	Windows 7 Home Premium 64bit		10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, Bluetooth, HDMI, 1xUSB 3.0	SD	magyar	SSD drive, HD Webcamera	új				
HP EliteBook 2170p Notebook	457402 Ft	11.60 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3667U	2000 MHz	4096 MB	DDR3 1600MHz	180 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.42 Kg	3 év	6 cella	opció	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	VGA, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock, Firewire	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, SSD drive, Billentyűzet megvilágítás, HD Webcamera	új				
Asus G55VW -S1142V Notebook	303071 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3210M	2500 - 3100 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® Tegra™ 2	2048 MB	3.80 Kg	2 év	8 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0, Mini Display Port	Memóriakártya-olvasó	magyar	Billentyűzet megvilágítás, HD Webcamera	új	384 x 299 x 20-51 mm	Táska + Egér		
HP EliteBook 8470p Notebook	340866 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3520M	2900 - 3600 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD Radeon™ HD 7570M	1024 MB	2.25 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA	USB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
HP EliteBook 2570p Notebook	337717 Ft	12.50 inch	HD WXGA (1366x768) LED	Intel® Core™ i7 processzor 3520M	2900 - 3600 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.80 Kg	3 év	6 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	USB 2.0, VGA, Bluetooth, eSATA, 1xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, Billentyűzet megvilágítás, HD Webcamera	új				
Asus G55VW -S1140V Notebook	343228 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3610QM	2300 - 3300 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT 660M	2048 MB	3.80 Kg	2 év	8 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0, Mini Display Port	Memóriakártya-olvasó	magyar	SSD drive, Billentyűzet megvilágítás, HD Webcamera	új	384 x 299 x 20-51 mm	Táska + Egér	128 GB	
Dell XPS 13 Notebook	358976 Ft	13.30 inch	HD WXGA (1366x768) LED	Intel® Core™ i5 processzor 2467M	1600 MHz	4096 MB	DDR3 1333MHz	256 GB		Intel HD Graphics 3000	- MB	1.36 Kg	3 év	6 cella	-	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps	802.11b/g/n	opció	USB 2.0, Bluetooth, 1xUSB 3.0, Mini Display Port		angol	SSD drive, Billentyűzet megvilágítás, HD Webcamera	új				
HP EliteBook 8570w Notebook	350315 Ft	15.60 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3360M	2800 - 3500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD FirePro M4000	1024 MB	3.10 Kg	3 év	8 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Asus G75VW -T1321V Notebook	367638 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i7 processzor 3610QM	2300 - 3300 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT 660M	2048 MB	4.50 Kg	2 év	8 cella	DVD-RW SuperMulti DL	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0, Mini Display Port	Memóriakártya-olvasó	magyar	SSD drive, HD Webcamera	új	415 x 320 x 17-52 mm	Ajándék táska, egér	160 GB	
HP EliteBook 8470w Notebook	372362 Ft	14.00 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i7 processzor 3610QM	2300 - 3300 MHz	4096 MB	DDR3 1600MHz	750 GB	7200 rpm	AMD FirePro M2000	- MB	2.50 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	USB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	Billentyűzet megvilágítás, HD Webcamera	új				
HP EliteBook 8770w Notebook	378661 Ft	17.30 inch	FULL HD (1920x1080) LED	Intel® Core™ i5 processzor 3360M	2800 - 3500 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	AMD FirePro M4000	1024 MB	3.57 Kg	3 év	8 cella	DVD+-RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Firewire, Bluetooth, eSATA, 2xUSB 3.0, Display Port, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, HD Webcamera	új				
Asus G55VW -IX143V Notebook	399134 Ft	15.60 inch	WXGA 3D FULL HD LED (1920x1080)	Intel® Core™ i7 processzor 3610QM	2300 - 3300 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT 660M	2048 MB	3.80 Kg	2 év	8 cella	Blue-Ray RW	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0, Mini Display Port	Memóriakártya-olvasó	magyar	SSD drive, Billentyűzet megvilágítás, HD Webcamera	új	384 x 299 x 20-51 mm	táska, egér, headset,3D szemüveg	128 GB	
Fujitsu Lifebook T902 Notebook	404647 Ft	13.30 inch	HD+ WUGA (1600x900) LED	Intel® Core™ i5 processzor 3320M	2600 - 3300 MHz	4096 MB	DDR3 1600MHz	500 GB	7200 rpm	Intel HD Graphics 4000	- MB	1.89 Kg	3 év	6 cella	DVD-RW SuperMulti DL	Windows 7 Professional 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	HSDPA foglalat	2xUSB 2.0, VGA, Bluetooth, HDMI, 2xUSB 3.0, Dock	Memóriakártya-olvasó	magyar	Ujjlenyomat olvasó, SIM kártya adapter, Érintőképernyő, HD Webcamera	új	326 x 244 x 27.1 mm			
Asus G75VW -9Z320V Notebook	431417 Ft	17.30 inch	WXGA 3D FULL HD LED (1920x1080)	Intel® Core™ i7 processzor 3610QM	2300 - 3300 MHz	8192 MB	DDR3 1600MHz	750 GB	7200 rpm	NVIDIA® GeForce® GT 660M	2048 MB	4.50 Kg	2 év	8 cella	Blue-Ray RW	Windows 7 Home Premium 64bit	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, HDMI, 4xUSB 3.0, Mini Display Port	Memóriakártya-olvasó	magyar	SSD drive, Billentyűzet megvilágítás, HD Webcamera	új	415 x 320 x 17-52 mm	táska, egér, headset,3D szemüveg	256 GB	
