TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU Típus	CPU Frek.	CPU FSB	RAM	RAM Slot	RAM Max	HDD Méret	HDD Seb.	GPU	GPU Mem	Súly	Gar.	Akku Típus	Akku Telj.	Akku Cella	ODD	OS	OS +	Gyártó	Chipset	LAN	Portok	Audio	CR	Bill.	Szín	Méret	Egyéb	Egyéb +
Asus N56VM-S3052V notebook + Windows 7 Home Premium operációs rendszer	196771 Ft	15,6"	LED	1366x768 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	4GB DDR3 1600MHz	2 db	8GB	750 GB	5400 RPM	nVidia GeForce GT630M	2GB	2,7 kg	2 év	Li-ion	5200mAh	6	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Asus	Mobile Intel® HM65 Express	nincs adat	4xUSB, audio, D-SUB, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	3in1	magyar	Ezüst	380 x 255 x 27,2-32,4 mm	hálózati adapter	Beépített sztereó hangszórók és mélynyomó, beépített webkamera	
HP Pavilion G6-1222EH A5Q04EA notebook + Windows 7 operációs rendszer	121968 Ft	15,6"	LED	1366x768 pixel	AMD A4-3300M Dual-Core	1,9 GHz	3,6 GT/s	4GB DDR3 1066MHz	2 db	8GB	640 GB	5400 RPM	ATI Radeon HD6510G2	1GB	2,54 kg	2 év	Li-ion	4400mAh	6	SuperMulti	Windows 7 Home Premium 64bit	Windows 7, Windows Vista	Hewlett-Packard	AMD RS880M	10/100 LAN, Bluetooth, WLAN	2xUSB 2.0, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet, VGA	fülhallgató kimenet, mikrofon bemenet	3in1	magyar	Fekete	374 x 245 x 36,3 mm	akkumulátor, hálózati töltő, leírás	16:9-es képarány, beépített hangszóró, beépített mikrofon, beépített webkamera	
Asus G75VW-9Z320V notebook + Windows 7 operációs rendszer , Táska + egér, Headset, 3D szemüveg	431416 Ft	17,3"	LED	1920x1080 pixel	Intel® Core™ i7-3610QM	2,3 GHz	5 GT/s	8GB DDR3 1600MHz	4 db	16 GB	256 GB, 750 GB	7200 RPM	nVidia GeForce GTX 660M	2GB	4,5 kg	2 év	Li-ion	5200mAh	8	Blu-ray író	Windows 7 Home Premium 64bit	Windows 7	Asus	Mobile Intel® HM77 Express	Bluetooth, Gigabit LAN, WLAN	4xUSB, audio, D-SUB, DisplayPort, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet, SPDIF	3in1	magyar	Fekete	415 x 320 x 17 ~52 mm	3D szemüveg, Billentyűzet, egér, hálózati adapter, hordtáska	Beépített sztereó hangszórók és mélynyomó, beépített webkamera	
Packard Bell EASYNOTE TS-F4211-HR-456HG notebook	83386 Ft	15,6"	LED	1366x768 pixel	Intel Pentium Dual Core B960	2,2 GHz	1066 MHz	4GB DDR3 1333MHz	1 db	8GB	500GB	5400 RPM	Intel HD Graphics	megosztott	2,4 kg	2 év	Li-ion	4400mAh	6	DVD-RW	Linux	Windows 7	Packard Bell	Mobile Intel® HM65 Express	10/100 LAN, WiFi	3xUSB 2.0, D-SUB, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	34x381x253mm	hálózati adapter	beépített hangszóró, beépített webkamera	
Sony Vaio VPCSA3Q9E TSUMUGI3 notebook + Windows 7 operációs rendszer	377873 Ft	13,3"	VAIO	1600x900 pixel	Intel Core i7-2640M	2,8 GHz	4,8 GT/s	4GB DDR3 1333MHz	2 db	8GB	128GB	SSD	ATI Radeon HD6330, Intel HD Graphics 3000	1GB	1,6 kg	2 év	Li-ion 48 WHr	4400mAh	6	SuperMulti	Windows 7 Home Premium 64bit	Linux, Windows 7, Windows Vista	Sony	Intel HM65 Express	10/100 LAN, Bluetooth, WLAN	1xUSB 3.0, 2xUSB 2.0, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet, VGA	fülhallgató kimenet, mikrofon bemenet	2in1	magyar	Fekete	225 x 33 x 331 mm	akkumulátor, hálózati töltő, leírás	16:9-es képarány, beépített mikrofon, beépített sztereó hangszórók, beépített webkamera	
Packard Bell EASYNOTE F5211-HC-260HG notebook	70787 Ft	15,6"	LED	1366x768 pixel	Intel® Celeron® Dual Core B830	1,8 GHz	5 GT/s	2GB DDR3 1333MHz	2 db	8GB	500GB	5400 RPM	Intel HD Graphics	megosztott	2,5 kg	2 év	Li-ion	4400mAh	6	SuperMulti	Linux	Linux, Windows 7	Packard Bell	Intel HM70	10/100/1000 LAN, WLAN	3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	381.6 x 253 x 25.4/33.2 mm	hálózati adapter	beépített webkamera	
Asus G55VW-S1140V notebook + Windows 7 operációs rendszer, Táska, egér	335354 Ft	15,6"	LED	1920x1080 pixel	Intel® Core™ i7-3610QM	2,3 GHz	5 GT/s	8GB DDR3 1600MHz	4 db	8GB	128 GB SSD, 750 GB	5400 RPM	nVidia GeForce GTX 660M	2GB	3,8 kg	3 év	Li-ion	5200mAh	8	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Asus	Mobile Intel® HM77 Express	Bluetooth, Gigabit LAN, WLAN	4xUSB, audio, D-SUB, HDMI, LAN, Mini DisplayPort, SPDIF	fülhallgató kimenet, mikrofon bemenet, SPDIF	3in1	magyar	Fekete	384 x 299 x 20-51 mm	Billentyűzet, egér, hálózati adapter, hordtáska	Beépített sztereó hangszórók és mélynyomó, beépített webkamera, Kensington zár	
Sony Vaio SVS1311P9E/B notebook, fekete + Windows 7 operációs rendszer	307007 Ft	13,3"	VAIO	1920x1080 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	4+2GB DDR3 1333MHz	2 db	12GB	640 GB	5400 RPM	Intel HD Graphics 3000, nVidia GeForce GT 640M	1GB	-	2 év	Li-ion	max. 8 óra	-	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Sony	Mobile Intel® HM76 Express	10/100/1000 LAN, Bluetooth, WiFi	1xUSB 2.0, 2xUSB 3.0, HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	331 x 225 x 24 mm	akkumulátor, hálózati töltő, leírás	16:9-es képarány, beépített hangszóró, beépített mikrofon, beépített webkamera, Bluetooth 4.0	
Fujitsu LIFEBOOK AH531/GFO GL notebook + Windows 7 operációs rendszer	157401 Ft	15,6"	WXGA	1366x768 pixel	Intel® Core™ i5 2450M	2,5 GHz	-	4GB DDR3 1333MHz	2 db	8GB	500GB	5400 RPM	nVidia GeForce GT525M	1GB	nincs adat	3 év	nincs adat	max. 5 óra	6	SuperMulti	Windows 7 Home Premium	Windows 7	Fujitsu	Mobile Intel® HM65 Express	WLAN	3xUSB 2.0, AV bemenet, AV kimenet, HDMI, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	nincs adat	akkumulátor	nincs	
Toshiba Satellite L850D-114 notebook	110157 Ft	15,6"	LED	1366x768 pixel	AMD A6-4400M	2,6 GHz	-	4GB DDR3 1600MHz	2 db	16 GB	500GB	5400 RPM	AMD Radeon™ HD7520G, ATI Radeon HD7610m	1GB	2,3 kg	2 év	Li-ion	max. 6 óra	6	SuperMulti	nincs	Windows 7	Toshiba	-	10/100 LAN, Bluetooth, WiFi	1xUSB 2.0, 2xUSB 3.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Ezüst	380,0 x 242,0 x 33,52 mm	hálózati adapter	beépített webkamera	
