TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
LENOVO IdeaPad S300 notebook	144008 Ft	13.3" HD (1366x768) VibrantView LED	WXGA	13,3 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2365M	Intel	Core i3	2	1,40 GHz	1,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	24 GB	SSD	500 GB	HDD	GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,8 kg	LENOVO IdeaPad S300 4-cell	4	32 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	LENOVO IdeaPad S	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2			330 mm	230 mm	22 mm			1 db USB3		Igen		Igen	40 W	5400 fordulat/perc													
ACER Aspire E1-571G notebook (fekete)	117236 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce 610M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	ACER Aspire E1-5xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER Aspire E series	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)		Igen	3 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	33 mm					Igen			65 W	5400 fordulat/perc						Igen							
LENOVO Ideapad B580 notebook	106212 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2328M	Intel	Core i3	2	2,20 GHz	2,2 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,7 kg	LENOVO IdeaPad B580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad B	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen						2 db USB3		Igen		Igen		5400 fordulat/perc						Igen							
HP Probook 4530s notebook (Renew*)	110157 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B950	Intel	Pentium	2	2,10 GHz	2,1 GHz	Igen	2 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,5 kg	HP Probook 4530s 6-cell	6	47 Wh	Li-Ion	kiváló	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP ProBook 45xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	374 mm	256 mm	29 mm	3G/HSDPA	Igen	1 db USB3		Igen		Igen	65 W	7200 fordulat/perc						Igen						Igen	
HP Probook 4340s notebook (Renew*)	133779 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,8 kg	HP Probook 4340s 6-cell	6	51 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 43xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	326 mm	229 mm	24 mm	3G/HSDPA		3 db USB3		Igen		Igen	65 W	5400 fordulat/perc													
HP Probook 4330s notebook (Renew*)	118031 Ft	13.3" HD (1366x768) AG LED	WXGA	13,3 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2310M	Intel	Core i3	2	2,10 GHz	2,1 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	3GB DDR3	3 GB	DDR3	320 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,1 kg	HP Probook 4330s 6-cell	6	47 Wh	Li-Ion	kiváló	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP ProBook 43xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	330 mm	235 mm	28 mm	3G/HSDPA	Igen	1 db USB3		Igen		Igen	65 W	7200 fordulat/perc												Igen	
ASUS U36 notebook	141645 Ft	13.3" HD (1366x768) ColorShine LED	WXGA	13,3 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 2450M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 610M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	1,4 kg	ASUS U36 8-cell	8	83 Wh	Li-Ion	extra						FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS U3x	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	328 mm	238 mm	19 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc							Igen						
LENOVO Ideapad G580AH notebook	118811 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 3110M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 610M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	LENOVO IdeaPad G580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	LENOVO IdeaPad G	belépő szint	otthoni	10/100	802.11(b/g/n)		Igen	3 db USB		Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	245 mm	34 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
LENOVO IdeaPad S400 notebook (szürke)	107000 Ft	14.0" HD (1366x768) VibrantView LED	WXGA	14,0 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 987	Intel	Pentium	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD	500 GB	HDD	GMA HD Graphics	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	45 nm	10,0	4,0	2,1	1,8 kg	LENOVO IdeaPad S400 4-cell	4	32 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad S	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek				337 mm	241 mm	22 mm			1 db USB3		Igen		Igen	40 W	5400 fordulat/perc													
TOSHIBA Satellite C870 notebook (fekete)	139283 Ft	17.3" HD+ (1600x900) TruBrite LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2370M	Intel	Core i3	2	2,40 GHz	2,4 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	640 GB	HDD			Radeon HD 7610M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,7 kg						DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	TOSHIBA Satellite C	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	413 mm	268 mm	34 mm			1 db USB3		Igen		Igen	75 W	5400 fordulat/perc						Igen							
DELL Inspiron N5110 Diamond Black notebook	138496 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,7 kg	DELL Inspiron N5110/M5110 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	260 mm	31 mm			2 db USB3		Igen			65 W	5400 fordulat/perc						Igen		Igen					
HP Probook 6460b notebook (Renew*)	137008 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2310M	Intel	Core i3	2	2,10 GHz	2,1 GHz	Igen	3 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	250 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,2 kg	HP Probook 6460b 6-cell	6	55 Wh	Li-Ion	kiváló	DVD+/-RW DL LS	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP ProBook 64xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	nincs	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	338 mm	231 mm	34 mm		Igen	0 db USB3	Igen	Igen		Igen	65 W	7200 fordulat/perc	Igen		Igen					Igen		Igen		Igen	
ACER V3-731 notebook (szürke)	119598 Ft	17.3" HD+ (1600x900) CrystalBright LED	WXGA++	17,3 "	fényes	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Pentium B980	Intel	Pentium	2	2,40 GHz	2,4 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	3,2 kg	ACER Aspire V3-7xx 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Linux	Linux	FreeDos	Magyar	32 bit	ACER V3	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	415 mm	275 mm	31 mm			2 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
LENOVO Ideapad G580GH notebook	94401 Ft	15.6" HD (1366x768) VibrantView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B950	Intel	Pentium	2	2,10 GHz	2,1 GHz	Igen	2 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,6 kg	LENOVO IdeaPad G580 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO IdeaPad G	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB		Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	245 mm	34 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
DELL Inspiron N5110 Diamond Black notebook (cserélhető fedlap)	125897 Ft	15.6" HD (1366x768) TrueLife LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B960	Intel	Pentium	2	2,20 GHz	2,2 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	2GB DDR3	2 GB	DDR3	320 GB	HDD			Radeon HD 6470M	ATI	Radeon	dedikált (közép kategória)	0,5 GB	GDDR3	40 nm	11,0	5,0	4,1	2,7 kg	DELL Inspiron N5110/M5110 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	DELL Inspiron 15R	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	260 mm	31 mm			2 db USB3		Igen			65 W	5400 fordulat/perc						Igen		Igen					
HP Pavilion g6-2018sh Sparkling Black notebook	133771 Ft	15.6" HD (1366x768) BrightView LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A10-4600M	AMD	A10 Series	4	2,30 GHz	3,2 GHz	Igen	4 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	750 GB	HDD			Radeon HD 7670M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1		HP Pavilion g6-2xxx 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP Pavilion g6	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	376 mm	244 mm	36 mm			2 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
ASUS K55 notebook (fekete)	117236 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD A10-4600M	AMD	A10 Series	4	2,30 GHz	3,2 GHz	Igen	4 MB	0 GB	Igen	32 nm	35 W	Igen		8GB DDR3	8 GB	DDR3	500 GB	HDD			Radeon HD 7470M / 1GB	AMD	Radeon	dedikált (közép kategória)	1,0 GB	GDDR5	40 nm	11,0	5,0	4,1	2,5 kg	ASUS K55 6-cell	6	50 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	378 mm	251 mm	26 mm			2 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
ASUS K55 notebook (rózsaszín)	133771 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i3 2350M	Intel	Core i3	2	2,30 GHz	2,3 GHz	Igen	3 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce 610M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	ASUS K55 6-cell	6	50 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	mono	SD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	378 mm	251 mm	26 mm			2 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
HP Probook 4535s notebook (Renew*)	102283 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		AMD E2-3000M	AMD	E-Series	2	1,80 GHz	2,4 GHz	Igen	1 MB	0 GB	Igen	32 nm	35 W	Igen		4GB DDR3	4 GB	DDR3	500 GB	HDD			Radeon HD 6380G	AMD	Radeon	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	11,0	5,0	4,1	2,5 kg	HP Probook 4535s 6-cell	6	47 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	HP ProBook 45xx	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Nemzetközi billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	375 mm	256 mm	29 mm		Igen	1 db USB3		Igen		Igen	90 W	7200 fordulat/perc						Igen						Igen	
ASUS K53 notebook (fehér)	108575 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B970	Intel	Pentium	2	2,30 GHz	2,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 610M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	ASUS K53 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	253 mm	33 mm			1 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
ASUS K53 notebook (rózsaszín)	129834 Ft	15.6" HD (1366x768) ColorShine LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B960	Intel	Pentium	2	2,20 GHz	2,2 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 610M / 2GB	NVIDIA	GeForce	dedikált (közép kategória)	2,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,6 kg	ASUS K53 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	ASUS K5x	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB	Igen	Igen	Igen	stereo	SD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	378 mm	253 mm	33 mm			1 db USB3		Igen		Igen	90 W	5400 fordulat/perc						Igen							
LENOVO ThinkPad Edge E530 notebook	125905 Ft	15.6" HD (1366x768) AG LED	WXGA	15,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium B970	Intel	Pentium	2	2,30 GHz	2,3 GHz	Igen	2 MB	16 GB	Igen	32 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce 610M / 1GB	NVIDIA	GeForce	dedikált (közép kategória)	1,0 GB	GDDR3	40 nm	11,0	5,0	4,1	2,5 kg	LENOVO ThinkPad Edge Plus E530/E535 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	FreeDOS	FreeDOS	FreeDos	Angol	32 bit	LENOVO ThinkPad Edge	közép kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	377 mm	245 mm	30 mm			3 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
ACER V5-531 notebook (ezüst)	129047 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 987	Intel	Pentium	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,3 kg	ACER V5 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	ACER V5	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	21 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
ACER V5-531 notebook (kék)	129047 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 987	Intel	Pentium	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,3 kg	ACER V5 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	ACER V5	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	21 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
ACER V5-531 notebook (fekete)	129047 Ft	15.6" HD (1366x768) CrystalBright LED	WXGA	15,6 "	fényes	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Pentium 987	Intel	Pentium	2	1,50 GHz	1,5 GHz	Igen	2 MB	16 GB	Igen	32 nm	17 W			4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	2,3 kg	ACER V5 4-cell	4	37 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	ACER V5	belépő szint	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	382 mm	253 mm	21 mm			1 db USB3		Igen		Igen	65 W	5400 fordulat/perc						Igen							
